Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,12,All cancers excl. non-melanoma skin cancer,2,34745,34330,35165,34745,149.8,154.9,14.9
1,C00-06,12,"Lip, oral cavity",2,115,62,213,115,0.50,0.51,0.06
2,C07-08,12,Salivary glands,2,55,21,143,55,0.23,0.25,0.02
3,C09-10,12,Oropharynx,2,19,4,86,19,0.08,0.08,0.01
4,C11,12,Nasopharynx,2,499,412,604,499,2.2,2.2,0.22
5,C12-13,12,Hypopharynx,2,24,6,102,24,0.11,0.11,0.01
6,C15,12,Oesophagus,2,139,84,231,139,0.58,0.62,0.06
7,C16,12,Stomach,2,1092,971,1228,1092,4.7,4.9,0.54
8,C18,12,Colon,2,2141,1952,2348,2141,9.3,9.5,1.1
9,C19-20,12,Rectum,2,1449,1289,1629,1449,6.3,6.5,0.72
10,C21,12,Anus,2,75,30,186,75,0.31,0.33,0.03
11,C22,12,Liver and intrahepatic bile ducts,2,332,251,439,332,1.4,1.5,0.16
12,C23,12,Gallbladder,2,846,739,968,846,3.7,3.8,0.45
13,C25,12,Pancreas,2,475,397,568,475,2.1,2.1,0.25
14,C32,12,Larynx,2,68,29,158,68,0.30,0.30,0.04
15,C33-34,12,"Trachea, bronchus and lung",2,729,619,859,729,3.2,3.3,0.39
16,C43,12,Melanoma of skin,2,148,84,262,148,0.63,0.66,0.07
18,C45,12,Mesothelioma,2,19,4,96,19,0.08,0.08,0.01
19,C46,12,Kaposi sarcoma,2,18,3,96,18,0.07,0.08,0.01
20,C50,12,Breast,2,14601,14101,15118,14601,61.9,65.1,6.3
21,C51,12,Vulva,2,97,47,199,97,0.41,0.43,0.05
22,C52,12,Vagina,2,49,13,184,49,0.21,0.22,0.02
23,C53,12,Cervix uteri,2,1799,1638,1975,1799,8.0,8.0,0.94
24,C54,12,Corpus uteri,2,593,504,698,593,2.7,2.6,0.33
25,C56,12,Ovary,2,1147,1021,1288,1147,5.0,5.1,0.57
29,C64,12,Kidney,2,310,228,421,310,1.4,1.4,0.15
30,C67,12,Bladder,2,470,374,591,470,2.0,2.1,0.24
31,C70-72,12," Brain, central nervous system",2,953,830,1094,953,4.2,4.3,0.41
32,C73,12,Thyroid,2,2089,1915,2278,2089,9.0,9.3,0.90
33,C81,12,Hodgkin lymphoma,2,489,410,583,489,2.2,2.2,0.18
34,C82-86+C88,12,Non-Hodgkin lymphoma,2,933,823,1058,933,4.1,4.2,0.43
35,C90,12,Multiple myeloma,2,365,293,454,365,1.6,1.6,0.20
36,C91-95,12,Leukaemia,2,746,647,860,746,3.3,3.3,0.30
