Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,24,All cancers excl. non-melanoma skin cancer,2,13734,13506,13966,13734,135.7,77.6,14.0
1,C00-06,24,"Lip, oral cavity",2,296,274,320,296,3.3,1.7,0.38
2,C07-08,24,Salivary glands,2,92,82,104,92,1.1,0.52,0.12
3,C09-10,24,Oropharynx,2,62,39,99,62,0.73,0.35,0.07
4,C11,24,Nasopharynx,2,8,8,8,8,0.07,0.05,0.01
5,C12-13,24,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,24,Oesophagus,2,262,261,263,262,3.7,1.5,0.54
7,C16,24,Stomach,2,372,371,373,372,5.0,2.1,0.62
8,C18,24,Colon,2,238,237,239,238,2.8,1.4,0.26
9,C19-20,24,Rectum,2,153,152,154,153,1.7,0.86,0.23
10,C21,24,Anus,2,16,15,17,16,0.17,0.09,0.02
11,C22,24,Liver and intrahepatic bile ducts,2,421,419,423,421,5.0,2.4,0.57
12,C23,24,Gallbladder,2,19,19,19,19,0.24,0.11,0.03
13,C25,24,Pancreas,2,85,85,85,85,1.1,0.48,0.16
14,C32,24,Larynx,2,72,63,82,72,0.88,0.41,0.12
15,C33-34,24,"Trachea, bronchus and lung",2,115,115,115,115,1.6,0.65,0.25
16,C43,24,Melanoma of skin,2,119,100,142,119,1.6,0.67,0.19
18,C45,24,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,24,Kaposi sarcoma,2,221,31,1569,221,1.6,1.3,0.14
20,C50,24,Breast,2,2898,2843,2954,2898,29.4,16.4,3.3
21,C51,24,Vulva,2,89,77,103,89,0.91,0.50,0.14
22,C52,24,Vagina,2,82,55,123,82,0.65,0.46,0.05
23,C53,24,Cervix uteri,2,2823,2752,2896,2823,30.4,16.0,3.3
24,C54,24,Corpus uteri,2,358,354,363,358,4.4,2.0,0.54
25,C56,24,Ovary,2,415,411,419,415,2.9,2.4,0.25
29,C64,24,Kidney,2,262,257,267,262,1.2,1.5,0.06
30,C67,24,Bladder,2,282,273,291,282,2.9,1.6,0.32
31,C70-72,24," Brain, central nervous system",2,607,591,623,607,4.1,3.4,0.38
32,C73,24,Thyroid,2,69,68,70,69,0.80,0.39,0.11
33,C81,24,Hodgkin lymphoma,2,110,47,256,110,0.92,0.62,0.07
34,C82-86+C88,24,Non-Hodgkin lymphoma,2,298,291,305,298,2.1,1.7,0.17
35,C90,24,Multiple myeloma,2,84,81,87,84,1.1,0.47,0.15
36,C91-95,24,Leukaemia,2,271,268,274,271,2.1,1.5,0.24
