Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,204,All cancers excl. non-melanoma skin cancer,2,3966,3827,4110,3966,99.7,62.0,10.5
1,C00-06,204,"Lip, oral cavity",2,44,20,99,44,1.1,0.69,0.10
2,C07-08,204,Salivary glands,2,35,17,74,35,0.88,0.55,0.11
3,C09-10,204,Oropharynx,2,16,5,56,16,0.40,0.25,0.04
4,C11,204,Nasopharynx,2,31,15,66,31,0.76,0.48,0.08
5,C12-13,204,Hypopharynx,2,2,0,19,2,0.05,0.03,0.01
6,C15,204,Oesophagus,2,108,63,186,108,2.9,1.7,0.36
7,C16,204,Stomach,2,137,94,199,137,3.6,2.1,0.36
8,C18,204,Colon,2,117,74,185,117,2.9,1.8,0.32
9,C19-20,204,Rectum,2,60,28,128,60,1.6,0.94,0.15
10,C21,204,Anus,2,13,2,78,13,0.35,0.20,0.05
11,C22,204,Liver and intrahepatic bile ducts,2,200,141,284,200,5.1,3.1,0.47
12,C23,204,Gallbladder,2,20,7,61,20,0.39,0.31,0.03
13,C25,204,Pancreas,2,94,58,152,94,2.6,1.5,0.25
14,C32,204,Larynx,2,6,1,56,6,0.12,0.09,0.01
15,C33-34,204,"Trachea, bronchus and lung",2,44,21,94,44,1.1,0.69,0.13
16,C43,204,Melanoma of skin,2,14,4,53,14,0.44,0.22,0.03
18,C45,204,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,204,Kaposi sarcoma,2,8,1,75,8,0.16,0.13,0.01
20,C50,204,Breast,2,1329,1174,1504,1329,33.3,20.8,3.7
21,C51,204,Vulva,2,35,13,97,35,0.88,0.55,0.06
22,C52,204,Vagina,2,13,3,62,13,0.39,0.20,0.05
23,C53,204,Cervix uteri,2,701,592,831,701,18.1,11.0,2.2
24,C54,204,Corpus uteri,2,170,108,268,170,4.9,2.7,0.67
25,C56,204,Ovary,2,106,65,172,106,2.8,1.7,0.28
29,C64,204,Kidney,2,35,16,79,35,0.81,0.55,0.11
30,C67,204,Bladder,2,11,2,50,11,0.30,0.17,0.04
31,C70-72,204," Brain, central nervous system",2,33,14,79,33,0.64,0.52,0.06
32,C73,204,Thyroid,2,47,20,108,47,1.1,0.73,0.10
33,C81,204,Hodgkin lymphoma,2,14,4,53,14,0.19,0.22,0.01
34,C82-86+C88,204,Non-Hodgkin lymphoma,2,83,51,134,83,2.0,1.3,0.27
35,C90,204,Multiple myeloma,2,35,16,76,35,0.94,0.55,0.12
36,C91-95,204,Leukaemia,2,109,74,161,109,2.3,1.7,0.21
