Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,72,All cancers excl. non-melanoma skin cancer,2,1329,1253,1410,1329,115.3,105.8,11.5
1,C00-06,72,"Lip, oral cavity",2,12,2,86,12,1.1,0.96,0.11
2,C07-08,72,Salivary glands,2,3,0,26,3,0.24,0.24,0.02
3,C09-10,72,Oropharynx,2,1,0,9,1,0.11,0.08,0.01
4,C11,72,Nasopharynx,2,3,0,26,3,0.25,0.24,0.03
5,C12-13,72,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,72,Oesophagus,2,42,23,76,42,4.2,3.3,0.51
7,C16,72,Stomach,2,9,3,31,9,0.81,0.72,0.09
8,C18,72,Colon,2,20,9,46,20,1.8,1.6,0.21
9,C19-20,72,Rectum,2,15,6,39,15,1.3,1.2,0.15
10,C21,72,Anus,2,12,4,35,12,0.94,0.96,0.09
11,C22,72,Liver and intrahepatic bile ducts,2,16,4,59,16,1.5,1.3,0.18
12,C23,72,Gallbladder,2,0,0,0,0,0.00,0.00,0.00
13,C25,72,Pancreas,2,7,1,60,7,0.63,0.56,0.08
14,C32,72,Larynx,2,4,0,34,4,0.40,0.32,0.05
15,C33-34,72,"Trachea, bronchus and lung",2,17,7,42,17,1.7,1.4,0.21
16,C43,72,Melanoma of skin,2,17,7,42,17,1.7,1.4,0.19
18,C45,72,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,72,Kaposi sarcoma,2,98,66,146,98,7.3,7.8,0.62
20,C50,72,Breast,2,257,198,333,257,23.0,20.5,2.5
21,C51,72,Vulva,2,34,17,68,34,2.6,2.7,0.24
22,C52,72,Vagina,2,7,3,16,7,0.60,0.56,0.07
23,C53,72,Cervix uteri,2,454,374,551,454,39.1,36.1,4.0
24,C54,72,Corpus uteri,2,41,23,72,41,4.1,3.3,0.52
25,C56,72,Ovary,2,31,14,71,31,2.8,2.5,0.33
29,C64,72,Kidney,2,9,3,31,9,0.83,0.72,0.08
30,C67,72,Bladder,2,9,2,52,9,0.88,0.72,0.09
31,C70-72,72," Brain, central nervous system",2,7,2,29,7,0.57,0.56,0.04
32,C73,72,Thyroid,2,9,3,31,9,0.84,0.72,0.10
33,C81,72,Hodgkin lymphoma,2,13,6,28,13,1.0,1.0,0.08
34,C82-86+C88,72,Non-Hodgkin lymphoma,2,47,25,89,47,3.7,3.7,0.34
35,C90,72,Multiple myeloma,2,10,2,49,10,1.0,0.80,0.14
36,C91-95,72,Leukaemia,2,18,5,65,18,1.5,1.4,0.13
