Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,854,All cancers excl. non-melanoma skin cancer,2,8810,8628,8996,8810,135.6,79.8,15.1
1,C00-06,854,"Lip, oral cavity",2,81,78,84,81,1.5,0.73,0.22
2,C07-08,854,Salivary glands,2,74,64,86,74,1.2,0.67,0.22
3,C09-10,854,Oropharynx,2,0,0,0,0,0.00,0.00,0.00
4,C11,854,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,854,Hypopharynx,2,25,7,89,25,0.40,0.23,0.04
6,C15,854,Oesophagus,2,158,158,158,158,2.7,1.4,0.38
7,C16,854,Stomach,2,231,230,232,231,4.4,2.1,0.63
8,C18,854,Colon,2,185,184,186,185,2.6,1.7,0.27
9,C19-20,854,Rectum,2,37,37,37,37,0.54,0.33,0.05
10,C21,854,Anus,2,94,61,144,94,1.4,0.85,0.14
11,C22,854,Liver and intrahepatic bile ducts,2,821,811,831,821,14.4,7.4,1.7
12,C23,854,Gallbladder,2,32,32,32,32,0.68,0.29,0.11
13,C25,854,Pancreas,2,470,447,495,470,8.1,4.3,0.94
14,C32,854,Larynx,2,29,27,32,29,0.47,0.26,0.06
15,C33-34,854,"Trachea, bronchus and lung",2,252,252,252,252,4.5,2.3,0.61
16,C43,854,Melanoma of skin,2,29,27,31,29,0.60,0.26,0.08
18,C45,854,Mesothelioma,2,16,14,19,16,0.13,0.14,0.01
19,C46,854,Kaposi sarcoma,2,49,7,348,49,0.68,0.44,0.06
20,C50,854,Breast,2,1372,1352,1392,1372,21.4,12.4,2.4
21,C51,854,Vulva,2,41,37,46,41,0.47,0.37,0.04
22,C52,854,Vagina,2,29,23,36,29,0.47,0.26,0.06
23,C53,854,Cervix uteri,2,988,974,1002,988,15.9,8.9,2.0
24,C54,854,Corpus uteri,2,362,355,369,362,6.3,3.3,1.0
25,C56,854,Ovary,2,552,540,564,552,8.5,5.0,0.95
29,C64,854,Kidney,2,214,208,220,214,2.2,1.9,0.16
30,C67,854,Bladder,2,532,481,588,532,9.3,4.8,1.3
31,C70-72,854," Brain, central nervous system",2,208,205,211,208,2.5,1.9,0.30
32,C73,854,Thyroid,2,71,70,72,71,1.3,0.64,0.22
33,C81,854,Hodgkin lymphoma,2,22,17,29,22,0.27,0.20,0.02
34,C82-86+C88,854,Non-Hodgkin lymphoma,2,187,183,192,187,2.0,1.7,0.22
35,C90,854,Multiple myeloma,2,143,131,157,143,2.5,1.3,0.33
36,C91-95,854,Leukaemia,2,323,315,331,323,3.2,2.9,0.24
