Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,108,All cancers excl. non-melanoma skin cancer,2,4556,4387,4731,4556,132.5,71.7,13.6
1,C00-06,108,"Lip, oral cavity",2,30,12,72,30,0.91,0.47,0.09
2,C07-08,108,Salivary glands,2,8,3,20,8,0.28,0.13,0.03
3,C09-10,108,Oropharynx,2,5,0,64,5,0.19,0.08,0.02
4,C11,108,Nasopharynx,2,28,2,358,28,0.84,0.44,0.08
5,C12-13,108,Hypopharynx,2,2,0,8,2,0.07,0.03,0.01
6,C15,108,Oesophagus,2,173,19,1582,173,6.1,2.7,0.72
7,C16,108,Stomach,2,121,67,220,121,4.1,1.9,0.49
8,C18,108,Colon,2,68,35,132,68,2.2,1.1,0.25
9,C19-20,108,Rectum,2,82,36,187,82,2.8,1.3,0.32
10,C21,108,Anus,2,25,2,319,25,0.85,0.39,0.09
11,C22,108,Liver and intrahepatic bile ducts,2,139,69,280,139,4.5,2.2,0.52
12,C23,108,Gallbladder,2,5,0,64,5,0.17,0.08,0.02
13,C25,108,Pancreas,2,42,4,399,42,1.5,0.66,0.18
14,C32,108,Larynx,2,15,1,192,15,0.47,0.24,0.04
15,C33-34,108,"Trachea, bronchus and lung",2,85,35,204,85,2.8,1.3,0.34
16,C43,108,Melanoma of skin,2,37,15,91,37,1.3,0.58,0.14
18,C45,108,Mesothelioma,2,2,0,11,2,0.06,0.03,0.01
19,C46,108,Kaposi sarcoma,2,159,12,2030,159,3.2,2.5,0.27
20,C50,108,Breast,2,863,727,1024,863,25.3,13.6,2.8
21,C51,108,Vulva,2,49,26,92,49,1.3,0.77,0.13
22,C52,108,Vagina,2,14,1,151,14,0.43,0.22,0.04
23,C53,108,Cervix uteri,2,1457,1117,1901,1457,43.6,22.9,4.7
24,C54,108,Corpus uteri,2,71,27,186,71,2.4,1.1,0.29
25,C56,108,Ovary,2,165,122,223,165,4.8,2.6,0.54
29,C64,108,Kidney,2,65,39,108,65,1.1,1.0,0.09
30,C67,108,Bladder,2,51,13,197,51,1.8,0.80,0.21
31,C70-72,108," Brain, central nervous system",2,53,7,403,53,1.4,0.83,0.14
32,C73,108,Thyroid,2,59,34,101,59,1.8,0.93,0.20
33,C81,108,Hodgkin lymphoma,2,33,15,71,33,0.72,0.52,0.07
34,C82-86+C88,108,Non-Hodgkin lymphoma,2,176,117,264,176,4.2,2.8,0.41
35,C90,108,Multiple myeloma,2,20,2,255,20,0.66,0.31,0.08
36,C91-95,108,Leukaemia,2,95,55,163,95,2.1,1.5,0.20
