Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,120,All cancers excl. non-melanoma skin cancer,2,11435,11153,11724,11435,138.2,82.0,14.1
1,C00-06,120,"Lip, oral cavity",2,86,6,1237,86,1.3,0.62,0.16
2,C07-08,120,Salivary glands,2,85,6,1223,85,1.1,0.61,0.13
3,C09-10,120,Oropharynx,2,28,2,403,28,0.37,0.20,0.04
4,C11,120,Nasopharynx,2,136,9,1957,136,1.6,0.98,0.17
5,C12-13,120,Hypopharynx,2,14,1,201,14,0.22,0.10,0.03
6,C15,120,Oesophagus,2,84,6,1209,84,1.2,0.60,0.13
7,C16,120,Stomach,2,256,32,2033,256,3.5,1.8,0.38
8,C18,120,Colon,2,223,68,728,223,3.0,1.6,0.34
9,C19-20,120,Rectum,2,158,24,1052,158,2.1,1.1,0.25
10,C21,120,Anus,2,53,25,112,53,0.67,0.38,0.08
11,C22,120,Liver and intrahepatic bile ducts,2,245,178,336,245,3.0,1.8,0.34
12,C23,120,Gallbladder,2,14,1,201,14,0.19,0.10,0.02
13,C25,120,Pancreas,2,51,26,101,51,0.72,0.37,0.08
14,C32,120,Larynx,2,10,3,33,10,0.14,0.07,0.02
15,C33-34,120,"Trachea, bronchus and lung",2,134,15,1228,134,1.9,0.96,0.22
16,C43,120,Melanoma of skin,2,79,22,289,79,1.2,0.57,0.13
18,C45,120,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,120,Kaposi sarcoma,2,351,24,5050,351,3.4,2.5,0.33
20,C50,120,Breast,2,4207,2944,6012,4207,48.6,30.2,5.1
21,C51,120,Vulva,2,59,4,849,59,0.87,0.42,0.10
22,C52,120,Vagina,2,47,3,676,47,0.59,0.34,0.07
23,C53,120,Cervix uteri,2,2525,1854,3439,2525,33.1,18.1,3.7
24,C54,120,Corpus uteri,2,203,15,2775,203,2.9,1.5,0.37
25,C56,120,Ovary,2,490,212,1134,490,5.9,3.5,0.65
29,C64,120,Kidney,2,53,24,119,53,0.49,0.38,0.05
30,C67,120,Bladder,2,65,5,935,65,1.0,0.47,0.12
31,C70-72,120," Brain, central nervous system",2,53,4,763,53,0.49,0.38,0.05
32,C73,120,Thyroid,2,98,7,1410,98,1.1,0.70,0.13
33,C81,120,Hodgkin lymphoma,2,39,3,561,39,0.38,0.28,0.04
34,C82-86+C88,120,Non-Hodgkin lymphoma,2,732,51,10532,732,7.7,5.3,0.79
35,C90,120,Multiple myeloma,2,46,17,125,46,0.66,0.33,0.08
36,C91-95,120,Leukaemia,2,159,44,576,159,1.7,1.1,0.18
