Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,132,All cancers excl. non-melanoma skin cancer,2,216,188,249,216,76.8,76.4,8.3
1,C00-06,132,"Lip, oral cavity",2,6,3,14,6,2.2,2.1,0.25
2,C07-08,132,Salivary glands,2,1,0,8,1,0.26,0.35,0.02
3,C09-10,132,Oropharynx,2,0,0,0,0,0.00,0.00,0.00
4,C11,132,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,132,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,132,Oesophagus,2,4,1,11,4,1.4,1.4,0.16
7,C16,132,Stomach,2,7,3,15,7,2.3,2.5,0.21
8,C18,132,Colon,2,7,3,15,7,2.5,2.5,0.28
9,C19-20,132,Rectum,2,5,2,13,5,2.0,1.8,0.22
10,C21,132,Anus,2,1,0,8,1,0.32,0.35,0.04
11,C22,132,Liver and intrahepatic bile ducts,2,1,0,8,1,0.42,0.35,0.07
12,C23,132,Gallbladder,2,0,0,0,0,0.00,0.00,0.00
13,C25,132,Pancreas,2,1,0,8,1,0.50,0.35,0.12
14,C32,132,Larynx,2,1,0,8,1,0.32,0.35,0.03
15,C33-34,132,"Trachea, bronchus and lung",2,6,3,14,6,2.5,2.1,0.46
16,C43,132,Melanoma of skin,2,1,0,8,1,0.50,0.35,0.12
18,C45,132,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,132,Kaposi sarcoma,2,1,0,8,1,0.23,0.35,0.02
20,C50,132,Breast,2,67,52,86,67,23.4,23.7,2.5
21,C51,132,Vulva,2,1,0,8,1,0.32,0.35,0.03
22,C52,132,Vagina,2,0,0,0,0,0.00,0.00,0.00
23,C53,132,Cervix uteri,2,46,34,62,46,16.1,16.3,1.7
24,C54,132,Corpus uteri,2,5,2,13,5,2.1,1.8,0.40
25,C56,132,Ovary,2,11,6,20,11,3.9,3.9,0.42
29,C64,132,Kidney,2,3,1,10,3,1.3,1.1,0.14
30,C67,132,Bladder,2,5,2,13,5,1.6,1.8,0.02
31,C70-72,132," Brain, central nervous system",2,1,0,8,1,0.42,0.35,0.07
32,C73,132,Thyroid,2,3,1,10,3,1.1,1.1,0.13
33,C81,132,Hodgkin lymphoma,2,1,0,8,1,0.32,0.35,0.03
34,C82-86+C88,132,Non-Hodgkin lymphoma,2,6,3,14,6,2.4,2.1,0.31
35,C90,132,Multiple myeloma,2,3,1,10,3,0.93,1.1,0.08
36,C91-95,132,Leukaemia,2,3,1,10,3,1.2,1.1,0.07
