Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,140,All cancers excl. non-melanoma skin cancer,2,1597,1493,1708,1597,108.8,63.1,11.4
1,C00-06,140,"Lip, oral cavity",2,17,1,250,17,1.1,0.67,0.11
2,C07-08,140,Salivary glands,2,7,0,103,7,0.49,0.28,0.05
3,C09-10,140,Oropharynx,2,0,0,0,0,0.00,0.00,0.00
4,C11,140,Nasopharynx,2,16,1,235,16,1.0,0.63,0.11
5,C12-13,140,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,140,Oesophagus,2,16,1,235,16,1.2,0.63,0.15
7,C16,140,Stomach,2,47,29,77,47,3.5,1.9,0.38
8,C18,140,Colon,2,34,12,93,34,2.4,1.3,0.24
9,C19-20,140,Rectum,2,36,15,88,36,2.4,1.4,0.25
10,C21,140,Anus,2,9,2,46,9,0.63,0.36,0.08
11,C22,140,Liver and intrahepatic bile ducts,2,53,36,78,53,3.8,2.1,0.42
12,C23,140,Gallbladder,2,6,0,88,6,0.45,0.24,0.05
13,C25,140,Pancreas,2,12,5,29,12,0.90,0.47,0.11
14,C32,140,Larynx,2,2,1,8,2,0.17,0.08,0.04
15,C33-34,140,"Trachea, bronchus and lung",2,18,3,94,18,1.5,0.71,0.18
16,C43,140,Melanoma of skin,2,12,4,36,12,0.94,0.47,0.13
18,C45,140,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,140,Kaposi sarcoma,2,17,1,250,17,0.85,0.67,0.08
20,C50,140,Breast,2,574,438,753,574,37.7,22.7,3.9
21,C51,140,Vulva,2,16,6,42,16,1.3,0.63,0.16
22,C52,140,Vagina,2,3,0,27,3,0.21,0.12,0.03
23,C53,140,Cervix uteri,2,295,219,398,295,21.8,11.7,2.5
24,C54,140,Corpus uteri,2,25,4,150,25,2.0,0.99,0.26
25,C56,140,Ovary,2,86,38,195,86,5.8,3.4,0.64
29,C64,140,Kidney,2,18,4,82,18,1.0,0.71,0.11
30,C67,140,Bladder,2,13,1,191,13,1.0,0.51,0.13
31,C70-72,140," Brain, central nervous system",2,12,1,177,12,0.69,0.47,0.07
32,C73,140,Thyroid,2,22,1,324,22,1.7,0.87,0.18
33,C81,140,Hodgkin lymphoma,2,4,0,59,4,0.16,0.16,0.01
34,C82-86+C88,140,Non-Hodgkin lymphoma,2,54,4,794,54,3.4,2.1,0.37
35,C90,140,Multiple myeloma,2,12,5,28,12,0.93,0.47,0.12
36,C91-95,140,Leukaemia,2,42,20,86,42,2.6,1.7,0.26
