Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,148,All cancers excl. non-melanoma skin cancer,2,4559,4409,4715,4559,94.1,52.3,9.8
1,C00-06,148,"Lip, oral cavity",2,122,99,150,122,2.6,1.4,0.30
2,C07-08,148,Salivary glands,2,10,5,20,10,0.12,0.11,0.01
3,C09-10,148,Oropharynx,2,12,6,23,12,0.11,0.14,0.01
4,C11,148,Nasopharynx,2,27,17,42,27,0.80,0.31,0.20
5,C12-13,148,Hypopharynx,2,10,5,20,10,0.31,0.11,0.04
6,C15,148,Oesophagus,2,76,59,99,76,1.7,0.87,0.20
7,C16,148,Stomach,2,115,93,142,115,2.5,1.3,0.37
8,C18,148,Colon,2,50,36,69,50,0.68,0.57,0.09
9,C19-20,148,Rectum,2,22,14,36,22,0.53,0.25,0.05
10,C21,148,Anus,2,0,0,0,0,0.00,0.00,0.00
11,C22,148,Liver and intrahepatic bile ducts,2,674,618,735,674,15.4,7.7,1.9
12,C23,148,Gallbladder,2,0,0,0,0,0.00,0.00,0.00
13,C25,148,Pancreas,2,95,75,120,95,2.1,1.1,0.21
14,C32,148,Larynx,2,22,14,36,22,0.28,0.25,0.02
15,C33-34,148,"Trachea, bronchus and lung",2,25,16,39,25,0.64,0.29,0.03
16,C43,148,Melanoma of skin,2,18,11,31,18,0.52,0.21,0.09
18,C45,148,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,148,Kaposi sarcoma,2,10,5,20,10,0.12,0.11,0.01
20,C50,148,Breast,2,749,688,815,749,14.2,8.6,1.4
21,C51,148,Vulva,2,30,20,45,30,0.62,0.34,0.06
22,C52,148,Vagina,2,17,10,29,17,0.43,0.19,0.05
23,C53,148,Cervix uteri,2,1111,1037,1190,1111,23.5,12.7,2.5
24,C54,148,Corpus uteri,2,40,28,57,40,0.71,0.46,0.06
25,C56,148,Ovary,2,192,162,228,192,3.6,2.2,0.29
29,C64,148,Kidney,2,81,62,106,81,1.6,0.93,0.21
30,C67,148,Bladder,2,90,71,114,90,1.9,1.0,0.23
31,C70-72,148," Brain, central nervous system",2,49,35,68,49,0.86,0.56,0.08
32,C73,148,Thyroid,2,408,365,456,408,8.5,4.7,0.94
33,C81,148,Hodgkin lymphoma,2,0,0,0,0,0.00,0.00,0.00
34,C82-86+C88,148,Non-Hodgkin lymphoma,2,49,35,68,49,0.81,0.56,0.05
35,C90,148,Multiple myeloma,2,27,17,42,27,0.68,0.31,0.08
36,C91-95,148,Leukaemia,2,24,15,38,24,0.66,0.28,0.07
