Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,180,All cancers excl. non-melanoma skin cancer,2,29277,28821,29741,29277,106.8,61.4,11.1
1,C00-06,180,"Lip, oral cavity",2,215,15,3163,215,0.80,0.45,0.08
2,C07-08,180,Salivary glands,2,70,5,1030,70,0.26,0.15,0.03
3,C09-10,180,Oropharynx,2,18,1,265,18,0.07,0.04,0.01
4,C11,180,Nasopharynx,2,207,14,3045,207,0.71,0.43,0.07
5,C12-13,180,Hypopharynx,2,19,1,280,19,0.08,0.04,0.01
6,C15,180,Oesophagus,2,486,33,7150,486,2.0,1.0,0.23
7,C16,180,Stomach,2,843,469,1514,843,3.4,1.8,0.38
8,C18,180,Colon,2,539,125,2328,539,2.1,1.1,0.23
9,C19-20,180,Rectum,2,685,279,1682,685,2.7,1.4,0.31
10,C21,180,Anus,2,261,18,3840,261,1.0,0.55,0.11
11,C22,180,Liver and intrahepatic bile ducts,2,1031,564,1886,1031,4.0,2.2,0.45
12,C23,180,Gallbladder,2,54,4,794,54,0.23,0.11,0.03
13,C25,180,Pancreas,2,324,78,1352,324,1.3,0.68,0.16
14,C32,180,Larynx,2,56,8,402,56,0.21,0.12,0.02
15,C33-34,180,"Trachea, bronchus and lung",2,404,56,2897,404,1.6,0.85,0.19
16,C43,180,Melanoma of skin,2,265,37,1881,265,1.1,0.56,0.12
18,C45,180,Mesothelioma,2,2,1,4,2,0.01,0.00,0.00
19,C46,180,Kaposi sarcoma,2,27,2,397,27,0.07,0.06,0.01
20,C50,180,Breast,2,7385,6084,8964,7385,26.5,15.5,2.8
21,C51,180,Vulva,2,332,116,950,332,1.2,0.70,0.13
22,C52,180,Vagina,2,118,8,1736,118,0.45,0.25,0.05
23,C53,180,Cervix uteri,2,8705,5447,13912,8705,32.9,18.3,3.7
24,C54,180,Corpus uteri,2,474,78,2871,474,2.0,0.99,0.25
25,C56,180,Ovary,2,1113,634,1953,1113,4.1,2.3,0.44
29,C64,180,Kidney,2,429,63,2930,429,1.1,0.90,0.09
30,C67,180,Bladder,2,267,18,3928,267,1.1,0.56,0.13
31,C70-72,180," Brain, central nervous system",2,194,13,2854,194,0.62,0.41,0.06
32,C73,180,Thyroid,2,242,16,3560,242,0.94,0.51,0.10
33,C81,180,Hodgkin lymphoma,2,123,8,1809,123,0.37,0.26,0.03
34,C82-86+C88,180,Non-Hodgkin lymphoma,2,861,59,12666,861,2.7,1.8,0.27
35,C90,180,Multiple myeloma,2,223,15,3281,223,0.90,0.47,0.11
36,C91-95,180,Leukaemia,2,647,313,1339,647,1.9,1.4,0.19
