Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,178,All cancers excl. non-melanoma skin cancer,2,1549,1464,1639,1549,82.0,53.4,8.9
1,C00-06,178,"Lip, oral cavity",2,9,1,83,9,0.55,0.31,0.08
2,C07-08,178,Salivary glands,2,2,0,18,2,0.15,0.07,0.02
3,C09-10,178,Oropharynx,2,2,0,18,2,0.12,0.07,0.02
4,C11,178,Nasopharynx,2,7,1,54,7,0.36,0.24,0.04
5,C12-13,178,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,178,Oesophagus,2,5,1,46,5,0.30,0.17,0.05
7,C16,178,Stomach,2,54,36,81,54,3.1,1.9,0.35
8,C18,178,Colon,2,33,16,66,33,1.9,1.1,0.20
9,C19-20,178,Rectum,2,36,19,68,36,2.0,1.2,0.25
10,C21,178,Anus,2,15,7,32,15,0.84,0.52,0.11
11,C22,178,Liver and intrahepatic bile ducts,2,81,53,123,81,4.3,2.8,0.46
12,C23,178,Gallbladder,2,2,0,18,2,0.15,0.07,0.03
13,C25,178,Pancreas,2,17,7,42,17,1.0,0.59,0.13
14,C32,178,Larynx,2,6,1,55,6,0.37,0.21,0.06
15,C33-34,178,"Trachea, bronchus and lung",2,13,6,31,13,0.80,0.45,0.10
16,C43,178,Melanoma of skin,2,19,5,66,19,1.2,0.66,0.17
18,C45,178,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,178,Kaposi sarcoma,2,4,0,37,4,0.17,0.14,0.02
20,C50,178,Breast,2,530,443,634,530,26.9,18.3,2.9
21,C51,178,Vulva,2,23,9,62,23,1.6,0.79,0.19
22,C52,178,Vagina,2,5,1,46,5,0.29,0.17,0.04
23,C53,178,Cervix uteri,2,397,327,482,397,22.3,13.7,2.6
24,C54,178,Corpus uteri,2,21,7,62,21,1.2,0.72,0.16
25,C56,178,Ovary,2,68,43,108,68,3.5,2.3,0.39
29,C64,178,Kidney,2,18,6,54,18,0.58,0.62,0.04
30,C67,178,Bladder,2,11,2,73,11,0.62,0.38,0.08
31,C70-72,178," Brain, central nervous system",2,7,1,37,7,0.29,0.24,0.03
32,C73,178,Thyroid,2,5,1,46,5,0.26,0.17,0.03
33,C81,178,Hodgkin lymphoma,2,1,0,9,1,0.05,0.03,0.00
34,C82-86+C88,178,Non-Hodgkin lymphoma,2,20,8,47,20,0.88,0.69,0.09
35,C90,178,Multiple myeloma,2,21,7,62,21,1.3,0.72,0.15
36,C91-95,178,Leukaemia,2,48,27,87,48,2.2,1.7,0.24
