Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,384,All cancers excl. non-melanoma skin cancer,2,11410,11163,11662,11410,142.1,82.9,14.3
1,C00-06,384,"Lip, oral cavity",2,101,69,148,101,1.5,0.73,0.15
2,C07-08,384,Salivary glands,2,58,35,96,58,0.77,0.42,0.06
3,C09-10,384,Oropharynx,2,18,7,47,18,0.20,0.13,0.02
4,C11,384,Nasopharynx,2,51,29,90,51,0.42,0.37,0.03
5,C12-13,384,Hypopharynx,2,7,2,32,7,0.14,0.05,0.00
6,C15,384,Oesophagus,2,39,20,75,39,0.58,0.28,0.05
7,C16,384,Stomach,2,317,253,397,317,5.0,2.3,0.51
8,C18,384,Colon,2,289,230,364,289,4.3,2.1,0.53
9,C19-20,384,Rectum,2,143,103,198,143,1.9,1.0,0.19
10,C21,384,Anus,2,54,31,95,54,0.65,0.39,0.07
11,C22,384,Liver and intrahepatic bile ducts,2,407,335,495,407,5.5,3.0,0.62
12,C23,384,Gallbladder,2,77,49,122,77,0.94,0.56,0.10
13,C25,384,Pancreas,2,150,109,207,150,2.4,1.1,0.28
14,C32,384,Larynx,2,7,2,32,7,0.10,0.05,0.01
15,C33-34,384,"Trachea, bronchus and lung",2,95,64,142,95,1.4,0.69,0.17
16,C43,384,Melanoma of skin,2,38,19,77,38,0.56,0.28,0.07
18,C45,384,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,384,Kaposi sarcoma,2,100,68,147,100,0.96,0.73,0.08
20,C50,384,Breast,2,3869,3606,4151,3869,45.4,28.1,4.7
21,C51,384,Vulva,2,34,16,70,34,0.41,0.25,0.05
22,C52,384,Vagina,2,59,32,110,59,0.79,0.43,0.08
23,C53,384,Cervix uteri,2,2360,2166,2571,2360,32.0,17.1,3.5
24,C54,384,Corpus uteri,2,285,223,365,285,4.5,2.1,0.54
25,C56,384,Ovary,2,339,271,425,339,4.3,2.5,0.49
29,C64,384,Kidney,2,143,100,205,143,1.4,1.0,0.12
30,C67,384,Bladder,2,52,31,87,52,0.76,0.38,0.09
31,C70-72,384," Brain, central nervous system",2,107,73,157,107,1.4,0.78,0.17
32,C73,384,Thyroid,2,109,74,161,109,1.3,0.79,0.13
33,C81,384,Hodgkin lymphoma,2,47,26,85,47,0.45,0.34,0.05
34,C82-86+C88,384,Non-Hodgkin lymphoma,2,438,362,530,438,4.4,3.2,0.42
35,C90,384,Multiple myeloma,2,85,55,132,85,1.2,0.62,0.16
36,C91-95,384,Leukaemia,2,112,77,163,112,1.1,0.81,0.10
