Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,262,All cancers excl. non-melanoma skin cancer,2,485,431,545,485,109.2,100.3,11.3
1,C00-06,262,"Lip, oral cavity",2,7,5,11,7,1.6,1.5,0.19
2,C07-08,262,Salivary glands,2,0,0,0,0,0.00,0.00,0.00
3,C09-10,262,Oropharynx,2,0,0,0,0,0.00,0.00,0.00
4,C11,262,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,262,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,262,Oesophagus,2,11,8,15,11,2.6,2.3,0.30
7,C16,262,Stomach,2,12,7,19,12,2.9,2.5,0.28
8,C18,262,Colon,2,14,9,21,14,3.1,2.9,0.33
9,C19-20,262,Rectum,2,11,9,14,11,2.4,2.3,0.27
10,C21,262,Anus,2,0,0,0,0,0.00,0.00,0.00
11,C22,262,Liver and intrahepatic bile ducts,2,8,7,10,8,1.9,1.7,0.22
12,C23,262,Gallbladder,2,4,3,6,4,1.1,0.83,0.15
13,C25,262,Pancreas,2,5,3,9,5,1.2,1.0,0.19
14,C32,262,Larynx,2,0,0,0,0,0.00,0.00,0.00
15,C33-34,262,"Trachea, bronchus and lung",2,10,6,16,10,2.5,2.1,0.24
16,C43,262,Melanoma of skin,2,0,0,0,0,0.00,0.00,0.00
18,C45,262,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,262,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,262,Breast,2,180,142,228,180,38.1,37.2,3.9
21,C51,262,Vulva,2,3,2,4,3,0.86,0.62,0.15
22,C52,262,Vagina,2,1,1,2,1,0.22,0.21,0.03
23,C53,262,Cervix uteri,2,71,49,102,71,16.5,14.7,1.9
24,C54,262,Corpus uteri,2,10,7,14,10,2.5,2.1,0.32
25,C56,262,Ovary,2,29,24,35,29,6.5,6.0,0.76
29,C64,262,Kidney,2,7,5,9,7,1.7,1.5,0.18
30,C67,262,Bladder,2,4,3,6,4,1.1,0.83,0.15
31,C70-72,262," Brain, central nervous system",2,3,2,4,3,0.68,0.62,0.09
32,C73,262,Thyroid,2,21,15,30,21,4.7,4.3,0.53
33,C81,262,Hodgkin lymphoma,2,0,0,0,0,0.00,0.00,0.00
34,C82-86+C88,262,Non-Hodgkin lymphoma,2,13,10,17,13,2.9,2.7,0.34
35,C90,262,Multiple myeloma,2,1,1,1,1,0.30,0.21,0.05
36,C91-95,262,Leukaemia,2,16,13,20,16,3.6,3.3,0.31
