Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,818,All cancers excl. non-melanoma skin cancer,2,76120,75418,76829,76120,159.3,144.9,15.9
1,C00-06,818,"Lip, oral cavity",2,881,729,1065,881,1.9,1.7,0.21
2,C07-08,818,Salivary glands,2,193,132,282,193,0.39,0.37,0.03
3,C09-10,818,Oropharynx,2,79,37,169,79,0.17,0.15,0.02
4,C11,818,Nasopharynx,2,68,34,137,68,0.13,0.13,0.01
5,C12-13,818,Hypopharynx,2,135,87,209,135,0.29,0.26,0.03
6,C15,818,Oesophagus,2,690,587,811,690,1.5,1.3,0.17
7,C16,818,Stomach,2,1659,1488,1850,1659,3.5,3.2,0.40
8,C18,818,Colon,2,1849,1666,2052,1849,3.9,3.5,0.43
9,C19-20,818,Rectum,2,1036,849,1264,1036,2.2,2.0,0.24
10,C21,818,Anus,2,116,68,197,116,0.24,0.22,0.02
11,C22,818,Liver and intrahepatic bile ducts,2,10187,9748,10646,10187,22.0,19.4,2.5
12,C23,818,Gallbladder,2,414,348,493,414,0.90,0.79,0.10
13,C25,818,Pancreas,2,1307,1155,1479,1307,2.8,2.5,0.34
14,C32,818,Larynx,2,197,130,298,197,0.42,0.38,0.05
15,C33-34,818,"Trachea, bronchus and lung",2,2044,1806,2314,2044,4.4,3.9,0.49
16,C43,818,Melanoma of skin,2,101,61,168,101,0.22,0.19,0.03
18,C45,818,Mesothelioma,2,167,103,271,167,0.35,0.32,0.04
19,C46,818,Kaposi sarcoma,2,13,2,109,13,0.03,0.02,0.00
20,C50,818,Breast,2,26845,25873,27854,26845,55.4,51.1,5.7
21,C51,818,Vulva,2,253,186,344,253,0.53,0.48,0.06
22,C52,818,Vagina,2,95,46,198,95,0.21,0.18,0.03
23,C53,818,Cervix uteri,2,1302,1153,1470,1302,2.8,2.5,0.31
24,C54,818,Corpus uteri,2,2048,1801,2329,2048,4.5,3.9,0.54
25,C56,818,Ovary,2,3070,2834,3326,3070,6.4,5.8,0.69
29,C64,818,Kidney,2,951,822,1100,951,2.0,1.8,0.20
30,C67,818,Bladder,2,2681,2406,2987,2681,5.8,5.1,0.69
31,C70-72,818," Brain, central nervous system",2,2039,1849,2249,2039,4.1,3.9,0.38
32,C73,818,Thyroid,2,1813,1635,2011,1813,3.7,3.5,0.38
33,C81,818,Hodgkin lymphoma,2,582,473,715,582,1.2,1.1,0.10
34,C82-86+C88,818,Non-Hodgkin lymphoma,2,4162,3819,4536,4162,8.8,7.9,0.96
35,C90,818,Multiple myeloma,2,316,231,432,316,0.70,0.60,0.08
36,C91-95,818,Leukaemia,2,2862,2578,3177,2862,5.8,5.5,0.55
