Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,226,All cancers excl. non-melanoma skin cancer,2,509,452,573,509,126.3,76.7,12.6
1,C00-06,226,"Lip, oral cavity",2,5,2,13,5,1.8,0.75,0.24
2,C07-08,226,Salivary glands,2,1,0,2,1,0.11,0.15,0.01
3,C09-10,226,Oropharynx,2,2,0,29,2,0.54,0.30,0.06
4,C11,226,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,226,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,226,Oesophagus,2,2,1,4,2,0.43,0.30,0.04
7,C16,226,Stomach,2,10,2,56,10,2.8,1.5,0.30
8,C18,226,Colon,2,12,6,23,12,3.2,1.8,0.33
9,C19-20,226,Rectum,2,2,1,3,2,0.41,0.30,0.05
10,C21,226,Anus,2,2,1,4,2,0.43,0.30,0.04
11,C22,226,Liver and intrahepatic bile ducts,2,16,12,21,16,4.7,2.4,0.56
12,C23,226,Gallbladder,2,1,0,4,1,0.30,0.15,0.04
13,C25,226,Pancreas,2,6,4,8,6,1.9,0.90,0.22
14,C32,226,Larynx,2,0,0,0,0,0.00,0.00,0.00
15,C33-34,226,"Trachea, bronchus and lung",2,9,4,20,9,2.5,1.4,0.30
16,C43,226,Melanoma of skin,2,3,1,6,3,0.92,0.45,0.07
18,C45,226,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,226,Kaposi sarcoma,2,13,4,46,13,2.6,2.0,0.25
20,C50,226,Breast,2,174,135,224,174,41.0,26.2,4.1
21,C51,226,Vulva,2,0,0,0,0,0.00,0.00,0.00
22,C52,226,Vagina,2,1,0,2,1,0.14,0.15,0.01
23,C53,226,Cervix uteri,2,127,100,162,127,33.2,19.1,3.5
24,C54,226,Corpus uteri,2,12,6,22,12,3.8,1.8,0.46
25,C56,226,Ovary,2,24,17,34,24,6.3,3.6,0.70
29,C64,226,Kidney,2,4,2,7,4,0.77,0.60,0.07
30,C67,226,Bladder,2,2,1,5,2,0.71,0.30,0.10
31,C70-72,226," Brain, central nervous system",2,4,1,13,4,0.84,0.60,0.08
32,C73,226,Thyroid,2,4,2,10,4,0.59,0.60,0.05
33,C81,226,Hodgkin lymphoma,2,2,0,29,2,0.28,0.30,0.02
34,C82-86+C88,226,Non-Hodgkin lymphoma,2,24,10,59,24,4.9,3.6,0.54
35,C90,226,Multiple myeloma,2,3,1,12,3,0.99,0.45,0.12
36,C91-95,226,Leukaemia,2,9,2,42,9,1.7,1.4,0.16
