Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,232,All cancers excl. non-melanoma skin cancer,2,1520,1423,1624,1520,117.1,83.2,12.0
1,C00-06,232,"Lip, oral cavity",2,19,14,26,19,1.5,1.0,0.15
2,C07-08,232,Salivary glands,2,7,2,21,7,0.52,0.38,0.05
3,C09-10,232,Oropharynx,2,0,0,0,0,0.00,0.00,0.00
4,C11,232,Nasopharynx,2,12,8,17,12,0.86,0.66,0.09
5,C12-13,232,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,232,Oesophagus,2,38,29,50,38,3.1,2.1,0.34
7,C16,232,Stomach,2,41,27,63,41,3.2,2.2,0.33
8,C18,232,Colon,2,41,30,56,41,3.2,2.2,0.36
9,C19-20,232,Rectum,2,38,31,47,38,2.9,2.1,0.31
10,C21,232,Anus,2,3,1,6,3,0.20,0.16,0.02
11,C22,232,Liver and intrahepatic bile ducts,2,41,32,53,41,3.3,2.2,0.39
12,C23,232,Gallbladder,2,14,9,21,14,1.2,0.77,0.15
13,C25,232,Pancreas,2,14,9,22,14,1.1,0.77,0.12
14,C32,232,Larynx,2,3,1,8,3,0.18,0.16,0.02
15,C33-34,232,"Trachea, bronchus and lung",2,34,22,53,34,2.8,1.9,0.33
16,C43,232,Melanoma of skin,2,4,3,6,4,0.34,0.22,0.05
18,C45,232,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,232,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,232,Breast,2,502,421,598,502,37.8,27.5,3.9
21,C51,232,Vulva,2,16,10,25,16,1.3,0.88,0.14
22,C52,232,Vagina,2,5,2,11,5,0.47,0.27,0.07
23,C53,232,Cervix uteri,2,196,151,255,196,16.4,10.7,1.9
24,C54,232,Corpus uteri,2,31,24,40,31,2.6,1.7,0.31
25,C56,232,Ovary,2,92,78,108,92,7.2,5.0,0.79
29,C64,232,Kidney,2,25,19,32,25,1.8,1.4,0.19
30,C67,232,Bladder,2,18,12,26,18,1.5,0.99,0.19
31,C70-72,232," Brain, central nervous system",2,17,13,23,17,1.2,0.93,0.12
32,C73,232,Thyroid,2,63,48,83,63,4.8,3.5,0.51
33,C81,232,Hodgkin lymphoma,2,5,4,6,5,0.26,0.27,0.01
34,C82-86+C88,232,Non-Hodgkin lymphoma,2,45,36,57,45,3.3,2.5,0.35
35,C90,232,Multiple myeloma,2,8,3,18,8,0.76,0.44,0.10
36,C91-95,232,Leukaemia,2,56,46,69,56,3.9,3.1,0.38
