Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,231,All cancers excl. non-melanoma skin cancer,2,51202,50687,51722,51202,128.1,84.8,13.1
1,C00-06,231,"Lip, oral cavity",2,544,459,645,544,1.4,0.90,0.16
2,C07-08,231,Salivary glands,2,269,212,342,269,0.64,0.45,0.07
3,C09-10,231,Oropharynx,2,35,12,104,35,0.09,0.06,0.01
4,C11,231,Nasopharynx,2,299,237,377,299,0.68,0.50,0.07
5,C12-13,231,Hypopharynx,2,19,4,84,19,0.06,0.03,0.01
6,C15,231,Oesophagus,2,925,814,1051,925,2.6,1.5,0.31
7,C16,231,Stomach,2,1242,1127,1368,1242,3.3,2.1,0.36
8,C18,231,Colon,2,1747,1591,1918,1747,4.7,2.9,0.52
9,C19-20,231,Rectum,2,1272,1137,1423,1272,3.3,2.1,0.38
10,C21,231,Anus,2,185,138,248,185,0.44,0.31,0.05
11,C22,231,Liver and intrahepatic bile ducts,2,1151,1022,1296,1151,3.2,1.9,0.37
12,C23,231,Gallbladder,2,293,232,370,293,0.85,0.49,0.11
13,C25,231,Pancreas,2,472,394,566,472,1.3,0.78,0.15
14,C32,231,Larynx,2,84,41,172,84,0.21,0.14,0.03
15,C33-34,231,"Trachea, bronchus and lung",2,1260,1125,1411,1260,3.5,2.1,0.39
16,C43,231,Melanoma of skin,2,135,98,185,135,0.35,0.22,0.04
18,C45,231,Mesothelioma,2,3,0,30,3,0.01,0.00,0.00
19,C46,231,Kaposi sarcoma,2,49,19,124,49,0.10,0.08,0.01
20,C50,231,Breast,2,16904,14426,19807,16904,40.8,28.0,4.2
21,C51,231,Vulva,2,483,400,584,483,1.1,0.80,0.11
22,C52,231,Vagina,2,220,168,287,220,0.59,0.36,0.08
23,C53,231,Cervix uteri,2,8168,7808,8544,8168,22.3,13.5,2.5
24,C54,231,Corpus uteri,2,876,766,1002,876,2.4,1.5,0.27
25,C56,231,Ovary,2,2696,2495,2913,2696,6.8,4.5,0.74
29,C64,231,Kidney,2,772,680,877,772,1.7,1.3,0.17
30,C67,231,Bladder,2,530,452,621,530,1.6,0.88,0.20
31,C70-72,231," Brain, central nervous system",2,526,434,638,526,1.2,0.87,0.12
32,C73,231,Thyroid,2,2352,2174,2545,2352,5.4,3.9,0.58
33,C81,231,Hodgkin lymphoma,2,217,167,282,217,0.40,0.36,0.03
34,C82-86+C88,231,Non-Hodgkin lymphoma,2,1390,1248,1548,1390,3.2,2.3,0.34
35,C90,231,Multiple myeloma,2,135,93,197,135,0.37,0.22,0.04
36,C91-95,231,Leukaemia,2,2085,1907,2280,2085,4.6,3.5,0.44
