Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,638,All cancers excl. non-melanoma skin cancer,2,1244,1171,1321,1244,163.8,265.4,16.6
1,C00-06,638,"Lip, oral cavity",2,13,12,14,13,1.6,2.8,0.17
2,C07-08,638,Salivary glands,2,0,0,0,0,0.00,0.00,0.00
3,C09-10,638,Oropharynx,2,3,3,3,3,0.47,0.64,0.05
4,C11,638,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,638,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,638,Oesophagus,2,4,4,4,4,0.45,0.85,0.06
7,C16,638,Stomach,2,57,46,70,57,6.2,12.2,0.70
8,C18,638,Colon,2,102,99,105,102,11.8,21.8,1.4
9,C19-20,638,Rectum,2,42,41,44,42,4.9,9.0,0.59
10,C21,638,Anus,2,9,8,10,9,1.1,1.9,0.13
11,C22,638,Liver and intrahepatic bile ducts,2,43,40,46,43,4.6,9.2,0.55
12,C23,638,Gallbladder,2,15,7,31,15,1.6,3.2,0.20
13,C25,638,Pancreas,2,38,37,39,38,4.3,8.1,0.49
14,C32,638,Larynx,2,1,1,1,1,0.15,0.21,0.02
15,C33-34,638,"Trachea, bronchus and lung",2,80,79,81,80,9.2,17.1,1.0
16,C43,638,Melanoma of skin,2,19,18,20,19,3.0,4.1,0.30
18,C45,638,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,638,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,638,Breast,2,382,377,387,382,55.9,81.5,5.9
21,C51,638,Vulva,2,9,8,11,9,0.99,1.9,0.13
22,C52,638,Vagina,2,0,0,0,0,0.00,0.00,0.00
23,C53,638,Cervix uteri,2,75,61,92,75,11.0,16.0,1.2
24,C54,638,Corpus uteri,2,45,44,46,45,5.6,9.6,0.71
25,C56,638,Ovary,2,41,40,42,41,5.5,8.8,0.62
29,C64,638,Kidney,2,17,17,17,17,2.3,3.6,0.23
30,C67,638,Bladder,2,17,16,18,17,1.7,3.6,0.20
31,C70-72,638," Brain, central nervous system",2,19,18,20,19,2.9,4.1,0.31
32,C73,638,Thyroid,2,29,27,31,29,4.8,6.2,0.47
33,C81,638,Hodgkin lymphoma,2,3,3,4,3,0.66,0.64,0.06
34,C82-86+C88,638,Non-Hodgkin lymphoma,2,33,32,34,33,4.1,7.0,0.44
35,C90,638,Multiple myeloma,2,24,22,26,24,2.7,5.1,0.32
36,C91-95,638,Leukaemia,2,37,36,39,37,5.6,7.9,0.52
