Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,266,All cancers excl. non-melanoma skin cancer,2,1116,1042,1195,1116,132.6,97.4,13.2
1,C00-06,266,"Lip, oral cavity",2,14,4,53,14,2.1,1.2,0.25
2,C07-08,266,Salivary glands,2,5,1,29,5,0.64,0.44,0.08
3,C09-10,266,Oropharynx,2,6,1,59,6,0.76,0.52,0.07
4,C11,266,Nasopharynx,2,4,0,39,4,0.52,0.35,0.06
5,C12-13,266,Hypopharynx,2,1,0,10,1,0.18,0.09,0.02
6,C15,266,Oesophagus,2,9,2,41,9,1.1,0.79,0.12
7,C16,266,Stomach,2,12,4,33,12,1.5,1.1,0.16
8,C18,266,Colon,2,28,13,59,28,3.5,2.4,0.37
9,C19-20,266,Rectum,2,10,3,35,10,1.3,0.87,0.16
10,C21,266,Anus,2,6,2,14,6,0.71,0.52,0.07
11,C22,266,Liver and intrahepatic bile ducts,2,61,37,100,61,7.7,5.3,0.86
12,C23,266,Gallbladder,2,6,1,59,6,0.75,0.52,0.07
13,C25,266,Pancreas,2,27,13,58,27,3.6,2.4,0.38
14,C32,266,Larynx,2,3,0,30,3,0.43,0.26,0.05
15,C33-34,266,"Trachea, bronchus and lung",2,20,8,48,20,2.7,1.8,0.30
16,C43,266,Melanoma of skin,2,10,3,35,10,1.4,0.87,0.12
18,C45,266,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,266,Kaposi sarcoma,2,19,8,47,19,2.0,1.7,0.19
20,C50,266,Breast,2,323,256,407,323,36.4,28.2,3.8
21,C51,266,Vulva,2,2,0,20,2,0.24,0.17,0.02
22,C52,266,Vagina,2,4,1,21,4,0.46,0.35,0.05
23,C53,266,Cervix uteri,2,271,210,350,271,32.5,23.7,3.5
24,C54,266,Corpus uteri,2,29,14,61,29,4.0,2.5,0.47
25,C56,266,Ovary,2,65,40,105,65,7.8,5.7,0.84
29,C64,266,Kidney,2,14,5,40,14,1.6,1.2,0.15
30,C67,266,Bladder,2,10,1,96,10,1.5,0.87,0.16
31,C70-72,266," Brain, central nervous system",2,10,2,42,10,0.99,0.87,0.09
32,C73,266,Thyroid,2,11,3,36,11,1.2,0.96,0.13
33,C81,266,Hodgkin lymphoma,2,3,0,30,3,0.25,0.26,0.02
34,C82-86+C88,266,Non-Hodgkin lymphoma,2,36,19,70,36,3.7,3.1,0.36
35,C90,266,Multiple myeloma,2,8,1,49,8,1.2,0.70,0.14
36,C91-95,266,Leukaemia,2,13,4,39,13,1.3,1.1,0.11
