Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,624,All cancers excl. non-melanoma skin cancer,2,726,657,802,726,110.3,69.0,11.6
1,C00-06,624,"Lip, oral cavity",2,5,2,15,5,0.92,0.48,0.14
2,C07-08,624,Salivary glands,2,2,0,29,2,0.35,0.19,0.05
3,C09-10,624,Oropharynx,2,0,0,0,0,0.00,0.00,0.00
4,C11,624,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,624,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,624,Oesophagus,2,4,0,59,4,0.75,0.38,0.12
7,C16,624,Stomach,2,25,7,96,25,4.5,2.4,0.48
8,C18,624,Colon,2,12,1,139,12,2.0,1.1,0.25
9,C19-20,624,Rectum,2,10,2,60,10,1.5,0.95,0.18
10,C21,624,Anus,2,0,0,0,0,0.00,0.00,0.00
11,C22,624,Liver and intrahepatic bile ducts,2,65,28,149,65,10.5,6.2,1.2
12,C23,624,Gallbladder,2,0,0,0,0,0.00,0.00,0.00
13,C25,624,Pancreas,2,3,1,11,3,0.57,0.29,0.10
14,C32,624,Larynx,2,0,0,0,0,0.00,0.00,0.00
15,C33-34,624,"Trachea, bronchus and lung",2,8,1,118,8,1.4,0.76,0.16
16,C43,624,Melanoma of skin,2,3,0,44,3,0.57,0.29,0.10
18,C45,624,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,624,Kaposi sarcoma,2,2,0,29,2,0.17,0.19,0.01
20,C50,624,Breast,2,186,136,254,186,27.2,17.7,2.9
21,C51,624,Vulva,2,1,0,5,1,0.18,0.10,0.05
22,C52,624,Vagina,2,1,0,2,1,0.21,0.10,0.03
23,C53,624,Cervix uteri,2,224,99,508,224,34.3,21.3,3.7
24,C54,624,Corpus uteri,2,13,4,45,13,2.4,1.2,0.30
25,C56,624,Ovary,2,27,11,67,27,4.0,2.6,0.46
29,C64,624,Kidney,2,7,1,40,7,0.96,0.67,0.12
30,C67,624,Bladder,2,9,1,132,9,1.5,0.86,0.17
31,C70-72,624," Brain, central nervous system",2,16,1,235,16,2.4,1.5,0.26
32,C73,624,Thyroid,2,4,0,37,4,0.70,0.38,0.08
33,C81,624,Hodgkin lymphoma,2,1,0,15,1,0.08,0.10,0.00
34,C82-86+C88,624,Non-Hodgkin lymphoma,2,18,8,38,18,2.3,1.7,0.24
35,C90,624,Multiple myeloma,2,2,0,29,2,0.39,0.19,0.06
36,C91-95,624,Leukaemia,2,5,2,14,5,0.85,0.48,0.10
