Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,324,All cancers excl. non-melanoma skin cancer,2,5508,5326,5696,5508,121.3,77.2,12.1
1,C00-06,324,"Lip, oral cavity",2,38,12,117,38,0.89,0.53,0.09
2,C07-08,324,Salivary glands,2,5,0,61,5,0.10,0.07,0.01
3,C09-10,324,Oropharynx,2,3,0,36,3,0.07,0.04,0.01
4,C11,324,Nasopharynx,2,2,0,24,2,0.03,0.03,0.00
5,C12-13,324,Hypopharynx,2,1,0,12,1,0.02,0.01,0.00
6,C15,324,Oesophagus,2,16,2,115,16,0.38,0.22,0.05
7,C16,324,Stomach,2,144,85,245,144,3.5,2.0,0.40
8,C18,324,Colon,2,39,13,116,39,0.89,0.55,0.11
9,C19-20,324,Rectum,2,57,14,230,57,1.3,0.80,0.15
10,C21,324,Anus,2,15,2,115,15,0.36,0.21,0.03
11,C22,324,Liver and intrahepatic bile ducts,2,646,544,768,646,14.9,9.1,1.7
12,C23,324,Gallbladder,2,6,0,73,6,0.10,0.08,0.01
13,C25,324,Pancreas,2,26,6,122,26,0.66,0.36,0.06
14,C32,324,Larynx,2,24,5,120,24,0.59,0.34,0.06
15,C33-34,324,"Trachea, bronchus and lung",2,81,34,192,81,1.9,1.1,0.20
16,C43,324,Melanoma of skin,2,56,20,159,56,1.5,0.78,0.16
18,C45,324,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,324,Kaposi sarcoma,2,14,2,115,14,0.26,0.20,0.02
20,C50,324,Breast,2,717,608,845,717,16.0,10.1,1.7
21,C51,324,Vulva,2,16,2,115,16,0.40,0.22,0.04
22,C52,324,Vagina,2,22,2,262,22,0.46,0.31,0.05
23,C53,324,Cervix uteri,2,2551,2275,2860,2551,55.0,35.8,5.6
24,C54,324,Corpus uteri,2,66,28,157,66,1.8,0.93,0.17
25,C56,324,Ovary,2,151,102,224,151,3.1,2.1,0.33
29,C64,324,Kidney,2,31,11,89,31,0.49,0.43,0.04
30,C67,324,Bladder,2,18,3,116,18,0.43,0.25,0.05
31,C70-72,324," Brain, central nervous system",2,135,68,266,135,3.8,1.9,0.42
32,C73,324,Thyroid,2,25,4,169,25,0.53,0.35,0.05
33,C81,324,Hodgkin lymphoma,2,29,10,88,29,0.44,0.41,0.03
34,C82-86+C88,324,Non-Hodgkin lymphoma,2,131,81,211,131,2.3,1.8,0.21
35,C90,324,Multiple myeloma,2,7,1,85,7,0.17,0.10,0.01
36,C91-95,324,Leukaemia,2,42,12,142,42,0.90,0.59,0.08
