Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,404,All cancers excl. non-melanoma skin cancer,2,28034,27650,28424,28034,166.0,99.1,17.2
1,C00-06,404,"Lip, oral cavity",2,386,297,502,386,2.6,1.4,0.33
2,C07-08,404,Salivary glands,2,97,57,165,97,0.53,0.34,0.06
3,C09-10,404,Oropharynx,2,21,7,65,21,0.12,0.07,0.01
4,C11,404,Nasopharynx,2,312,231,421,312,1.6,1.1,0.17
5,C12-13,404,Hypopharynx,2,72,42,124,72,0.47,0.25,0.06
6,C15,404,Oesophagus,2,1724,1580,1881,1724,12.2,6.1,1.4
7,C16,404,Stomach,2,1023,904,1157,1023,7.0,3.6,0.85
8,C18,404,Colon,2,908,802,1028,908,5.9,3.2,0.66
9,C19-20,404,Rectum,2,514,428,617,514,3.2,1.8,0.34
10,C21,404,Anus,2,177,115,273,177,1.1,0.63,0.12
11,C22,404,Liver and intrahepatic bile ducts,2,416,341,507,416,2.6,1.5,0.32
12,C23,404,Gallbladder,2,298,222,400,298,2.0,1.1,0.29
13,C25,404,Pancreas,2,502,410,614,502,3.5,1.8,0.46
14,C32,404,Larynx,2,44,23,85,44,0.30,0.16,0.04
15,C33-34,404,"Trachea, bronchus and lung",2,482,381,609,482,3.2,1.7,0.44
16,C43,404,Melanoma of skin,2,154,101,235,154,1.0,0.54,0.13
18,C45,404,Mesothelioma,2,2,0,20,2,0.01,0.01,0.00
19,C46,404,Kaposi sarcoma,2,303,243,378,303,1.2,1.1,0.11
20,C50,404,Breast,2,7243,6897,7607,7243,40.8,25.6,4.5
21,C51,404,Vulva,2,163,110,242,163,0.94,0.58,0.10
22,C52,404,Vagina,2,59,30,116,59,0.36,0.21,0.06
23,C53,404,Cervix uteri,2,5845,5527,6182,5845,32.8,20.7,3.5
24,C54,404,Corpus uteri,2,829,723,951,829,5.8,2.9,0.78
25,C56,404,Ovary,2,1245,1111,1395,1245,7.9,4.4,0.99
29,C64,404,Kidney,2,276,202,378,276,1.4,0.98,0.15
30,C67,404,Bladder,2,209,145,300,209,1.5,0.74,0.18
31,C70-72,404," Brain, central nervous system",2,418,323,541,418,2.3,1.5,0.23
32,C73,404,Thyroid,2,369,282,482,369,2.2,1.3,0.24
33,C81,404,Hodgkin lymphoma,2,169,116,246,169,0.73,0.60,0.07
34,C82-86+C88,404,Non-Hodgkin lymphoma,2,814,706,939,814,4.4,2.9,0.43
35,C90,404,Multiple myeloma,2,471,380,584,471,3.1,1.7,0.35
36,C91-95,404,Leukaemia,2,871,764,993,871,4.6,3.1,0.44
