Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,426,All cancers excl. non-melanoma skin cancer,2,1270,1178,1370,1270,127.6,115.4,12.2
1,C00-06,426,"Lip, oral cavity",2,9,1,132,9,0.94,0.82,0.09
2,C07-08,426,Salivary glands,2,0,0,0,0,0.00,0.00,0.00
3,C09-10,426,Oropharynx,2,0,0,0,0,0.00,0.00,0.00
4,C11,426,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,426,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,426,Oesophagus,2,60,4,883,60,6.0,5.5,0.58
7,C16,426,Stomach,2,15,1,221,15,1.5,1.4,0.14
8,C18,426,Colon,2,24,2,353,24,2.4,2.2,0.28
9,C19-20,426,Rectum,2,17,3,84,17,1.7,1.5,0.19
10,C21,426,Anus,2,5,2,12,5,0.53,0.45,0.05
11,C22,426,Liver and intrahepatic bile ducts,2,20,7,59,20,2.0,1.8,0.17
12,C23,426,Gallbladder,2,0,0,0,0,0.00,0.00,0.00
13,C25,426,Pancreas,2,7,1,91,7,0.69,0.64,0.07
14,C32,426,Larynx,2,0,0,0,0,0.00,0.00,0.00
15,C33-34,426,"Trachea, bronchus and lung",2,37,3,487,37,3.7,3.4,0.40
16,C43,426,Melanoma of skin,2,6,0,88,6,0.59,0.55,0.05
18,C45,426,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,426,Kaposi sarcoma,2,48,3,706,48,4.5,4.4,0.38
20,C50,426,Breast,2,187,116,301,187,18.9,17.0,2.0
21,C51,426,Vulva,2,27,10,72,27,2.8,2.5,0.28
22,C52,426,Vagina,2,3,0,20,3,0.34,0.27,0.03
23,C53,426,Cervix uteri,2,598,492,727,598,60.5,54.3,6.1
24,C54,426,Corpus uteri,2,22,1,324,22,2.3,2.0,0.31
25,C56,426,Ovary,2,26,7,92,26,2.6,2.4,0.29
29,C64,426,Kidney,2,3,2,6,3,0.30,0.27,0.02
30,C67,426,Bladder,2,17,1,250,17,1.7,1.5,0.15
31,C70-72,426," Brain, central nervous system",2,4,1,11,4,0.38,0.36,0.02
32,C73,426,Thyroid,2,5,1,31,5,0.57,0.45,0.08
33,C81,426,Hodgkin lymphoma,2,4,0,38,4,0.32,0.36,0.02
34,C82-86+C88,426,Non-Hodgkin lymphoma,2,18,4,76,18,1.7,1.6,0.15
35,C90,426,Multiple myeloma,2,4,0,59,4,0.46,0.36,0.06
36,C91-95,426,Leukaemia,2,8,3,20,8,0.77,0.73,0.06
