Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,430,All cancers excl. non-melanoma skin cancer,2,2288,2163,2420,2288,126.7,86.8,12.8
1,C00-06,430,"Lip, oral cavity",2,19,4,97,19,1.2,0.72,0.12
2,C07-08,430,Salivary glands,2,2,0,29,2,0.12,0.08,0.01
3,C09-10,430,Oropharynx,2,1,0,15,1,0.05,0.04,0.00
4,C11,430,Nasopharynx,2,3,0,44,3,0.11,0.11,0.01
5,C12-13,430,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,430,Oesophagus,2,8,1,118,8,0.49,0.30,0.06
7,C16,430,Stomach,2,66,33,134,66,4.1,2.5,0.46
8,C18,430,Colon,2,37,3,544,37,2.3,1.4,0.28
9,C19-20,430,Rectum,2,25,4,149,25,1.5,0.95,0.17
10,C21,430,Anus,2,6,1,65,6,0.32,0.23,0.04
11,C22,430,Liver and intrahepatic bile ducts,2,187,109,321,187,10.9,7.1,1.2
12,C23,430,Gallbladder,2,10,1,147,10,0.56,0.38,0.06
13,C25,430,Pancreas,2,22,1,324,22,1.4,0.83,0.17
14,C32,430,Larynx,2,4,0,59,4,0.24,0.15,0.03
15,C33-34,430,"Trachea, bronchus and lung",2,25,12,54,25,1.5,0.95,0.17
16,C43,430,Melanoma of skin,2,13,3,56,13,0.82,0.49,0.10
18,C45,430,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,430,Kaposi sarcoma,2,11,1,162,11,0.49,0.42,0.04
20,C50,430,Breast,2,622,410,943,622,33.6,23.6,3.5
21,C51,430,Vulva,2,4,1,17,4,0.23,0.15,0.04
22,C52,430,Vagina,2,10,1,147,10,0.55,0.38,0.06
23,C53,430,Cervix uteri,2,717,613,838,717,39.6,27.2,4.1
24,C54,430,Corpus uteri,2,48,8,302,48,3.2,1.8,0.36
25,C56,430,Ovary,2,62,39,99,62,3.3,2.4,0.37
29,C64,430,Kidney,2,20,3,146,20,0.87,0.76,0.08
30,C67,430,Bladder,2,10,1,147,10,0.60,0.38,0.07
31,C70-72,430," Brain, central nervous system",2,37,17,82,37,2.5,1.4,0.27
32,C73,430,Thyroid,2,17,1,250,17,0.93,0.64,0.10
33,C81,430,Hodgkin lymphoma,2,10,3,30,10,0.39,0.38,0.03
34,C82-86+C88,430,Non-Hodgkin lymphoma,2,66,33,133,66,3.1,2.5,0.28
35,C90,430,Multiple myeloma,2,9,1,132,9,0.56,0.34,0.07
36,C91-95,430,Leukaemia,2,19,4,95,19,0.96,0.72,0.10
