Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,434,All cancers excl. non-melanoma skin cancer,2,4076,3912,4247,4076,119.3,116.8,11.9
1,C00-06,434,"Lip, oral cavity",2,35,15,81,35,1.1,1.0,0.14
2,C07-08,434,Salivary glands,2,15,5,48,15,0.34,0.43,0.03
3,C09-10,434,Oropharynx,2,4,0,39,4,0.17,0.11,0.02
4,C11,434,Nasopharynx,2,47,24,91,47,1.4,1.4,0.15
5,C12-13,434,Hypopharynx,2,2,0,27,2,0.04,0.06,0.00
6,C15,434,Oesophagus,2,7,1,39,7,0.19,0.20,0.01
7,C16,434,Stomach,2,113,74,172,113,3.6,3.2,0.39
8,C18,434,Colon,2,351,274,449,351,10.4,10.1,1.0
9,C19-20,434,Rectum,2,165,116,234,165,4.9,4.7,0.46
10,C21,434,Anus,2,6,1,38,6,0.16,0.17,0.02
11,C22,434,Liver and intrahepatic bile ducts,2,96,60,155,96,3.2,2.8,0.40
12,C23,434,Gallbladder,2,109,71,168,109,3.3,3.1,0.30
13,C25,434,Pancreas,2,103,65,163,103,3.3,3.0,0.36
14,C32,434,Larynx,2,20,5,73,20,0.66,0.57,0.09
15,C33-34,434,"Trachea, bronchus and lung",2,98,63,153,98,3.2,2.8,0.40
16,C43,434,Melanoma of skin,2,13,3,65,13,0.38,0.37,0.04
18,C45,434,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,434,Kaposi sarcoma,2,3,0,41,3,0.12,0.09,0.02
20,C50,434,Breast,2,1169,1017,1344,1169,31.0,33.5,3.2
21,C51,434,Vulva,2,14,4,47,14,0.45,0.40,0.04
22,C52,434,Vagina,2,9,2,41,9,0.28,0.26,0.03
23,C53,434,Cervix uteri,2,278,203,381,278,8.0,8.0,0.90
24,C54,434,Corpus uteri,2,55,37,82,55,2.0,1.6,0.34
25,C56,434,Ovary,2,184,117,290,184,5.3,5.3,0.57
29,C64,434,Kidney,2,72,36,143,72,2.3,2.1,0.22
30,C67,434,Bladder,2,58,28,119,58,2.0,1.7,0.32
31,C70-72,434," Brain, central nervous system",2,107,59,195,107,3.3,3.1,0.36
32,C73,434,Thyroid,2,173,124,242,173,4.9,5.0,0.49
33,C81,434,Hodgkin lymphoma,2,72,41,126,72,2.0,2.1,0.16
34,C82-86+C88,434,Non-Hodgkin lymphoma,2,150,105,215,150,4.6,4.3,0.47
35,C90,434,Multiple myeloma,2,40,20,82,40,1.3,1.2,0.16
36,C91-95,434,Leukaemia,2,173,122,245,173,5.3,5.0,0.50
