Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,450,All cancers excl. non-melanoma skin cancer,2,12467,12189,12752,12467,127.7,85.3,12.7
1,C00-06,450,"Lip, oral cavity",2,89,38,211,89,0.96,0.61,0.10
2,C07-08,450,Salivary glands,2,40,9,174,40,0.37,0.27,0.03
3,C09-10,450,Oropharynx,2,14,1,174,14,0.14,0.10,0.02
4,C11,450,Nasopharynx,2,42,26,68,42,0.47,0.29,0.05
5,C12-13,450,Hypopharynx,2,15,2,121,15,0.17,0.10,0.02
6,C15,450,Oesophagus,2,224,202,248,224,2.6,1.5,0.29
7,C16,450,Stomach,2,289,23,3594,289,3.6,2.0,0.41
8,C18,450,Colon,2,185,85,403,185,2.1,1.3,0.23
9,C19-20,450,Rectum,2,215,86,540,215,2.6,1.5,0.30
10,C21,450,Anus,2,126,77,206,126,1.4,0.86,0.15
11,C22,450,Liver and intrahepatic bile ducts,2,451,201,1011,451,4.7,3.1,0.51
12,C23,450,Gallbladder,2,12,1,149,12,0.15,0.08,0.01
13,C25,450,Pancreas,2,87,31,243,87,1.1,0.60,0.13
14,C32,450,Larynx,2,24,5,121,24,0.21,0.16,0.02
15,C33-34,450,"Trachea, bronchus and lung",2,135,46,396,135,1.5,0.92,0.17
16,C43,450,Melanoma of skin,2,121,54,273,121,1.6,0.83,0.16
18,C45,450,Mesothelioma,2,3,1,9,3,0.04,0.02,0.01
19,C46,450,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,450,Breast,2,2875,2436,3393,2875,30.3,19.7,3.3
21,C51,450,Vulva,2,206,119,358,206,1.9,1.4,0.18
22,C52,450,Vagina,2,54,24,123,54,0.54,0.37,0.05
23,C53,450,Cervix uteri,2,4060,3836,4297,4060,41.8,27.8,4.4
24,C54,450,Corpus uteri,2,158,102,246,158,1.9,1.1,0.25
25,C56,450,Ovary,2,267,154,462,267,2.8,1.8,0.31
29,C64,450,Kidney,2,137,92,204,137,0.93,0.94,0.06
30,C67,450,Bladder,2,365,229,582,365,4.4,2.5,0.49
31,C70-72,450," Brain, central nervous system",2,137,14,1309,137,1.2,0.94,0.10
32,C73,450,Thyroid,2,137,81,231,137,1.4,0.94,0.15
33,C81,450,Hodgkin lymphoma,2,45,18,111,45,0.34,0.31,0.03
34,C82-86+C88,450,Non-Hodgkin lymphoma,2,422,284,628,422,3.6,2.9,0.32
35,C90,450,Multiple myeloma,2,21,6,76,21,0.25,0.14,0.03
36,C91-95,450,Leukaemia,2,296,143,611,296,2.5,2.0,0.22
