Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,454,All cancers excl. non-melanoma skin cancer,2,12232,11959,12511,12232,181.8,119.6,17.4
1,C00-06,454,"Lip, oral cavity",2,83,38,180,83,1.3,0.81,0.16
2,C07-08,454,Salivary glands,2,48,15,150,48,0.86,0.47,0.11
3,C09-10,454,Oropharynx,2,0,0,0,0,0.00,0.00,0.00
4,C11,454,Nasopharynx,2,25,5,121,25,0.37,0.24,0.05
5,C12-13,454,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,454,Oesophagus,2,880,762,1016,880,15.4,8.6,1.9
7,C16,454,Stomach,2,133,82,216,133,2.5,1.3,0.26
8,C18,454,Colon,2,85,46,156,85,1.6,0.83,0.14
9,C19-20,454,Rectum,2,107,61,189,107,1.7,1.1,0.16
10,C21,454,Anus,2,73,29,184,73,1.2,0.71,0.17
11,C22,454,Liver and intrahepatic bile ducts,2,185,136,252,185,3.0,1.8,0.29
12,C23,454,Gallbladder,2,5,0,60,5,0.08,0.05,0.01
13,C25,454,Pancreas,2,37,11,123,37,0.63,0.36,0.08
14,C32,454,Larynx,2,12,1,117,12,0.24,0.12,0.03
15,C33-34,454,"Trachea, bronchus and lung",2,52,17,155,52,1.0,0.51,0.11
16,C43,454,Melanoma of skin,2,128,84,195,128,2.4,1.3,0.30
18,C45,454,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,454,Kaposi sarcoma,2,691,578,826,691,7.9,6.8,0.67
20,C50,454,Breast,2,1543,1374,1732,1543,25.2,15.1,2.6
21,C51,454,Vulva,2,94,50,176,94,1.1,0.92,0.11
22,C52,454,Vagina,2,85,46,156,85,1.5,0.83,0.19
23,C53,454,Cervix uteri,2,4701,4386,5039,4701,70.9,46.0,7.2
24,C54,454,Corpus uteri,2,52,22,122,52,0.99,0.51,0.12
25,C56,454,Ovary,2,250,190,328,250,3.3,2.4,0.33
29,C64,454,Kidney,2,99,57,173,99,0.92,0.97,0.07
30,C67,454,Bladder,2,396,319,491,396,6.5,3.9,0.74
31,C70-72,454," Brain, central nervous system",2,48,17,136,48,0.68,0.47,0.05
32,C73,454,Thyroid,2,106,60,188,106,1.9,1.0,0.23
33,C81,454,Hodgkin lymphoma,2,46,14,147,46,0.52,0.45,0.04
34,C82-86+C88,454,Non-Hodgkin lymphoma,2,551,459,662,551,5.6,5.4,0.43
35,C90,454,Multiple myeloma,2,18,3,115,18,0.27,0.18,0.03
36,C91-95,454,Leukaemia,2,68,27,168,68,0.79,0.67,0.08
