Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,466,All cancers excl. non-melanoma skin cancer,2,9433,9218,9653,9433,161.6,88.1,16.3
1,C00-06,466,"Lip, oral cavity",2,154,109,217,154,2.7,1.4,0.31
2,C07-08,466,Salivary glands,2,45,21,97,45,0.88,0.42,0.10
3,C09-10,466,Oropharynx,2,16,2,113,16,0.26,0.15,0.03
4,C11,466,Nasopharynx,2,14,2,116,14,0.23,0.13,0.03
5,C12-13,466,Hypopharynx,2,6,1,56,6,0.09,0.06,0.01
6,C15,466,Oesophagus,2,146,106,201,146,2.8,1.4,0.31
7,C16,466,Stomach,2,634,531,757,634,12.4,5.9,1.5
8,C18,466,Colon,2,233,181,300,233,4.6,2.2,0.52
9,C19-20,466,Rectum,2,222,171,288,222,3.9,2.1,0.43
10,C21,466,Anus,2,32,14,73,32,0.58,0.30,0.05
11,C22,466,Liver and intrahepatic bile ducts,2,322,252,412,322,6.0,3.0,0.67
12,C23,466,Gallbladder,2,15,3,77,15,0.29,0.14,0.03
13,C25,466,Pancreas,2,110,76,160,110,2.2,1.0,0.27
14,C32,466,Larynx,2,18,3,111,18,0.32,0.17,0.04
15,C33-34,466,"Trachea, bronchus and lung",2,102,68,152,102,2.0,0.95,0.24
16,C43,466,Melanoma of skin,2,50,25,98,50,1.0,0.47,0.12
18,C45,466,Mesothelioma,2,4,0,38,4,0.09,0.04,0.01
19,C46,466,Kaposi sarcoma,2,43,19,99,43,0.60,0.40,0.06
20,C50,466,Breast,2,2278,2096,2475,2278,37.7,21.3,4.0
21,C51,466,Vulva,2,46,24,89,46,0.83,0.43,0.09
22,C52,466,Vagina,2,37,19,72,37,0.59,0.35,0.07
23,C53,466,Cervix uteri,2,2436,2221,2672,2436,43.1,22.8,4.7
24,C54,466,Corpus uteri,2,149,108,205,149,3.0,1.4,0.38
25,C56,466,Ovary,2,321,258,399,321,5.4,3.0,0.57
29,C64,466,Kidney,2,153,110,213,153,1.7,1.4,0.14
30,C67,466,Bladder,2,349,284,430,349,6.2,3.3,0.70
31,C70-72,466," Brain, central nervous system",2,83,58,120,83,1.3,0.78,0.13
32,C73,466,Thyroid,2,158,112,223,158,2.9,1.5,0.33
33,C81,466,Hodgkin lymphoma,2,44,19,101,44,0.58,0.41,0.06
34,C82-86+C88,466,Non-Hodgkin lymphoma,2,142,100,203,142,1.9,1.3,0.17
35,C90,466,Multiple myeloma,2,10,1,94,10,0.21,0.09,0.02
36,C91-95,466,Leukaemia,2,81,49,133,81,1.1,0.76,0.11
