Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,478,All cancers excl. non-melanoma skin cancer,2,1972,1856,2095,1972,117.7,80.9,12.1
1,C00-06,478,"Lip, oral cavity",2,24,3,224,24,1.5,0.98,0.16
2,C07-08,478,Salivary glands,2,11,1,162,11,0.67,0.45,0.08
3,C09-10,478,Oropharynx,2,2,0,29,2,0.14,0.08,0.02
4,C11,478,Nasopharynx,2,4,0,59,4,0.21,0.16,0.02
5,C12-13,478,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,478,Oesophagus,2,22,1,324,22,1.5,0.90,0.17
7,C16,478,Stomach,2,73,13,395,73,4.9,3.0,0.56
8,C18,478,Colon,2,45,3,662,45,3.0,1.9,0.36
9,C19-20,478,Rectum,2,32,3,378,32,2.0,1.3,0.22
10,C21,478,Anus,2,10,1,147,10,0.61,0.41,0.07
11,C22,478,Liver and intrahepatic bile ducts,2,117,61,223,117,7.3,4.8,0.80
12,C23,478,Gallbladder,2,12,1,177,12,0.71,0.49,0.09
13,C25,478,Pancreas,2,18,1,265,18,1.2,0.74,0.13
14,C32,478,Larynx,2,4,0,59,4,0.25,0.16,0.03
15,C33-34,478,"Trachea, bronchus and lung",2,18,1,265,18,1.2,0.74,0.15
16,C43,478,Melanoma of skin,2,11,1,162,11,0.78,0.45,0.08
18,C45,478,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,478,Kaposi sarcoma,2,10,1,147,10,0.47,0.41,0.04
20,C50,478,Breast,2,600,389,926,600,34.5,24.6,3.6
21,C51,478,Vulva,2,13,1,191,13,0.86,0.53,0.09
22,C52,478,Vagina,2,8,1,118,8,0.46,0.33,0.05
23,C53,478,Cervix uteri,2,468,224,979,468,28.3,19.2,3.1
24,C54,478,Corpus uteri,2,39,8,196,39,2.7,1.6,0.34
25,C56,478,Ovary,2,81,25,261,81,4.8,3.3,0.52
29,C64,478,Kidney,2,19,2,146,19,0.94,0.78,0.09
30,C67,478,Bladder,2,28,2,412,28,1.8,1.2,0.19
31,C70-72,478," Brain, central nervous system",2,17,1,250,17,1.1,0.70,0.11
32,C73,478,Thyroid,2,19,1,280,19,1.1,0.78,0.11
33,C81,478,Hodgkin lymphoma,2,9,1,132,9,0.41,0.37,0.04
34,C82-86+C88,478,Non-Hodgkin lymphoma,2,41,19,86,41,2.2,1.7,0.23
35,C90,478,Multiple myeloma,2,13,1,191,13,0.89,0.53,0.12
36,C91-95,478,Leukaemia,2,20,3,124,20,1.1,0.82,0.11
