Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,480,All cancers excl. non-melanoma skin cancer,2,1576,1498,1658,1576,149.0,243.7,15.5
1,C00-06,480,"Lip, oral cavity",2,27,14,53,27,2.4,4.2,0.27
2,C07-08,480,Salivary glands,2,3,0,23,3,0.29,0.46,0.04
3,C09-10,480,Oropharynx,2,1,0,8,1,0.10,0.15,0.01
4,C11,480,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,480,Hypopharynx,2,3,0,23,3,0.23,0.46,0.03
6,C15,480,Oesophagus,2,9,6,14,9,0.71,1.4,0.09
7,C16,480,Stomach,2,49,31,78,49,4.0,7.6,0.47
8,C18,480,Colon,2,124,95,163,124,10.6,19.2,1.3
9,C19-20,480,Rectum,2,43,25,73,43,3.7,6.7,0.44
10,C21,480,Anus,2,2,0,15,2,0.16,0.31,0.03
11,C22,480,Liver and intrahepatic bile ducts,2,28,14,54,28,2.5,4.3,0.28
12,C23,480,Gallbladder,2,14,5,36,14,1.1,2.2,0.14
13,C25,480,Pancreas,2,43,26,70,43,4.1,6.7,0.50
14,C32,480,Larynx,2,2,0,13,2,0.16,0.31,0.03
15,C33-34,480,"Trachea, bronchus and lung",2,63,45,89,63,5.3,9.7,0.62
16,C43,480,Melanoma of skin,2,2,0,15,2,0.16,0.31,0.01
18,C45,480,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,480,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,480,Breast,2,537,461,626,537,52.7,83.0,5.7
21,C51,480,Vulva,2,10,3,30,10,0.77,1.6,0.09
22,C52,480,Vagina,2,5,1,38,5,0.44,0.77,0.05
23,C53,480,Cervix uteri,2,136,100,185,136,12.9,21.0,1.3
24,C54,480,Corpus uteri,2,144,114,181,144,13.0,22.3,1.7
25,C56,480,Ovary,2,77,51,116,77,7.9,11.9,0.86
29,C64,480,Kidney,2,13,5,34,13,1.2,2.0,0.15
30,C67,480,Bladder,2,18,8,41,18,1.4,2.8,0.17
31,C70-72,480," Brain, central nervous system",2,17,7,40,17,1.9,2.6,0.19
32,C73,480,Thyroid,2,19,9,42,19,2.2,2.9,0.20
33,C81,480,Hodgkin lymphoma,2,7,1,39,7,0.91,1.1,0.09
34,C82-86+C88,480,Non-Hodgkin lymphoma,2,15,6,37,15,1.4,2.3,0.16
35,C90,480,Multiple myeloma,2,14,5,36,14,1.2,2.2,0.14
36,C91-95,480,Leukaemia,2,29,15,56,29,3.9,4.5,0.33
