Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,504,All cancers excl. non-melanoma skin cancer,2,32632,32226,33043,32632,149.2,171.7,15.0
1,C00-06,504,"Lip, oral cavity",2,302,231,394,302,1.3,1.6,0.13
2,C07-08,504,Salivary glands,2,76,32,179,76,0.34,0.40,0.04
3,C09-10,504,Oropharynx,2,33,10,109,33,0.15,0.17,0.02
4,C11,504,Nasopharynx,2,335,254,442,335,1.5,1.8,0.16
5,C12-13,504,Hypopharynx,2,66,35,125,66,0.30,0.35,0.03
6,C15,504,Oesophagus,2,182,116,286,182,0.80,0.96,0.09
7,C16,504,Stomach,2,953,819,1108,953,4.2,5.0,0.45
8,C18,504,Colon,2,1460,1291,1651,1460,6.5,7.7,0.75
9,C19-20,504,Rectum,2,965,836,1114,965,4.3,5.1,0.49
10,C21,504,Anus,2,129,69,242,129,0.57,0.68,0.07
11,C22,504,Liver and intrahepatic bile ducts,2,519,437,616,519,2.3,2.7,0.28
12,C23,504,Gallbladder,2,393,304,508,393,1.7,2.1,0.22
13,C25,504,Pancreas,2,500,427,586,500,2.2,2.6,0.28
14,C32,504,Larynx,2,96,46,202,96,0.42,0.50,0.05
15,C33-34,504,"Trachea, bronchus and lung",2,941,828,1070,941,4.2,5.0,0.50
16,C43,504,Melanoma of skin,2,130,72,236,130,0.58,0.68,0.07
18,C45,504,Mesothelioma,2,24,6,103,24,0.11,0.13,0.01
19,C46,504,Kaposi sarcoma,2,31,9,112,31,0.13,0.16,0.01
20,C50,504,Breast,2,12756,12296,13234,12756,58.4,67.1,6.1
21,C51,504,Vulva,2,206,134,316,206,0.88,1.1,0.10
22,C52,504,Vagina,2,66,35,123,66,0.31,0.35,0.04
23,C53,504,Cervix uteri,2,2644,2419,2889,2644,12.0,13.9,1.4
24,C54,504,Corpus uteri,2,918,784,1074,918,4.2,4.8,0.55
25,C56,504,Ovary,2,1367,1229,1521,1367,6.3,7.2,0.71
29,C64,504,Kidney,2,344,261,453,344,1.7,1.8,0.16
30,C67,504,Bladder,2,296,228,385,296,1.3,1.6,0.15
31,C70-72,504," Brain, central nervous system",2,503,436,580,503,2.4,2.7,0.24
32,C73,504,Thyroid,2,2458,2241,2696,2458,11.5,12.9,1.2
33,C81,504,Hodgkin lymphoma,2,369,286,476,369,1.9,1.9,0.15
34,C82-86+C88,504,Non-Hodgkin lymphoma,2,1005,890,1135,1005,4.6,5.3,0.50
35,C90,504,Multiple myeloma,2,212,161,279,212,0.93,1.1,0.11
36,C91-95,504,Leukaemia,2,652,561,758,652,3.2,3.4,0.30
