Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,508,All cancers excl. non-melanoma skin cancer,2,15862,15571,16159,15862,137.5,93.4,12.8
1,C00-06,508,"Lip, oral cavity",2,93,62,141,93,0.76,0.55,0.08
2,C07-08,508,Salivary glands,2,50,28,89,50,0.25,0.29,0.01
3,C09-10,508,Oropharynx,2,7,2,32,7,0.05,0.04,0.00
4,C11,508,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,508,Hypopharynx,2,9,3,24,9,0.09,0.05,0.01
6,C15,508,Oesophagus,2,954,838,1086,954,9.8,5.6,1.1
7,C16,508,Stomach,2,56,32,98,56,0.59,0.33,0.06
8,C18,508,Colon,2,202,153,267,202,2.2,1.2,0.25
9,C19-20,508,Rectum,2,105,73,150,105,1.2,0.62,0.14
10,C21,508,Anus,2,114,80,163,114,1.0,0.67,0.10
11,C22,508,Liver and intrahepatic bile ducts,2,784,678,907,784,7.0,4.6,0.71
12,C23,508,Gallbladder,2,7,2,32,7,0.10,0.04,0.01
13,C25,508,Pancreas,2,58,34,100,58,0.61,0.34,0.06
14,C32,508,Larynx,2,18,7,47,18,0.11,0.11,0.01
15,C33-34,508,"Trachea, bronchus and lung",2,68,44,105,68,0.68,0.40,0.07
16,C43,508,Melanoma of skin,2,83,53,129,83,0.85,0.49,0.12
18,C45,508,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,508,Kaposi sarcoma,2,1373,1207,1562,1373,9.2,8.1,0.74
20,C50,508,Breast,2,2048,1864,2250,2048,19.7,12.1,2.0
21,C51,508,Vulva,2,266,202,351,266,2.2,1.6,0.21
22,C52,508,Vagina,2,48,27,86,48,0.38,0.28,0.03
23,C53,508,Cervix uteri,2,5456,5134,5798,5456,47.8,32.1,4.7
24,C54,508,Corpus uteri,2,151,108,211,151,1.8,0.89,0.21
25,C56,508,Ovary,2,197,143,272,197,1.9,1.2,0.21
29,C64,508,Kidney,2,156,113,216,156,0.89,0.92,0.06
30,C67,508,Bladder,2,485,406,580,485,5.1,2.9,0.57
31,C70-72,508," Brain, central nervous system",2,85,55,132,85,0.54,0.50,0.04
32,C73,508,Thyroid,2,148,106,206,148,1.3,0.87,0.13
33,C81,508,Hodgkin lymphoma,2,39,21,73,39,0.27,0.23,0.02
34,C82-86+C88,508,Non-Hodgkin lymphoma,2,740,620,884,740,5.4,4.4,0.46
35,C90,508,Multiple myeloma,2,19,8,48,19,0.23,0.11,0.03
36,C91-95,508,Leukaemia,2,245,197,304,245,1.6,1.4,0.14
