Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,516,All cancers excl. non-melanoma skin cancer,2,1818,1730,1911,1818,173.5,134.0,16.9
1,C00-06,516,"Lip, oral cavity",2,42,24,74,42,4.3,3.1,0.47
2,C07-08,516,Salivary glands,2,8,2,29,8,0.72,0.59,0.09
3,C09-10,516,Oropharynx,2,6,1,34,6,0.67,0.44,0.08
4,C11,516,Nasopharynx,2,2,0,17,2,0.21,0.15,0.02
5,C12-13,516,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,516,Oesophagus,2,13,6,27,13,1.4,0.96,0.16
7,C16,516,Stomach,2,18,8,43,18,1.8,1.3,0.22
8,C18,516,Colon,2,40,20,81,40,4.2,3.0,0.48
9,C19-20,516,Rectum,2,25,12,52,25,2.5,1.8,0.30
10,C21,516,Anus,2,6,1,50,6,0.66,0.44,0.10
11,C22,516,Liver and intrahepatic bile ducts,2,27,13,55,27,2.7,2.0,0.29
12,C23,516,Gallbladder,2,7,1,40,7,0.81,0.52,0.10
13,C25,516,Pancreas,2,7,2,28,7,0.79,0.52,0.10
14,C32,516,Larynx,2,6,1,50,6,0.68,0.44,0.10
15,C33-34,516,"Trachea, bronchus and lung",2,38,20,71,38,4.1,2.8,0.50
16,C43,516,Melanoma of skin,2,36,20,65,36,3.7,2.7,0.35
18,C45,516,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,516,Kaposi sarcoma,2,103,71,150,103,7.8,7.6,0.67
20,C50,516,Breast,2,553,471,649,553,53.9,40.8,5.7
21,C51,516,Vulva,2,19,7,52,19,1.7,1.4,0.18
22,C52,516,Vagina,2,12,4,35,12,1.2,0.88,0.14
23,C53,516,Cervix uteri,2,350,285,430,350,33.5,25.8,3.5
24,C54,516,Corpus uteri,2,53,32,88,53,5.8,3.9,0.76
25,C56,516,Ovary,2,48,29,80,48,4.6,3.5,0.43
29,C64,516,Kidney,2,23,11,50,23,2.1,1.7,0.22
30,C67,516,Bladder,2,21,8,53,21,2.1,1.6,0.20
31,C70-72,516," Brain, central nervous system",2,16,6,46,16,1.3,1.2,0.12
32,C73,516,Thyroid,2,22,12,42,22,2.0,1.6,0.18
33,C81,516,Hodgkin lymphoma,2,8,2,29,8,0.58,0.59,0.04
34,C82-86+C88,516,Non-Hodgkin lymphoma,2,69,39,122,69,5.9,5.1,0.56
35,C90,516,Multiple myeloma,2,9,3,31,9,1.0,0.66,0.14
36,C91-95,516,Leukaemia,2,25,12,52,25,2.2,1.8,0.20
