Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,562,All cancers excl. non-melanoma skin cancer,2,6518,6313,6729,6518,90.5,50.3,9.0
1,C00-06,562,"Lip, oral cavity",2,100,54,186,100,1.5,0.77,0.18
2,C07-08,562,Salivary glands,2,30,7,124,30,0.37,0.23,0.04
3,C09-10,562,Oropharynx,2,10,1,132,10,0.09,0.08,0.01
4,C11,562,Nasopharynx,2,9,1,118,9,0.06,0.07,0.00
5,C12-13,562,Hypopharynx,2,11,1,128,11,0.19,0.08,0.03
6,C15,562,Oesophagus,2,9,1,118,9,0.15,0.07,0.02
7,C16,562,Stomach,2,120,73,198,120,1.9,0.93,0.21
8,C18,562,Colon,2,185,129,266,185,3.1,1.4,0.35
9,C19-20,562,Rectum,2,114,75,173,114,1.7,0.88,0.17
10,C21,562,Anus,2,30,7,124,30,0.32,0.23,0.03
11,C22,562,Liver and intrahepatic bile ducts,2,388,310,485,388,6.1,3.0,0.69
12,C23,562,Gallbladder,2,3,0,39,3,0.05,0.02,0.01
13,C25,562,Pancreas,2,89,36,218,89,1.4,0.69,0.13
14,C32,562,Larynx,2,10,1,132,10,0.18,0.08,0.02
15,C33-34,562,"Trachea, bronchus and lung",2,5,0,66,5,0.09,0.04,0.01
16,C43,562,Melanoma of skin,2,16,2,123,16,0.26,0.12,0.03
18,C45,562,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,562,Kaposi sarcoma,2,12,1,126,12,0.11,0.09,0.01
20,C50,562,Breast,2,2145,1927,2387,2145,29.5,16.6,2.9
21,C51,562,Vulva,2,16,2,123,16,0.24,0.12,0.03
22,C52,562,Vagina,2,30,8,116,30,0.42,0.23,0.04
23,C53,562,Cervix uteri,2,624,523,745,624,9.3,4.8,0.97
24,C54,562,Corpus uteri,2,152,105,219,152,2.5,1.2,0.31
25,C56,562,Ovary,2,551,454,669,551,7.7,4.3,0.80
29,C64,562,Kidney,2,90,41,199,90,1.1,0.69,0.11
30,C67,562,Bladder,2,95,45,201,95,1.5,0.73,0.18
31,C70-72,562," Brain, central nervous system",2,17,2,123,17,0.15,0.13,0.01
32,C73,562,Thyroid,2,80,42,152,80,1.0,0.62,0.09
33,C81,562,Hodgkin lymphoma,2,4,0,53,4,0.03,0.03,0.00
34,C82-86+C88,562,Non-Hodgkin lymphoma,2,184,127,267,184,1.7,1.4,0.14
35,C90,562,Multiple myeloma,2,7,1,92,7,0.07,0.05,0.01
36,C91-95,562,Leukaemia,2,179,107,299,179,2.6,1.4,0.27
