Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,566,All cancers excl. non-melanoma skin cancer,2,78049,77392,78712,78049,130.7,73.0,13.6
1,C00-06,566,"Lip, oral cavity",2,615,497,762,615,1.1,0.58,0.12
2,C07-08,566,Salivary glands,2,472,369,604,472,0.88,0.44,0.08
3,C09-10,566,Oropharynx,2,102,60,172,102,0.15,0.10,0.01
4,C11,566,Nasopharynx,2,478,378,605,478,0.69,0.45,0.08
5,C12-13,566,Hypopharynx,2,41,22,77,41,0.07,0.04,0.01
6,C15,566,Oesophagus,2,242,175,335,242,0.50,0.23,0.06
7,C16,566,Stomach,2,1036,885,1212,1036,2.0,0.97,0.23
8,C18,566,Colon,2,1689,1483,1924,1689,3.1,1.6,0.36
9,C19-20,566,Rectum,2,1495,1304,1714,1495,2.6,1.4,0.30
10,C21,566,Anus,2,423,329,544,423,0.83,0.40,0.09
11,C22,566,Liver and intrahepatic bile ducts,2,1863,1647,2107,1863,3.6,1.7,0.43
12,C23,566,Gallbladder,2,131,83,208,131,0.26,0.12,0.03
13,C25,566,Pancreas,2,599,482,744,599,1.2,0.56,0.11
14,C32,566,Larynx,2,159,107,237,159,0.30,0.15,0.03
15,C33-34,566,"Trachea, bronchus and lung",2,863,718,1037,863,1.6,0.81,0.20
16,C43,566,Melanoma of skin,2,293,220,391,293,0.63,0.27,0.07
18,C45,566,Mesothelioma,2,6,1,52,6,0.01,0.01,0.00
19,C46,566,Kaposi sarcoma,2,375,291,483,375,0.44,0.35,0.04
20,C50,566,Breast,2,32278,31534,33040,32278,51.5,30.2,5.5
21,C51,566,Vulva,2,1056,898,1242,1056,1.9,0.99,0.22
22,C52,566,Vagina,2,173,118,254,173,0.28,0.16,0.03
23,C53,566,Cervix uteri,2,13676,13209,14160,13676,26.2,12.8,2.9
24,C54,566,Corpus uteri,2,1627,1423,1860,1627,3.0,1.5,0.39
25,C56,566,Ovary,2,2906,2695,3133,2906,4.2,2.7,0.43
29,C64,566,Kidney,2,759,626,920,759,0.92,0.71,0.09
30,C67,566,Bladder,2,424,330,545,424,0.97,0.40,0.10
31,C70-72,566," Brain, central nervous system",2,731,606,882,731,0.86,0.68,0.08
32,C73,566,Thyroid,2,972,816,1158,972,1.7,0.91,0.20
33,C81,566,Hodgkin lymphoma,2,875,738,1037,875,1.5,0.82,0.16
34,C82-86+C88,566,Non-Hodgkin lymphoma,2,3252,2959,3575,3252,4.7,3.0,0.51
35,C90,566,Multiple myeloma,2,510,397,656,510,0.92,0.48,0.10
36,C91-95,566,Leukaemia,2,1330,1152,1535,1330,2.1,1.2,0.24
