Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,646,All cancers excl. non-melanoma skin cancer,2,3735,3601,3874,3735,77.6,54.0,8.1
1,C00-06,646,"Lip, oral cavity",2,30,15,61,30,0.63,0.43,0.07
2,C07-08,646,Salivary glands,2,12,4,37,12,0.25,0.17,0.03
3,C09-10,646,Oropharynx,2,2,0,19,2,0.05,0.03,0.01
4,C11,646,Nasopharynx,2,3,0,28,3,0.06,0.04,0.01
5,C12-13,646,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,646,Oesophagus,2,53,31,92,53,1.2,0.77,0.14
7,C16,646,Stomach,2,355,254,497,355,8.4,5.1,1.0
8,C18,646,Colon,2,72,46,112,72,1.6,1.0,0.18
9,C19-20,646,Rectum,2,61,37,100,61,1.4,0.88,0.16
10,C21,646,Anus,2,16,6,42,16,0.36,0.23,0.04
11,C22,646,Liver and intrahepatic bile ducts,2,115,72,184,115,2.8,1.7,0.34
12,C23,646,Gallbladder,2,0,0,0,0,0.00,0.00,0.00
13,C25,646,Pancreas,2,20,8,48,20,0.46,0.29,0.06
14,C32,646,Larynx,2,2,0,19,2,0.05,0.03,0.01
15,C33-34,646,"Trachea, bronchus and lung",2,63,37,107,63,1.5,0.91,0.19
16,C43,646,Melanoma of skin,2,36,18,73,36,0.83,0.52,0.09
18,C45,646,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,646,Kaposi sarcoma,2,42,23,76,42,0.70,0.61,0.06
20,C50,646,Breast,2,799,703,908,799,16.2,11.6,1.7
21,C51,646,Vulva,2,64,40,103,64,1.4,0.93,0.13
22,C52,646,Vagina,2,11,2,50,11,0.24,0.16,0.03
23,C53,646,Cervix uteri,2,866,762,984,866,18.9,12.5,2.1
24,C54,646,Corpus uteri,2,50,29,87,50,1.2,0.72,0.13
25,C56,646,Ovary,2,193,145,257,193,4.0,2.8,0.43
29,C64,646,Kidney,2,74,46,118,74,1.1,1.1,0.07
30,C67,646,Bladder,2,32,16,64,32,0.80,0.46,0.08
31,C70-72,646," Brain, central nervous system",2,99,67,147,99,1.8,1.4,0.17
32,C73,646,Thyroid,2,67,41,110,67,1.3,0.97,0.14
33,C81,646,Hodgkin lymphoma,2,35,18,67,35,0.54,0.51,0.05
34,C82-86+C88,646,Non-Hodgkin lymphoma,2,161,119,217,161,2.9,2.3,0.29
35,C90,646,Multiple myeloma,2,29,14,60,29,0.66,0.42,0.08
36,C91-95,646,Leukaemia,2,185,133,257,185,3.0,2.7,0.27
