Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,686,All cancers excl. non-melanoma skin cancer,2,7421,7193,7656,7421,124.2,82.2,12.6
1,C00-06,686,"Lip, oral cavity",2,99,8,1192,99,1.7,1.1,0.19
2,C07-08,686,Salivary glands,2,30,2,441,30,0.52,0.33,0.06
3,C09-10,686,Oropharynx,2,8,1,118,8,0.14,0.09,0.02
4,C11,686,Nasopharynx,2,11,1,162,11,0.18,0.12,0.02
5,C12-13,686,Hypopharynx,2,1,0,15,1,0.01,0.01,0.00
6,C15,686,Oesophagus,2,84,6,1236,84,1.6,0.93,0.17
7,C16,686,Stomach,2,334,41,2694,334,6.3,3.7,0.73
8,C18,686,Colon,2,153,10,2251,153,2.8,1.7,0.33
9,C19-20,686,Rectum,2,137,9,2015,137,2.4,1.5,0.27
10,C21,686,Anus,2,31,2,456,31,0.53,0.34,0.05
11,C22,686,Liver and intrahepatic bile ducts,2,485,235,999,485,8.5,5.4,0.95
12,C23,686,Gallbladder,2,28,2,412,28,0.47,0.31,0.05
13,C25,686,Pancreas,2,72,5,1059,72,1.4,0.80,0.16
14,C32,686,Larynx,2,10,1,147,10,0.18,0.11,0.02
15,C33-34,686,"Trachea, bronchus and lung",2,84,6,1236,84,1.5,0.93,0.18
16,C43,686,Melanoma of skin,2,53,4,780,53,1.1,0.59,0.12
18,C45,686,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,686,Kaposi sarcoma,2,31,2,456,31,0.42,0.34,0.04
20,C50,686,Breast,2,1838,1284,2632,1838,29.9,20.4,3.1
21,C51,686,Vulva,2,38,3,559,38,0.69,0.42,0.07
22,C52,686,Vagina,2,30,2,441,30,0.48,0.33,0.05
23,C53,686,Cervix uteri,2,2064,857,4970,2064,34.3,22.9,3.6
24,C54,686,Corpus uteri,2,128,31,537,128,2.5,1.4,0.30
25,C56,686,Ovary,2,269,94,769,269,4.4,3.0,0.48
29,C64,686,Kidney,2,81,8,850,81,1.1,0.90,0.10
30,C67,686,Bladder,2,160,11,2354,160,2.8,1.8,0.32
31,C70-72,686," Brain, central nervous system",2,104,7,1530,104,2.0,1.2,0.22
32,C73,686,Thyroid,2,76,5,1118,76,1.3,0.84,0.15
33,C81,686,Hodgkin lymphoma,2,37,3,544,37,0.47,0.41,0.04
34,C82-86+C88,686,Non-Hodgkin lymphoma,2,145,71,295,145,2.1,1.6,0.20
35,C90,686,Multiple myeloma,2,29,2,427,29,0.55,0.32,0.07
36,C91-95,686,Leukaemia,2,67,13,350,67,1.0,0.74,0.10
