Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,706,All cancers excl. non-melanoma skin cancer,2,6545,6340,6757,6545,142.8,77.5,14.6
1,C00-06,706,"Lip, oral cavity",2,92,73,116,92,2.2,1.1,0.25
2,C07-08,706,Salivary glands,2,30,16,55,30,0.62,0.36,0.07
3,C09-10,706,Oropharynx,2,3,1,6,3,0.08,0.04,0.01
4,C11,706,Nasopharynx,2,55,39,78,55,1.1,0.65,0.11
5,C12-13,706,Hypopharynx,2,8,1,105,8,0.19,0.09,0.03
6,C15,706,Oesophagus,2,239,183,312,239,6.1,2.8,0.71
7,C16,706,Stomach,2,207,182,236,207,5.0,2.5,0.58
8,C18,706,Colon,2,210,189,234,210,4.9,2.5,0.57
9,C19-20,706,Rectum,2,139,116,167,139,3.2,1.7,0.36
10,C21,706,Anus,2,26,19,36,26,0.58,0.31,0.06
11,C22,706,Liver and intrahepatic bile ducts,2,132,104,167,132,3.2,1.6,0.37
12,C23,706,Gallbladder,2,49,36,67,49,1.2,0.58,0.17
13,C25,706,Pancreas,2,79,62,101,79,2.0,0.94,0.24
14,C32,706,Larynx,2,11,5,23,11,0.27,0.13,0.03
15,C33-34,706,"Trachea, bronchus and lung",2,126,100,158,126,3.1,1.5,0.37
16,C43,706,Melanoma of skin,2,22,15,33,22,0.55,0.26,0.06
18,C45,706,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,706,Kaposi sarcoma,2,30,2,394,30,0.50,0.36,0.05
20,C50,706,Breast,2,1811,1580,2076,1811,38.6,21.4,4.1
21,C51,706,Vulva,2,51,32,81,51,1.1,0.60,0.11
22,C52,706,Vagina,2,26,9,79,26,0.57,0.31,0.08
23,C53,706,Cervix uteri,2,1167,1108,1229,1167,26.6,13.8,3.0
24,C54,706,Corpus uteri,2,144,120,172,144,3.6,1.7,0.45
25,C56,706,Ovary,2,311,280,346,311,7.0,3.7,0.79
29,C64,706,Kidney,2,106,68,166,106,1.8,1.3,0.17
30,C67,706,Bladder,2,57,39,82,57,1.5,0.67,0.17
31,C70-72,706," Brain, central nervous system",2,76,61,95,76,1.4,0.90,0.15
32,C73,706,Thyroid,2,210,119,371,210,4.2,2.5,0.45
33,C81,706,Hodgkin lymphoma,2,40,27,59,40,0.61,0.47,0.06
34,C82-86+C88,706,Non-Hodgkin lymphoma,2,201,176,229,201,3.8,2.4,0.39
35,C90,706,Multiple myeloma,2,49,16,147,49,1.2,0.58,0.15
36,C91-95,706,Leukaemia,2,240,210,274,240,4.2,2.8,0.41
