Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,710,All cancers excl. non-melanoma skin cancer,2,54451,53996,54910,54451,175.8,176.5,17.5
1,C00-06,710,"Lip, oral cavity",2,598,547,653,598,2.0,1.9,0.23
2,C07-08,710,Salivary glands,2,123,112,135,123,0.40,0.40,0.04
3,C09-10,710,Oropharynx,2,106,67,168,106,0.35,0.34,0.04
4,C11,710,Nasopharynx,2,59,59,59,59,0.18,0.19,0.02
5,C12-13,710,Hypopharynx,2,49,20,119,49,0.16,0.16,0.02
6,C15,710,Oesophagus,2,1403,1391,1415,1403,4.7,4.6,0.56
7,C16,710,Stomach,2,759,757,761,759,2.5,2.5,0.27
8,C18,710,Colon,2,1706,1674,1739,1706,5.6,5.5,0.66
9,C19-20,710,Rectum,2,1489,1448,1531,1489,4.8,4.8,0.54
10,C21,710,Anus,2,270,174,419,270,0.81,0.88,0.08
11,C22,710,Liver and intrahepatic bile ducts,2,1177,1170,1185,1177,3.9,3.8,0.43
12,C23,710,Gallbladder,2,287,281,293,287,0.94,0.93,0.09
13,C25,710,Pancreas,2,1465,1384,1551,1465,4.8,4.8,0.54
14,C32,710,Larynx,2,175,146,210,175,0.59,0.57,0.07
15,C33-34,710,"Trachea, bronchus and lung",2,3393,3378,3408,3393,11.2,11.0,1.3
16,C43,710,Melanoma of skin,2,1031,435,2444,1031,3.3,3.3,0.37
18,C45,710,Mesothelioma,2,100,71,141,100,0.32,0.32,0.03
19,C46,710,Kaposi sarcoma,2,1590,224,11288,1590,4.5,5.2,0.37
20,C50,710,Breast,2,14712,13920,15549,14712,47.8,47.7,5.2
21,C51,710,Vulva,2,672,356,1268,672,2.0,2.2,0.19
22,C52,710,Vagina,2,230,120,439,230,0.74,0.75,0.08
23,C53,710,Cervix uteri,2,10532,9970,11125,10532,33.2,34.1,3.5
24,C54,710,Corpus uteri,2,1839,1772,1909,1839,6.2,6.0,0.76
25,C56,710,Ovary,2,1558,1524,1593,1558,5.1,5.1,0.57
29,C64,710,Kidney,2,551,538,565,551,1.9,1.8,0.18
30,C67,710,Bladder,2,525,507,544,525,1.7,1.7,0.18
31,C70-72,710," Brain, central nervous system",2,369,366,372,369,1.2,1.2,0.11
32,C73,710,Thyroid,2,1052,982,1128,1052,3.3,3.4,0.33
33,C81,710,Hodgkin lymphoma,2,309,79,1208,309,0.94,1.0,0.08
34,C82-86+C88,710,Non-Hodgkin lymphoma,2,1300,1224,1381,1300,4.1,4.2,0.41
35,C90,710,Multiple myeloma,2,608,530,698,608,2.0,2.0,0.22
36,C91-95,710,Leukaemia,2,1003,977,1030,1003,3.3,3.3,0.29
