Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,728,All cancers excl. non-melanoma skin cancer,2,3943,3781,4112,3943,107.7,68.0,11.2
1,C00-06,728,"Lip, oral cavity",2,56,4,777,56,1.6,0.97,0.18
2,C07-08,728,Salivary glands,2,13,1,180,13,0.35,0.22,0.03
3,C09-10,728,Oropharynx,2,4,0,56,4,0.12,0.07,0.02
4,C11,728,Nasopharynx,2,42,3,583,42,1.1,0.72,0.11
5,C12-13,728,Hypopharynx,2,6,0,83,6,0.18,0.10,0.03
6,C15,728,Oesophagus,2,166,12,2303,166,5.1,2.9,0.60
7,C16,728,Stomach,2,130,73,232,130,3.9,2.2,0.43
8,C18,728,Colon,2,95,29,314,95,2.7,1.6,0.30
9,C19-20,728,Rectum,2,76,34,169,76,2.1,1.3,0.24
10,C21,728,Anus,2,18,4,72,18,0.50,0.31,0.06
11,C22,728,Liver and intrahepatic bile ducts,2,134,89,202,134,3.9,2.3,0.44
12,C23,728,Gallbladder,2,33,2,458,33,1.0,0.57,0.13
13,C25,728,Pancreas,2,58,9,366,58,1.8,1.0,0.20
14,C32,728,Larynx,2,8,1,77,8,0.24,0.14,0.03
15,C33-34,728,"Trachea, bronchus and lung",2,59,6,596,59,1.8,1.0,0.22
16,C43,728,Melanoma of skin,2,30,9,96,30,0.91,0.52,0.11
18,C45,728,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,728,Kaposi sarcoma,2,55,4,763,55,1.2,0.95,0.11
20,C50,728,Breast,2,1073,865,1332,1073,28.0,18.5,3.0
21,C51,728,Vulva,2,30,14,64,30,0.87,0.52,0.10
22,C52,728,Vagina,2,9,1,125,9,0.27,0.16,0.04
23,C53,728,Cervix uteri,2,749,542,1036,749,21.4,12.9,2.4
24,C54,728,Corpus uteri,2,83,7,1048,83,2.5,1.4,0.32
25,C56,728,Ovary,2,163,84,316,163,4.4,2.8,0.50
29,C64,728,Kidney,2,58,7,468,58,1.3,1.0,0.13
30,C67,728,Bladder,2,36,3,500,36,1.1,0.62,0.14
31,C70-72,728," Brain, central nervous system",2,55,4,763,55,1.4,0.95,0.14
32,C73,728,Thyroid,2,89,6,1235,89,2.4,1.5,0.26
33,C81,728,Hodgkin lymphoma,2,23,2,319,23,0.49,0.40,0.04
34,C82-86+C88,728,Non-Hodgkin lymphoma,2,114,8,1582,114,2.8,2.0,0.29
35,C90,728,Multiple myeloma,2,32,11,93,32,1.0,0.55,0.12
36,C91-95,728,Leukaemia,2,77,44,135,77,1.8,1.3,0.19
