Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,729,All cancers excl. non-melanoma skin cancer,2,16997,16649,17352,16997,108.1,73.9,11.0
1,C00-06,729,"Lip, oral cavity",2,232,171,315,232,1.5,1.0,0.14
2,C07-08,729,Salivary glands,2,51,27,98,51,0.33,0.22,0.03
3,C09-10,729,Oropharynx,2,18,6,54,18,0.12,0.08,0.01
4,C11,729,Nasopharynx,2,213,155,293,213,1.3,0.93,0.13
5,C12-13,729,Hypopharynx,2,42,20,86,42,0.27,0.18,0.03
6,C15,729,Oesophagus,2,383,305,481,383,2.6,1.7,0.31
7,C16,729,Stomach,2,304,234,396,304,2.1,1.3,0.21
8,C18,729,Colon,2,368,290,467,368,2.3,1.6,0.21
9,C19-20,729,Rectum,2,458,368,570,458,2.8,2.0,0.28
10,C21,729,Anus,2,38,18,81,38,0.20,0.17,0.02
11,C22,729,Liver and intrahepatic bile ducts,2,425,341,530,425,3.0,1.9,0.34
12,C23,729,Gallbladder,2,203,146,282,203,1.5,0.88,0.18
13,C25,729,Pancreas,2,135,93,197,135,0.90,0.59,0.09
14,C32,729,Larynx,2,32,14,73,32,0.23,0.14,0.02
15,C33-34,729,"Trachea, bronchus and lung",2,266,200,354,266,1.9,1.2,0.23
16,C43,729,Melanoma of skin,2,96,60,155,96,0.68,0.42,0.09
18,C45,729,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,729,Kaposi sarcoma,2,6,1,40,6,0.02,0.03,0.00
20,C50,729,Breast,2,6631,6233,7054,6631,39.9,28.8,4.0
21,C51,729,Vulva,2,157,109,226,157,1.2,0.68,0.16
22,C52,729,Vagina,2,49,25,95,49,0.31,0.21,0.04
23,C53,729,Cervix uteri,2,1234,1075,1417,1234,8.6,5.4,1.0
24,C54,729,Corpus uteri,2,359,281,458,359,2.6,1.6,0.35
25,C56,729,Ovary,2,1003,866,1162,1003,6.4,4.4,0.74
29,C64,729,Kidney,2,302,233,391,302,1.8,1.3,0.20
30,C67,729,Bladder,2,186,134,259,186,1.4,0.81,0.16
31,C70-72,729," Brain, central nervous system",2,216,157,297,216,1.3,0.94,0.14
32,C73,729,Thyroid,2,536,441,651,536,3.7,2.3,0.41
33,C81,729,Hodgkin lymphoma,2,127,84,192,127,0.68,0.55,0.06
34,C82-86+C88,729,Non-Hodgkin lymphoma,2,483,394,593,483,3.0,2.1,0.32
35,C90,729,Multiple myeloma,2,112,72,173,112,0.80,0.49,0.10
36,C91-95,729,Leukaemia,2,619,514,746,619,3.7,2.7,0.36
