Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,834,All cancers excl. non-melanoma skin cancer,2,26180,25816,26549,26180,148.3,82.7,15.3
1,C00-06,834,"Lip, oral cavity",2,219,91,528,219,1.3,0.69,0.13
2,C07-08,834,Salivary glands,2,75,24,235,75,0.46,0.24,0.04
3,C09-10,834,Oropharynx,2,24,8,74,24,0.14,0.08,0.02
4,C11,834,Nasopharynx,2,157,74,334,157,0.81,0.50,0.07
5,C12-13,834,Hypopharynx,2,48,6,357,48,0.32,0.15,0.04
6,C15,834,Oesophagus,2,1053,863,1284,1053,6.6,3.3,0.76
7,C16,834,Stomach,2,413,287,594,413,2.6,1.3,0.31
8,C18,834,Colon,2,368,194,700,368,2.0,1.2,0.22
9,C19-20,834,Rectum,2,522,365,747,522,3.2,1.7,0.36
10,C21,834,Anus,2,264,179,390,264,1.6,0.83,0.19
11,C22,834,Liver and intrahepatic bile ducts,2,443,319,616,443,2.6,1.4,0.32
12,C23,834,Gallbladder,2,56,11,288,56,0.35,0.18,0.03
13,C25,834,Pancreas,2,191,82,446,191,1.3,0.60,0.16
14,C32,834,Larynx,2,44,13,151,44,0.21,0.14,0.02
15,C33-34,834,"Trachea, bronchus and lung",2,387,253,592,387,2.3,1.2,0.25
16,C43,834,Melanoma of skin,2,304,206,449,304,2.0,0.96,0.20
18,C45,834,Mesothelioma,2,29,3,279,29,0.20,0.09,0.02
19,C46,834,Kaposi sarcoma,2,471,365,609,471,2.0,1.5,0.19
20,C50,834,Breast,2,4502,4160,4872,4502,25.1,14.2,2.9
21,C51,834,Vulva,2,289,210,398,289,1.3,0.91,0.13
22,C52,834,Vagina,2,115,71,186,115,0.66,0.36,0.07
23,C53,834,Cervix uteri,2,10868,10378,11381,10868,64.8,34.3,7.1
24,C54,834,Corpus uteri,2,375,257,547,375,2.3,1.2,0.32
25,C56,834,Ovary,2,707,580,861,707,3.8,2.2,0.42
29,C64,834,Kidney,2,327,220,486,327,1.3,1.0,0.11
30,C67,834,Bladder,2,522,396,689,522,3.4,1.7,0.37
31,C70-72,834," Brain, central nervous system",2,81,47,141,81,0.38,0.26,0.04
32,C73,834,Thyroid,2,270,176,414,270,1.6,0.85,0.18
33,C81,834,Hodgkin lymphoma,2,197,97,402,197,0.94,0.62,0.08
34,C82-86+C88,834,Non-Hodgkin lymphoma,2,685,524,895,685,3.2,2.2,0.31
35,C90,834,Multiple myeloma,2,34,15,76,34,0.22,0.11,0.03
36,C91-95,834,Leukaemia,2,284,213,379,284,1.2,0.90,0.11
