Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,768,All cancers excl. non-melanoma skin cancer,2,3007,2862,3160,3007,107.9,69.0,11.1
1,C00-06,768,"Lip, oral cavity",2,29,11,75,29,1.2,0.67,0.11
2,C07-08,768,Salivary glands,2,31,10,101,31,1.1,0.71,0.13
3,C09-10,768,Oropharynx,2,12,1,124,12,0.42,0.28,0.04
4,C11,768,Nasopharynx,2,16,8,32,16,0.52,0.37,0.05
5,C12-13,768,Hypopharynx,2,1,0,15,1,0.04,0.02,0.00
6,C15,768,Oesophagus,2,77,5,1168,77,3.3,1.8,0.41
7,C16,768,Stomach,2,85,56,128,85,3.7,2.0,0.37
8,C18,768,Colon,2,81,46,142,81,3.2,1.9,0.38
9,C19-20,768,Rectum,2,41,16,103,41,1.7,0.94,0.17
10,C21,768,Anus,2,9,1,81,9,0.32,0.21,0.04
11,C22,768,Liver and intrahepatic bile ducts,2,93,70,124,93,3.7,2.1,0.40
12,C23,768,Gallbladder,2,18,3,108,18,0.60,0.41,0.06
13,C25,768,Pancreas,2,25,20,31,25,1.1,0.57,0.12
14,C32,768,Larynx,2,3,0,46,3,0.09,0.07,0.01
15,C33-34,768,"Trachea, bronchus and lung",2,22,11,43,22,0.88,0.50,0.10
16,C43,768,Melanoma of skin,2,21,1,319,21,0.95,0.48,0.09
18,C45,768,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,768,Kaposi sarcoma,2,54,4,819,54,1.5,1.2,0.13
20,C50,768,Breast,2,973,828,1143,973,32.9,22.3,3.5
21,C51,768,Vulva,2,18,4,74,18,0.74,0.41,0.06
22,C52,768,Vagina,2,17,1,258,17,0.68,0.39,0.08
23,C53,768,Cervix uteri,2,511,410,637,511,19.1,11.7,2.2
24,C54,768,Corpus uteri,2,128,70,235,128,5.6,2.9,0.70
25,C56,768,Ovary,2,114,45,289,114,4.1,2.6,0.45
29,C64,768,Kidney,2,32,9,120,32,0.96,0.73,0.11
30,C67,768,Bladder,2,19,1,288,19,0.74,0.44,0.09
31,C70-72,768," Brain, central nervous system",2,16,8,34,16,0.49,0.37,0.05
32,C73,768,Thyroid,2,49,10,231,49,1.8,1.1,0.17
33,C81,768,Hodgkin lymphoma,2,17,1,258,17,0.41,0.39,0.03
34,C82-86+C88,768,Non-Hodgkin lymphoma,2,113,35,361,113,3.4,2.6,0.36
35,C90,768,Multiple myeloma,2,11,7,17,11,0.43,0.25,0.06
36,C91-95,768,Leukaemia,2,50,27,93,50,1.7,1.2,0.15
