Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,800,All cancers excl. non-melanoma skin cancer,2,20274,19951,20602,20274,155.8,82.6,15.6
1,C00-06,800,"Lip, oral cavity",2,141,93,214,141,1.3,0.57,0.15
2,C07-08,800,Salivary glands,2,33,14,77,33,0.27,0.13,0.02
3,C09-10,800,Oropharynx,2,24,8,68,24,0.22,0.10,0.02
4,C11,800,Nasopharynx,2,239,171,333,239,1.8,0.97,0.17
5,C12-13,800,Hypopharynx,2,10,2,50,10,0.06,0.04,0.01
6,C15,800,Oesophagus,2,955,807,1131,955,9.3,3.9,1.1
7,C16,800,Stomach,2,311,233,415,311,2.9,1.3,0.33
8,C18,800,Colon,2,290,216,389,290,2.8,1.2,0.35
9,C19-20,800,Rectum,2,285,211,385,285,2.8,1.2,0.36
10,C21,800,Anus,2,32,13,79,32,0.28,0.13,0.03
11,C22,800,Liver and intrahepatic bile ducts,2,833,727,954,833,7.0,3.4,0.77
12,C23,800,Gallbladder,2,9,2,49,9,0.08,0.04,0.01
13,C25,800,Pancreas,2,184,126,269,184,1.9,0.75,0.24
14,C32,800,Larynx,2,28,12,64,28,0.19,0.11,0.02
15,C33-34,800,"Trachea, bronchus and lung",2,269,199,364,269,2.6,1.1,0.29
16,C43,800,Melanoma of skin,2,126,80,199,126,1.1,0.51,0.12
18,C45,800,Mesothelioma,2,16,4,57,16,0.10,0.07,0.01
19,C46,800,Kaposi sarcoma,2,1358,1217,1516,1358,7.1,5.5,0.61
20,C50,800,Breast,2,2999,2778,3238,2999,23.3,12.2,2.5
21,C51,800,Vulva,2,143,93,219,143,1.1,0.58,0.12
22,C52,800,Vagina,2,43,20,94,43,0.35,0.18,0.03
23,C53,800,Cervix uteri,2,6938,6591,7303,6938,53.8,28.3,5.7
24,C54,800,Corpus uteri,2,391,301,508,391,3.8,1.6,0.47
25,C56,800,Ovary,2,720,595,872,720,5.6,2.9,0.62
29,C64,800,Kidney,2,250,177,353,250,1.2,1.0,0.09
30,C67,800,Bladder,2,141,93,213,141,1.4,0.57,0.14
31,C70-72,800," Brain, central nervous system",2,234,168,326,234,1.8,0.95,0.19
32,C73,800,Thyroid,2,275,203,372,275,2.5,1.1,0.24
33,C81,800,Hodgkin lymphoma,2,201,141,287,201,1.4,0.82,0.13
34,C82-86+C88,800,Non-Hodgkin lymphoma,2,1003,883,1139,1003,6.5,4.1,0.62
35,C90,800,Multiple myeloma,2,79,44,142,79,0.72,0.32,0.09
36,C91-95,800,Leukaemia,2,333,255,435,333,2.0,1.4,0.19
