Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,894,All cancers excl. non-melanoma skin cancer,2,8742,8529,8961,8742,162.6,89.0,16.3
1,C00-06,894,"Lip, oral cavity",2,47,24,90,47,0.91,0.48,0.09
2,C07-08,894,Salivary glands,2,33,11,96,33,0.59,0.34,0.06
3,C09-10,894,Oropharynx,2,4,0,40,4,0.09,0.04,0.01
4,C11,894,Nasopharynx,2,23,6,82,23,0.38,0.23,0.04
5,C12-13,894,Hypopharynx,2,1,0,10,1,0.01,0.01,0.00
6,C15,894,Oesophagus,2,210,160,276,210,4.6,2.1,0.49
7,C16,894,Stomach,2,167,124,225,167,3.8,1.7,0.44
8,C18,894,Colon,2,53,29,97,53,1.2,0.54,0.15
9,C19-20,894,Rectum,2,114,78,168,114,2.3,1.2,0.27
10,C21,894,Anus,2,50,27,93,50,0.78,0.51,0.07
11,C22,894,Liver and intrahepatic bile ducts,2,155,113,212,155,3.3,1.6,0.39
12,C23,894,Gallbladder,2,8,1,69,8,0.15,0.08,0.01
13,C25,894,Pancreas,2,48,20,116,48,1.2,0.49,0.14
14,C32,894,Larynx,2,24,7,84,24,0.45,0.24,0.06
15,C33-34,894,"Trachea, bronchus and lung",2,100,64,155,100,2.2,1.0,0.26
16,C43,894,Melanoma of skin,2,33,12,91,33,0.77,0.34,0.09
18,C45,894,Mesothelioma,2,3,0,30,3,0.05,0.03,0.00
19,C46,894,Kaposi sarcoma,2,893,763,1045,893,11.1,9.1,0.95
20,C50,894,Breast,2,1111,984,1255,1111,22.3,11.3,2.5
21,C51,894,Vulva,2,106,72,156,106,1.7,1.1,0.18
22,C52,894,Vagina,2,46,21,103,46,0.97,0.47,0.12
23,C53,894,Cervix uteri,2,3640,3395,3903,3640,71.5,37.0,7.7
24,C54,894,Corpus uteri,2,53,31,92,53,1.3,0.54,0.17
25,C56,894,Ovary,2,200,150,266,200,3.6,2.0,0.41
29,C64,894,Kidney,2,70,44,112,70,0.82,0.71,0.06
30,C67,894,Bladder,2,98,67,143,98,2.4,1.0,0.27
31,C70-72,894," Brain, central nervous system",2,134,95,189,134,2.1,1.4,0.20
32,C73,894,Thyroid,2,44,19,100,44,0.99,0.45,0.13
33,C81,894,Hodgkin lymphoma,2,44,21,91,44,0.88,0.45,0.10
34,C82-86+C88,894,Non-Hodgkin lymphoma,2,209,157,278,209,3.2,2.1,0.30
35,C90,894,Multiple myeloma,2,34,12,97,34,0.62,0.35,0.07
36,C91-95,894,Leukaemia,2,90,59,137,90,1.2,0.92,0.10
