Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
40,C00-97/C44,716,All cancers excl. non-melanoma skin cancer,2,10978,10748,11213,10978,215.7,137.1,21.6
1,C00-06,716,"Lip, oral cavity",2,52,23,118,52,1.1,0.65,0.14
2,C07-08,716,Salivary glands,2,22,6,84,22,0.43,0.27,0.05
3,C09-10,716,Oropharynx,2,9,1,73,9,0.16,0.11,0.02
4,C11,716,Nasopharynx,2,25,7,88,25,0.40,0.31,0.04
5,C12-13,716,Hypopharynx,2,3,0,28,3,0.06,0.04,0.01
6,C15,716,Oesophagus,2,467,394,554,467,10.5,5.8,1.3
7,C16,716,Stomach,2,460,376,562,460,10.2,5.7,1.2
8,C18,716,Colon,2,219,162,297,219,4.8,2.7,0.58
9,C19-20,716,Rectum,2,161,118,220,161,3.4,2.0,0.38
10,C21,716,Anus,2,53,27,105,53,1.0,0.66,0.11
11,C22,716,Liver and intrahepatic bile ducts,2,287,233,354,287,6.1,3.6,0.71
12,C23,716,Gallbladder,2,36,13,98,36,0.78,0.45,0.09
13,C25,716,Pancreas,2,103,71,150,103,2.3,1.3,0.25
14,C32,716,Larynx,2,8,2,39,8,0.18,0.10,0.02
15,C33-34,716,"Trachea, bronchus and lung",2,176,127,244,176,3.9,2.2,0.46
16,C43,716,Melanoma of skin,2,113,73,174,113,2.5,1.4,0.30
18,C45,716,Mesothelioma,2,3,0,28,3,0.06,0.04,0.01
19,C46,716,Kaposi sarcoma,2,429,350,526,429,6.4,5.4,0.57
20,C50,716,Breast,2,1807,1645,1985,1807,35.8,22.6,4.0
21,C51,716,Vulva,2,147,106,203,147,2.5,1.8,0.25
22,C52,716,Vagina,2,46,20,106,46,0.85,0.57,0.08
23,C53,716,Cervix uteri,2,3520,3287,3769,3520,68.2,44.0,7.4
24,C54,716,Corpus uteri,2,339,272,422,339,7.7,4.2,0.94
25,C56,716,Ovary,2,321,261,395,321,6.5,4.0,0.74
29,C64,716,Kidney,2,77,36,167,77,1.2,0.96,0.12
30,C67,716,Bladder,2,108,59,197,108,2.4,1.4,0.30
31,C70-72,716," Brain, central nervous system",2,135,79,232,135,2.4,1.7,0.25
32,C73,716,Thyroid,2,145,96,218,145,3.2,1.8,0.37
33,C81,716,Hodgkin lymphoma,2,42,18,100,42,0.67,0.52,0.06
34,C82-86+C88,716,Non-Hodgkin lymphoma,2,544,459,645,544,9.2,6.8,0.93
35,C90,716,Multiple myeloma,2,165,136,200,165,3.8,2.1,0.49
36,C91-95,716,Leukaemia,2,143,96,213,143,2.4,1.8,0.24
