country,source_file,year,weighted_births,weighted_twin_births,twin_rate_per_1000,weight_source
Ghana,GHBR4BFL.DTA,1970,22.679439,0.0,0.0,weighted_v005
Ghana,GHBR4BFL.DTA,1970,22.679439,0.0,0.0,weighted_v005
Ghana,GHBR4BFL.DTA,1971,15.225891,0.0,0.0,weighted_v005
Ghana,GHBR4BFL.DTA,1971,15.225891,0.0,0.0,weighted_v005
Ghana,GHBR5AFL.DTA,1971,1.442095,0.0,0.0,weighted_v005
Ghana,GHBR5AFL.DTA,1971,1.442095,0.0,0.0,weighted_v005
Ghana,GHBR4BFL.DTA,1972,41.631139,0.0,0.0,weighted_v005
Ghana,GHBR4BFL.DTA,1972,41.631139,0.0,0.0,weighted_v005
Ghana,GHBR5AFL.DTA,1972,0.47361000000000003,0.0,0.0,weighted_v005
Ghana,GHBR5AFL.DTA,1972,0.47361000000000003,0.0,0.0,weighted_v005
Ghana,GHBR4BFL.DTA,1973,55.771402,3.1753159999999996,56.934484092761366,weighted_v005
Ghana,GHBR4BFL.DTA,1973,55.771402,3.1753159999999996,56.934484092761366,weighted_v005
Ghana,GHBR5AFL.DTA,1973,0.334313,0.0,0.0,weighted_v005
Ghana,GHBR5AFL.DTA,1973,0.334313,0.0,0.0,weighted_v005
Ghana,GHBR4BFL.DTA,1974,68.496449,2.44843,35.74535666805151,weighted_v005
Ghana,GHBR4BFL.DTA,1974,68.496449,2.44843,35.74535666805151,weighted_v005
Ghana,GHBR5AFL.DTA,1974,2.490987,0.102086,40.98214884300881,weighted_v005
Ghana,GHBR5AFL.DTA,1974,2.490987,0.102086,40.98214884300881,weighted_v005
Ghana,GHBR4BFL.DTA,1975,118.671318,0.0,0.0,weighted_v005
Ghana,GHBR4BFL.DTA,1975,118.671318,0.0,0.0,weighted_v005
Ghana,GHBR5AFL.DTA,1975,7.235076,0.0,0.0,weighted_v005
Ghana,GHBR5AFL.DTA,1975,7.235076,0.0,0.0,weighted_v005
Ghana,GHBR4BFL.DTA,1976,108.045405,2.325144,21.520063717656477,weighted_v005
Ghana,GHBR4BFL.DTA,1976,108.045405,2.325144,21.520063717656477,weighted_v005
Ghana,GHBR5AFL.DTA,1976,21.845809,0.0,0.0,weighted_v005
Ghana,GHBR5AFL.DTA,1976,21.845809,0.0,0.0,weighted_v005
Ghana,GHBR4BFL.DTA,1977,154.555224,0.0,0.0,weighted_v005
Ghana,GHBR4BFL.DTA,1977,154.555224,0.0,0.0,weighted_v005
Ghana,GHBR5AFL.DTA,1977,20.501757,0.0,0.0,weighted_v005
Ghana,GHBR5AFL.DTA,1977,20.501757,0.0,0.0,weighted_v005
Ghana,GHBR4BFL.DTA,1978,205.032573,4.088258,19.93955370203543,weighted_v005
Ghana,GHBR4BFL.DTA,1978,205.032573,4.088258,19.93955370203543,weighted_v005
Ghana,GHBR5AFL.DTA,1978,70.390735,2.370706,33.679233495715025,weighted_v005
Ghana,GHBR5AFL.DTA,1978,70.390735,2.370706,33.679233495715025,weighted_v005
Ghana,GHBR4BFL.DTA,1979,221.791803,3.026456,13.645481749386384,weighted_v005
Ghana,GHBR4BFL.DTA,1979,221.791803,3.026456,13.645481749386384,weighted_v005
Ghana,GHBR5AFL.DTA,1979,73.715579,3.687996,50.030075732024024,weighted_v005
Ghana,GHBR5AFL.DTA,1979,73.715579,3.687996,50.030075732024024,weighted_v005
Ghana,GHBR72FL.DTA,1979,6.718889,0.0,0.0,weighted_v005
Ghana,GHBR72FL.DTA,1979,6.718889,0.0,0.0,weighted_v005
Ghana,GHBR4BFL.DTA,1980,233.332922,2.05957,8.826744131717511,weighted_v005
Ghana,GHBR4BFL.DTA,1980,233.332922,2.05957,8.826744131717511,weighted_v005
Ghana,GHBR5AFL.DTA,1980,96.646318,4.4245,45.78032657177897,weighted_v005
Ghana,GHBR5AFL.DTA,1980,96.646318,4.4245,45.78032657177897,weighted_v005
Ghana,GHBR72FL.DTA,1980,6.363759,0.0,0.0,weighted_v005
Ghana,GHBR72FL.DTA,1980,6.363759,0.0,0.0,weighted_v005
Ghana,GHBR4BFL.DTA,1981,294.16552,4.35106,14.791196466533535,weighted_v005
Ghana,GHBR4BFL.DTA,1981,294.16552,4.35106,14.791196466533535,weighted_v005
Ghana,GHBR5AFL.DTA,1981,98.552256,1.92251,19.5075189349293,weighted_v005
Ghana,GHBR5AFL.DTA,1981,98.552256,1.92251,19.5075189349293,weighted_v005
Ghana,GHBR72FL.DTA,1981,21.236898,0.0,0.0,weighted_v005
Ghana,GHBR72FL.DTA,1981,21.236898,0.0,0.0,weighted_v005
Ghana,GHBR4BFL.DTA,1982,274.719633,6.397734,23.288230004296782,weighted_v005
Ghana,GHBR4BFL.DTA,1982,274.719633,6.397734,23.288230004296782,weighted_v005
Ghana,GHBR5AFL.DTA,1982,132.53104,1.964402,14.822203160859525,weighted_v005
Ghana,GHBR5AFL.DTA,1982,132.53104,1.964402,14.822203160859525,weighted_v005
Ghana,GHBR72FL.DTA,1982,36.712129,0.0,0.0,weighted_v005
Ghana,GHBR72FL.DTA,1982,36.712129,0.0,0.0,weighted_v005
Ghana,GHBR4BFL.DTA,1983,441.48175,18.179654000000003,41.17872143072732,weighted_v005
Ghana,GHBR4BFL.DTA,1983,441.48175,18.179654000000003,41.17872143072732,weighted_v005
Ghana,GHBR5AFL.DTA,1983,185.736022,3.218134,17.326385939287537,weighted_v005
Ghana,GHBR5AFL.DTA,1983,185.736022,3.218134,17.326385939287537,weighted_v005
Ghana,GHBR72FL.DTA,1983,73.038845,1.871962,25.62967692054824,weighted_v005
Ghana,GHBR72FL.DTA,1983,73.038845,1.871962,25.62967692054824,weighted_v005
Ghana,GHBR4BFL.DTA,1984,315.075214,19.419548,61.634641942986974,weighted_v005
Ghana,GHBR4BFL.DTA,1984,315.075214,19.419548,61.634641942986974,weighted_v005
Ghana,GHBR5AFL.DTA,1984,184.950663,4.66199,25.206668223730567,weighted_v005
Ghana,GHBR5AFL.DTA,1984,184.950663,4.66199,25.206668223730567,weighted_v005
Ghana,GHBR72FL.DTA,1984,116.895456,0.0,0.0,weighted_v005
Ghana,GHBR72FL.DTA,1984,116.895456,0.0,0.0,weighted_v005
Ghana,GHBR4BFL.DTA,1985,482.040918,6.180892,12.822338870410997,weighted_v005
Ghana,GHBR4BFL.DTA,1985,482.040918,6.180892,12.822338870410997,weighted_v005
Ghana,GHBR5AFL.DTA,1985,218.769027,8.610848,39.36045297673697,weighted_v005
Ghana,GHBR5AFL.DTA,1985,218.769027,8.610848,39.36045297673697,weighted_v005
Ghana,GHBR72FL.DTA,1985,114.929073,0.0,0.0,weighted_v005
Ghana,GHBR72FL.DTA,1985,114.929073,0.0,0.0,weighted_v005
Ghana,GHBR8CFL.DTA,1985,0.500323,0.0,0.0,weighted_v005
Ghana,GHBR8CFL.DTA,1985,0.500323,0.0,0.0,weighted_v005
Ghana,GHBR4BFL.DTA,1986,408.502723,5.733650000000001,14.035769352754109,weighted_v005
Ghana,GHBR4BFL.DTA,1986,408.502723,5.733650000000001,14.035769352754109,weighted_v005
Ghana,GHBR5AFL.DTA,1986,238.842357,4.00194,16.755570704738947,weighted_v005
Ghana,GHBR5AFL.DTA,1986,238.842357,4.00194,16.755570704738947,weighted_v005
Ghana,GHBR72FL.DTA,1986,171.139229,0.0,0.0,weighted_v005
Ghana,GHBR72FL.DTA,1986,171.139229,0.0,0.0,weighted_v005
Ghana,GHBR8CFL.DTA,1986,0.8305499999999999,0.0,0.0,weighted_v005
Ghana,GHBR8CFL.DTA,1986,0.8305499999999999,0.0,0.0,weighted_v005
Ghana,GHBR4BFL.DTA,1987,484.442444,17.789184,36.72094429446813,weighted_v005
Ghana,GHBR4BFL.DTA,1987,484.442444,17.789184,36.72094429446813,weighted_v005
Ghana,GHBR5AFL.DTA,1987,215.196282,10.421466,48.42772330053546,weighted_v005
Ghana,GHBR5AFL.DTA,1987,215.196282,10.421466,48.42772330053546,weighted_v005
Ghana,GHBR72FL.DTA,1987,208.934972,4.06084,19.435903722235643,weighted_v005
Ghana,GHBR72FL.DTA,1987,208.934972,4.06084,19.435903722235643,weighted_v005
Ghana,GHBR8CFL.DTA,1987,0.657465,0.0,0.0,weighted_v005
Ghana,GHBR8CFL.DTA,1987,0.657465,0.0,0.0,weighted_v005
Ghana,GHBR4BFL.DTA,1988,530.099001,26.645866,50.26582949549833,weighted_v005
Ghana,GHBR4BFL.DTA,1988,530.099001,26.645866,50.26582949549833,weighted_v005
Ghana,GHBR5AFL.DTA,1988,325.081613,8.802722000000001,27.078498592290426,weighted_v005
Ghana,GHBR5AFL.DTA,1988,325.081613,8.802722000000001,27.078498592290426,weighted_v005
Ghana,GHBR72FL.DTA,1988,235.092998,8.002022,34.03768750271329,weighted_v005
Ghana,GHBR72FL.DTA,1988,235.092998,8.002022,34.03768750271329,weighted_v005
Ghana,GHBR8CFL.DTA,1988,13.426629,0.0,0.0,weighted_v005
Ghana,GHBR8CFL.DTA,1988,13.426629,0.0,0.0,weighted_v005
Ghana,GHBR4BFL.DTA,1989,560.358326,19.072429999999997,34.036132087381525,weighted_v005
Ghana,GHBR4BFL.DTA,1989,560.358326,19.072429999999997,34.036132087381525,weighted_v005
Ghana,GHBR5AFL.DTA,1989,272.728006,21.75253,79.75906222113471,weighted_v005
Ghana,GHBR5AFL.DTA,1989,272.728006,21.75253,79.75906222113471,weighted_v005
Ghana,GHBR72FL.DTA,1989,338.449059,12.577188,37.16124381365173,weighted_v005
Ghana,GHBR72FL.DTA,1989,338.449059,12.577188,37.16124381365173,weighted_v005
Ghana,GHBR8CFL.DTA,1989,23.867416,0.231362,9.693634199864787,weighted_v005
Ghana,GHBR8CFL.DTA,1989,23.867416,0.231362,9.693634199864787,weighted_v005
Ghana,GHBR4BFL.DTA,1990,658.957068,28.209488,42.809295733967296,weighted_v005
Ghana,GHBR4BFL.DTA,1990,658.957068,28.209488,42.809295733967296,weighted_v005
Ghana,GHBR5AFL.DTA,1990,392.623008,21.667622,55.1868371402218,weighted_v005
Ghana,GHBR5AFL.DTA,1990,392.623008,21.667622,55.1868371402218,weighted_v005
Ghana,GHBR72FL.DTA,1990,338.59075,13.500488,39.87258364264234,weighted_v005
Ghana,GHBR72FL.DTA,1990,338.59075,13.500488,39.87258364264234,weighted_v005
Ghana,GHBR8CFL.DTA,1990,70.113404,0.0,0.0,weighted_v005
Ghana,GHBR8CFL.DTA,1990,70.113404,0.0,0.0,weighted_v005
Ghana,GHBR4BFL.DTA,1991,560.372814,37.586002,67.07320744507066,weighted_v005
Ghana,GHBR4BFL.DTA,1991,560.372814,37.586002,67.07320744507066,weighted_v005
Ghana,GHBR5AFL.DTA,1991,293.587953,2.748108,9.360424949044146,weighted_v005
Ghana,GHBR5AFL.DTA,1991,293.587953,2.748108,9.360424949044146,weighted_v005
Ghana,GHBR72FL.DTA,1991,344.681911,1.057352,3.067616739539314,weighted_v005
Ghana,GHBR72FL.DTA,1991,344.681911,1.057352,3.067616739539314,weighted_v005
