country,source_file,year,weighted_births,weighted_twin_births,twin_rate_per_1000,weight_source
Kenya,KEBR42FL.DTA,1970,38.136437,3.808324,99.86050873079725,weighted_v005
Kenya,KEBR42FL.DTA,1970,38.136437,3.808324,99.86050873079725,weighted_v005
Kenya,KEBR42FL.DTA,1971,49.920522,0.0,0.0,weighted_v005
Kenya,KEBR42FL.DTA,1971,49.920522,0.0,0.0,weighted_v005
Kenya,KEBR52FL.DTA,1971,0.464936,0.0,0.0,weighted_v005
Kenya,KEBR52FL.DTA,1971,0.464936,0.0,0.0,weighted_v005
Kenya,KEBR42FL.DTA,1972,79.821191,0.0,0.0,weighted_v005
Kenya,KEBR42FL.DTA,1972,79.821191,0.0,0.0,weighted_v005
Kenya,KEBR52FL.DTA,1972,3.946093,0.0,0.0,weighted_v005
Kenya,KEBR52FL.DTA,1972,3.946093,0.0,0.0,weighted_v005
Kenya,KEBR42FL.DTA,1973,78.181068,0.0,0.0,weighted_v005
Kenya,KEBR42FL.DTA,1973,78.181068,0.0,0.0,weighted_v005
Kenya,KEBR52FL.DTA,1973,4.158047,0.906928,218.11393666305358,weighted_v005
Kenya,KEBR52FL.DTA,1973,4.158047,0.906928,218.11393666305358,weighted_v005
Kenya,KEBR42FL.DTA,1974,151.322707,5.419992,35.817440141353,weighted_v005
Kenya,KEBR42FL.DTA,1974,151.322707,5.419992,35.817440141353,weighted_v005
Kenya,KEBR52FL.DTA,1974,16.052816,0.0,0.0,weighted_v005
Kenya,KEBR52FL.DTA,1974,16.052816,0.0,0.0,weighted_v005
Kenya,KEBR42FL.DTA,1975,173.661054,5.580843,32.13641096523576,weighted_v005
Kenya,KEBR42FL.DTA,1975,173.661054,5.580843,32.13641096523576,weighted_v005
Kenya,KEBR52FL.DTA,1975,22.11691,0.0,0.0,weighted_v005
Kenya,KEBR52FL.DTA,1975,22.11691,0.0,0.0,weighted_v005
Kenya,KEBR42FL.DTA,1976,193.961514,0.0,0.0,weighted_v005
Kenya,KEBR42FL.DTA,1976,193.961514,0.0,0.0,weighted_v005
Kenya,KEBR52FL.DTA,1976,45.785199,0.0,0.0,weighted_v005
Kenya,KEBR52FL.DTA,1976,45.785199,0.0,0.0,weighted_v005
Kenya,KEBR72FL.DTA,1976,1.018039,0.0,0.0,weighted_v005
Kenya,KEBR72FL.DTA,1976,1.018039,0.0,0.0,weighted_v005
Kenya,KEBR42FL.DTA,1977,243.198476,2.18391,8.979949364485327,weighted_v005
Kenya,KEBR42FL.DTA,1977,243.198476,2.18391,8.979949364485327,weighted_v005
Kenya,KEBR52FL.DTA,1977,47.075907,0.0,0.0,weighted_v005
Kenya,KEBR52FL.DTA,1977,47.075907,0.0,0.0,weighted_v005
Kenya,KEBR72FL.DTA,1977,2.086296,0.0,0.0,weighted_v005
Kenya,KEBR72FL.DTA,1977,2.086296,0.0,0.0,weighted_v005
Kenya,KEBR42FL.DTA,1978,326.757249,2.277802,6.9709302761329095,weighted_v005
Kenya,KEBR42FL.DTA,1978,326.757249,2.277802,6.9709302761329095,weighted_v005
Kenya,KEBR52FL.DTA,1978,105.634161,8.865894,83.93017860955038,weighted_v005
Kenya,KEBR52FL.DTA,1978,105.634161,8.865894,83.93017860955038,weighted_v005
Kenya,KEBR72FL.DTA,1978,6.776178,0.0,0.0,weighted_v005
Kenya,KEBR72FL.DTA,1978,6.776178,0.0,0.0,weighted_v005
Kenya,KEBR42FL.DTA,1979,357.26956,9.388138,26.277463996652834,weighted_v005
Kenya,KEBR42FL.DTA,1979,357.26956,9.388138,26.277463996652834,weighted_v005
Kenya,KEBR52FL.DTA,1979,149.70635,12.076954,80.67095350330831,weighted_v005
Kenya,KEBR52FL.DTA,1979,149.70635,12.076954,80.67095350330831,weighted_v005
Kenya,KEBR72FL.DTA,1979,18.128972,0.0,0.0,weighted_v005
Kenya,KEBR72FL.DTA,1979,18.128972,0.0,0.0,weighted_v005
Kenya,KEBR42FL.DTA,1980,424.105869,8.578306000000001,20.22680332207334,weighted_v005
Kenya,KEBR42FL.DTA,1980,424.105869,8.578306000000001,20.22680332207334,weighted_v005
Kenya,KEBR52FL.DTA,1980,173.989827,0.0,0.0,weighted_v005
Kenya,KEBR52FL.DTA,1980,173.989827,0.0,0.0,weighted_v005
Kenya,KEBR72FL.DTA,1980,64.982144,5.675628,87.34134718608237,weighted_v005
Kenya,KEBR72FL.DTA,1980,64.982144,5.675628,87.34134718608237,weighted_v005
Kenya,KEBR42FL.DTA,1981,389.990663,5.995664,15.373865502005621,weighted_v005
Kenya,KEBR42FL.DTA,1981,389.990663,5.995664,15.373865502005621,weighted_v005
Kenya,KEBR52FL.DTA,1981,175.84872000000001,4.596401999999999,26.138387586784816,weighted_v005
Kenya,KEBR52FL.DTA,1981,175.84872000000001,4.596401999999999,26.138387586784816,weighted_v005
Kenya,KEBR72FL.DTA,1981,62.929787,0.0,0.0,weighted_v005
Kenya,KEBR72FL.DTA,1981,62.929787,0.0,0.0,weighted_v005
Kenya,KEBR42FL.DTA,1982,551.9509860000001,12.511874,22.668451216427393,weighted_v005
Kenya,KEBR42FL.DTA,1982,551.9509860000001,12.511874,22.668451216427393,weighted_v005
Kenya,KEBR52FL.DTA,1982,261.397209,3.437388,13.150056242566846,weighted_v005
Kenya,KEBR52FL.DTA,1982,261.397209,3.437388,13.150056242566846,weighted_v005
Kenya,KEBR72FL.DTA,1982,151.347683,0.0,0.0,weighted_v005
Kenya,KEBR72FL.DTA,1982,151.347683,0.0,0.0,weighted_v005
Kenya,KEBR42FL.DTA,1983,506.216954,11.531584000000002,22.779924514341737,weighted_v005
Kenya,KEBR42FL.DTA,1983,506.216954,11.531584000000002,22.779924514341737,weighted_v005
Kenya,KEBR52FL.DTA,1983,254.235966,0.0,0.0,weighted_v005
Kenya,KEBR52FL.DTA,1983,254.235966,0.0,0.0,weighted_v005
Kenya,KEBR72FL.DTA,1983,213.048182,1.68173,7.893660411521371,weighted_v005
Kenya,KEBR72FL.DTA,1983,213.048182,1.68173,7.893660411521371,weighted_v005
Kenya,KEBR42FL.DTA,1984,659.920506,10.120872,15.33650175737985,weighted_v005
Kenya,KEBR42FL.DTA,1984,659.920506,10.120872,15.33650175737985,weighted_v005
Kenya,KEBR52FL.DTA,1984,396.27974,6.474988,16.33943738834592,weighted_v005
Kenya,KEBR52FL.DTA,1984,396.27974,6.474988,16.33943738834592,weighted_v005
Kenya,KEBR72FL.DTA,1984,326.842099,1.302598,3.985404585227559,weighted_v005
Kenya,KEBR72FL.DTA,1984,326.842099,1.302598,3.985404585227559,weighted_v005
Kenya,KEBR8CFL.DTA,1984,7.3933,0.0,0.0,weighted_v005
Kenya,KEBR8CFL.DTA,1984,7.3933,0.0,0.0,weighted_v005
Kenya,KEBR42FL.DTA,1985,622.136484,11.278272,18.128292247847018,weighted_v005
Kenya,KEBR42FL.DTA,1985,622.136484,11.278272,18.128292247847018,weighted_v005
Kenya,KEBR52FL.DTA,1985,381.593869,17.427183999999997,45.66945492512616,weighted_v005
Kenya,KEBR52FL.DTA,1985,381.593869,17.427183999999997,45.66945492512616,weighted_v005
Kenya,KEBR72FL.DTA,1985,403.476182,10.225518000000001,25.343548036250628,weighted_v005
Kenya,KEBR72FL.DTA,1985,403.476182,10.225518000000001,25.343548036250628,weighted_v005
Kenya,KEBR8CFL.DTA,1985,15.631834,0.0,0.0,weighted_v005
Kenya,KEBR8CFL.DTA,1985,15.631834,0.0,0.0,weighted_v005
Kenya,KEBR42FL.DTA,1986,723.160931,16.753974,23.167697924212113,weighted_v005
Kenya,KEBR42FL.DTA,1986,723.160931,16.753974,23.167697924212113,weighted_v005
Kenya,KEBR52FL.DTA,1986,460.538491,13.572818000000002,29.47162564094996,weighted_v005
Kenya,KEBR52FL.DTA,1986,460.538491,13.572818000000002,29.47162564094996,weighted_v005
Kenya,KEBR72FL.DTA,1986,617.438612,9.57089,15.500958012648551,weighted_v005
Kenya,KEBR72FL.DTA,1986,617.438612,9.57089,15.500958012648551,weighted_v005
Kenya,KEBR8CFL.DTA,1986,23.378317,2.11597,90.50993704978849,weighted_v005
Kenya,KEBR8CFL.DTA,1986,23.378317,2.11597,90.50993704978849,weighted_v005
Kenya,KEBR42FL.DTA,1987,787.911274,6.863834,8.711430114655268,weighted_v005
Kenya,KEBR42FL.DTA,1987,787.911274,6.863834,8.711430114655268,weighted_v005
Kenya,KEBR52FL.DTA,1987,477.52608,1.408218,2.9489865768169143,weighted_v005
Kenya,KEBR52FL.DTA,1987,477.52608,1.408218,2.9489865768169143,weighted_v005
Kenya,KEBR72FL.DTA,1987,655.924397,5.921177999999999,9.02722634968554,weighted_v005
Kenya,KEBR72FL.DTA,1987,655.924397,5.921177999999999,9.02722634968554,weighted_v005
Kenya,KEBR8CFL.DTA,1987,49.164001999999996,3.044988,61.93531600621122,weighted_v005
Kenya,KEBR8CFL.DTA,1987,49.164001999999996,3.044988,61.93531600621122,weighted_v005
Kenya,KEBR42FL.DTA,1988,796.694978,20.276076,25.450236991452456,weighted_v005
Kenya,KEBR42FL.DTA,1988,796.694978,20.276076,25.450236991452456,weighted_v005
Kenya,KEBR52FL.DTA,1988,501.843423,7.283706,14.513901480382657,weighted_v005
Kenya,KEBR52FL.DTA,1988,501.843423,7.283706,14.513901480382657,weighted_v005
Kenya,KEBR72FL.DTA,1988,904.705148,15.734887999999998,17.39228303805341,weighted_v005
Kenya,KEBR72FL.DTA,1988,904.705148,15.734887999999998,17.39228303805341,weighted_v005
Kenya,KEBR8CFL.DTA,1988,65.75212,0.0,0.0,weighted_v005
Kenya,KEBR8CFL.DTA,1988,65.75212,0.0,0.0,weighted_v005
Kenya,KEBR42FL.DTA,1989,877.180804,28.899867999999998,32.94630692807546,weighted_v005
Kenya,KEBR42FL.DTA,1989,877.180804,28.899867999999998,32.94630692807546,weighted_v005
Kenya,KEBR52FL.DTA,1989,573.83399,19.98655,34.82984686912673,weighted_v005
Kenya,KEBR52FL.DTA,1989,573.83399,19.98655,34.82984686912673,weighted_v005
Kenya,KEBR72FL.DTA,1989,951.964951,11.993168,12.598329368535754,weighted_v005
Kenya,KEBR72FL.DTA,1989,951.964951,11.993168,12.598329368535754,weighted_v005
Kenya,KEBR8CFL.DTA,1989,90.249072,0.73446,8.138144622694847,weighted_v005
Kenya,KEBR8CFL.DTA,1989,90.249072,0.73446,8.138144622694847,weighted_v005
Kenya,KEBR42FL.DTA,1990,940.757748,41.029558,43.613308619808464,weighted_v005
Kenya,KEBR42FL.DTA,1990,940.757748,41.029558,43.613308619808464,weighted_v005
Kenya,KEBR52FL.DTA,1990,609.441905,19.247133999999996,31.58157298028266,weighted_v005
Kenya,KEBR52FL.DTA,1990,609.441905,19.247133999999996,31.58157298028266,weighted_v005
Kenya,KEBR72FL.DTA,1990,1187.616038,12.351571999999999,10.400307510835416,weighted_v005
Kenya,KEBR72FL.DTA,1990,1187.616038,12.351571999999999,10.400307510835416,weighted_v005
Kenya,KEBR8CFL.DTA,1990,149.32367,4.487378,30.051350867548326,weighted_v005
Kenya,KEBR8CFL.DTA,1990,149.32367,4.487378,30.051350867548326,weighted_v005
Kenya,KEBR42FL.DTA,1991,831.792037,30.295214,36.42162061236468,weighted_v005
Kenya,KEBR42FL.DTA,1991,831.792037,30.295214,36.42162061236468,weighted_v005
Kenya,KEBR52FL.DTA,1991,600.847532,19.714584,32.8112922996911,weighted_v005
Kenya,KEBR52FL.DTA,1991,600.847532,19.714584,32.8112922996911,weighted_v005
Kenya,KEBR72FL.DTA,1991,1018.661869,22.996328,22.57503564217539,weighted_v005
Kenya,KEBR72FL.DTA,1991,1018.661869,22.996328,22.57503564217539,weighted_v005
Kenya,KEBR8CFL.DTA,1991,177.868611,1.061014,5.965155931869283,weighted_v005
Kenya,KEBR8CFL.DTA,1991,177.868611,1.061014,5.965155931869283,weighted_v005
Kenya,KEBR42FL.DTA,1992,1015.803664,51.02577,50.23192158913103,weighted_v005
Kenya,KEBR42FL.DTA,1992,1015.803664,51.02577,50.23192158913103,weighted_v005
Kenya,KEBR52FL.DTA,1992,734.722891,22.543772,30.683366853204525,weighted_v005
Kenya,KEBR52FL.DTA,1992,734.722891,22.543772,30.683366853204525,weighted_v005
Kenya,KEBR72FL.DTA,1992,1436.907757,28.532888,19.857146612926247,weighted_v005
Kenya,KEBR72FL.DTA,1992,1436.907757,28.532888,19.857146612926247,weighted_v005
Kenya,KEBR8CFL.DTA,1992,346.077566,1.322428,3.821189611579735,weighted_v005
Kenya,KEBR8CFL.DTA,1992,346.077566,1.322428,3.821189611579735,weighted_v005
Kenya,KEBR42FL.DTA,1993,872.449437,21.908628,25.11163062393036,weighted_v005
Kenya,KEBR42FL.DTA,1993,872.449437,21.908628,25.11163062393036,weighted_v005
Kenya,KEBR52FL.DTA,1993,676.521122,22.057523000000003,32.60433751837833,weighted_v005
Kenya,KEBR52FL.DTA,1993,676.521122,22.057523000000003,32.60433751837833,weighted_v005
Kenya,KEBR72FL.DTA,1993,1387.276285,34.491404,24.862678309245375,weighted_v005
Kenya,KEBR72FL.DTA,1993,1387.276285,34.491404,24.862678309245375,weighted_v005
Kenya,KEBR8CFL.DTA,1993,372.949571,3.456096,9.266925795713009,weighted_v005
Kenya,KEBR8CFL.DTA,1993,372.949571,3.456096,9.266925795713009,weighted_v005
Kenya,KEBR42FL.DTA,1994,979.062248,23.199852,23.69599282108159,weighted_v005
Kenya,KEBR42FL.DTA,1994,979.062248,23.199852,23.69599282108159,weighted_v005
Kenya,KEBR52FL.DTA,1994,809.724997,30.786378,38.020782505248505,weighted_v005
Kenya,KEBR52FL.DTA,1994,809.724997,30.786378,38.020782505248505,weighted_v005
Kenya,KEBR72FL.DTA,1994,1794.436022,32.098444,17.887761729295022,weighted_v005
