country,source_file,year,weighted_births,weighted_twin_births,twin_rate_per_1000,weight_source
Lesotho,LSBR41FL.dta,1970,5.748978,0.0,0.0,weighted_v005
Lesotho,LSBR41FL.dta,1970,5.748978,0.0,0.0,weighted_v005
Lesotho,LSBR61FL.DTA,1970,0.530319,0.0,0.0,weighted_v005
Lesotho,LSBR61FL.DTA,1970,0.530319,0.0,0.0,weighted_v005
Lesotho,LSBR41FL.dta,1971,3.854883,0.0,0.0,weighted_v005
Lesotho,LSBR41FL.dta,1971,3.854883,0.0,0.0,weighted_v005
Lesotho,LSBR41FL.dta,1972,18.880574,0.0,0.0,weighted_v005
Lesotho,LSBR41FL.dta,1972,18.880574,0.0,0.0,weighted_v005
Lesotho,LSBR41FL.dta,1973,19.331001,0.0,0.0,weighted_v005
Lesotho,LSBR41FL.dta,1973,19.331001,0.0,0.0,weighted_v005
Lesotho,LSBR61FL.DTA,1973,0.530319,0.0,0.0,weighted_v005
Lesotho,LSBR61FL.DTA,1973,0.530319,0.0,0.0,weighted_v005
Lesotho,LSBR41FL.dta,1974,43.926992,0.0,0.0,weighted_v005
Lesotho,LSBR41FL.dta,1974,43.926992,0.0,0.0,weighted_v005
Lesotho,LSBR61FL.DTA,1974,0.614783,0.0,0.0,weighted_v005
Lesotho,LSBR61FL.DTA,1974,0.614783,0.0,0.0,weighted_v005
Lesotho,LSBR41FL.dta,1975,107.527171,1.636476,15.219185855824293,weighted_v005
Lesotho,LSBR41FL.dta,1975,107.527171,1.636476,15.219185855824293,weighted_v005
Lesotho,LSBR61FL.DTA,1975,4.469272,0.0,0.0,weighted_v005
Lesotho,LSBR61FL.DTA,1975,4.469272,0.0,0.0,weighted_v005
Lesotho,LSBR41FL.dta,1976,112.133418,0.310812,2.7718052793146817,weighted_v005
Lesotho,LSBR41FL.dta,1976,112.133418,0.310812,2.7718052793146817,weighted_v005
Lesotho,LSBR61FL.DTA,1976,7.487063,0.0,0.0,weighted_v005
Lesotho,LSBR61FL.DTA,1976,7.487063,0.0,0.0,weighted_v005
Lesotho,LSBR41FL.dta,1977,162.761339,0.0,0.0,weighted_v005
Lesotho,LSBR41FL.dta,1977,162.761339,0.0,0.0,weighted_v005
Lesotho,LSBR61FL.DTA,1977,23.422382,0.0,0.0,weighted_v005
Lesotho,LSBR61FL.DTA,1977,23.422382,0.0,0.0,weighted_v005
Lesotho,LSBR41FL.dta,1978,215.59765000000002,4.901281000000001,22.733462076233206,weighted_v005
Lesotho,LSBR41FL.dta,1978,215.59765000000002,4.901281000000001,22.733462076233206,weighted_v005
Lesotho,LSBR61FL.DTA,1978,32.93533,1.310838,39.80036028180073,weighted_v005
Lesotho,LSBR61FL.DTA,1978,32.93533,1.310838,39.80036028180073,weighted_v005
Lesotho,LSBR41FL.dta,1979,238.125586,3.257358,13.679160037846584,weighted_v005
Lesotho,LSBR41FL.dta,1979,238.125586,3.257358,13.679160037846584,weighted_v005
Lesotho,LSBR61FL.DTA,1979,56.468229,3.545786,62.792583773080615,weighted_v005
Lesotho,LSBR61FL.DTA,1979,56.468229,3.545786,62.792583773080615,weighted_v005
Lesotho,LSBR71FL.DTA,1979,2.082146,0.0,0.0,weighted_v005
Lesotho,LSBR71FL.DTA,1979,2.082146,0.0,0.0,weighted_v005
Lesotho,LSBR41FL.dta,1980,300.832109,8.252212,27.431287263288773,weighted_v005
Lesotho,LSBR41FL.dta,1980,300.832109,8.252212,27.431287263288773,weighted_v005
Lesotho,LSBR61FL.DTA,1980,92.889612,0.0,0.0,weighted_v005
Lesotho,LSBR61FL.DTA,1980,92.889612,0.0,0.0,weighted_v005
Lesotho,LSBR71FL.DTA,1980,0.480801,0.0,0.0,weighted_v005
Lesotho,LSBR71FL.DTA,1980,0.480801,0.0,0.0,weighted_v005
Lesotho,LSBR41FL.dta,1981,257.162681,8.80382,34.23443854981431,weighted_v005
Lesotho,LSBR41FL.dta,1981,257.162681,8.80382,34.23443854981431,weighted_v005
Lesotho,LSBR61FL.DTA,1981,117.182361,6.016094,51.339586851300936,weighted_v005
Lesotho,LSBR61FL.DTA,1981,117.182361,6.016094,51.339586851300936,weighted_v005
Lesotho,LSBR71FL.DTA,1981,6.510071,0.0,0.0,weighted_v005
Lesotho,LSBR71FL.DTA,1981,6.510071,0.0,0.0,weighted_v005
Lesotho,LSBR41FL.dta,1982,326.486889,11.88056,36.38908758752637,weighted_v005
Lesotho,LSBR41FL.dta,1982,326.486889,11.88056,36.38908758752637,weighted_v005
Lesotho,LSBR61FL.DTA,1982,142.783681,0.812794,5.692485263774647,weighted_v005
Lesotho,LSBR61FL.DTA,1982,142.783681,0.812794,5.692485263774647,weighted_v005
Lesotho,LSBR71FL.DTA,1982,4.895322,0.0,0.0,weighted_v005
Lesotho,LSBR71FL.DTA,1982,4.895322,0.0,0.0,weighted_v005
Lesotho,LSBR41FL.dta,1983,391.394173,18.575644,47.46019558139921,weighted_v005
Lesotho,LSBR41FL.dta,1983,391.394173,18.575644,47.46019558139921,weighted_v005
Lesotho,LSBR61FL.DTA,1983,191.917191,2.26052,11.778621749418999,weighted_v005
Lesotho,LSBR61FL.DTA,1983,191.917191,2.26052,11.778621749418999,weighted_v005
