country,source_file,year,weighted_births,weighted_twin_births,twin_rate_per_1000,weight_source
MD,MDBR42FL.DTA,1970,9.324563999999999,0.0,0.0,weighted_v005
MD,MDBR42FL.DTA,1970,9.324563999999999,0.0,0.0,weighted_v005
MD,MDBR42FL.DTA,1971,28.927591,0.0,0.0,weighted_v005
MD,MDBR42FL.DTA,1971,28.927591,0.0,0.0,weighted_v005
MD,MDBR51FL.DTA,1971,1.652038,0.0,0.0,weighted_v005
MD,MDBR51FL.DTA,1971,1.652038,0.0,0.0,weighted_v005
MD,MDBR42FL.DTA,1972,49.218790999999996,0.0,0.0,weighted_v005
MD,MDBR42FL.DTA,1972,49.218790999999996,0.0,0.0,weighted_v005
MD,MDBR51FL.DTA,1972,2.652247,0.0,0.0,weighted_v005
MD,MDBR51FL.DTA,1972,2.652247,0.0,0.0,weighted_v005
MD,MDBR42FL.DTA,1973,81.425119,0.0,0.0,weighted_v005
MD,MDBR42FL.DTA,1973,81.425119,0.0,0.0,weighted_v005
MD,MDBR51FL.DTA,1973,12.255203,0.0,0.0,weighted_v005
MD,MDBR51FL.DTA,1973,12.255203,0.0,0.0,weighted_v005
MD,MDBR42FL.DTA,1974,97.111848,0.817728,8.420476150345733,weighted_v005
MD,MDBR42FL.DTA,1974,97.111848,0.817728,8.420476150345733,weighted_v005
MD,MDBR51FL.DTA,1974,18.586604,0.0,0.0,weighted_v005
MD,MDBR51FL.DTA,1974,18.586604,0.0,0.0,weighted_v005
MD,MDBR42FL.DTA,1975,171.175487,3.428872,20.03132609752704,weighted_v005
MD,MDBR42FL.DTA,1975,171.175487,3.428872,20.03132609752704,weighted_v005
MD,MDBR51FL.DTA,1975,42.490351000000004,0.0,0.0,weighted_v005
MD,MDBR51FL.DTA,1975,42.490351000000004,0.0,0.0,weighted_v005
MD,MDBR42FL.DTA,1976,183.909782,0.0,0.0,weighted_v005
MD,MDBR42FL.DTA,1976,183.909782,0.0,0.0,weighted_v005
MD,MDBR51FL.DTA,1976,76.059436,0.0,0.0,weighted_v005
MD,MDBR51FL.DTA,1976,76.059436,0.0,0.0,weighted_v005
MD,MDBR42FL.DTA,1977,210.756981,5.515148,26.16828146726964,weighted_v005
MD,MDBR42FL.DTA,1977,210.756981,5.515148,26.16828146726964,weighted_v005
MD,MDBR51FL.DTA,1977,87.499098,0.0,0.0,weighted_v005
MD,MDBR51FL.DTA,1977,87.499098,0.0,0.0,weighted_v005
MD,MDBR42FL.DTA,1978,307.67285,5.1697239999999995,16.80266555856326,weighted_v005
MD,MDBR42FL.DTA,1978,307.67285,5.1697239999999995,16.80266555856326,weighted_v005
MD,MDBR51FL.DTA,1978,210.475035,3.901874,18.53841715717021,weighted_v005
MD,MDBR51FL.DTA,1978,210.475035,3.901874,18.53841715717021,weighted_v005
MD,MDBR42FL.DTA,1979,310.193238,7.728077999999999,24.913753922643533,weighted_v005
MD,MDBR42FL.DTA,1979,310.193238,7.728077999999999,24.913753922643533,weighted_v005
MD,MDBR51FL.DTA,1979,212.599691,3.8737759999999994,18.220986031442536,weighted_v005
MD,MDBR51FL.DTA,1979,212.599691,3.8737759999999994,18.220986031442536,weighted_v005
MD,MDBR42FL.DTA,1980,389.41504,6.452112,16.568728316194463,weighted_v005
MD,MDBR42FL.DTA,1980,389.41504,6.452112,16.568728316194463,weighted_v005
MD,MDBR51FL.DTA,1980,353.499958,1.445826,4.090031603341803,weighted_v005
MD,MDBR51FL.DTA,1980,353.499958,1.445826,4.090031603341803,weighted_v005
MD,MDBR42FL.DTA,1981,403.931015,12.536085,31.035212782558922,weighted_v005
MD,MDBR42FL.DTA,1981,403.931015,12.536085,31.035212782558922,weighted_v005
MD,MDBR51FL.DTA,1981,357.814407,8.249682,23.0557569472042,weighted_v005
MD,MDBR51FL.DTA,1981,357.814407,8.249682,23.0557569472042,weighted_v005
MD,MDBR42FL.DTA,1982,404.434231,0.212892,0.526394611736018,weighted_v005
MD,MDBR42FL.DTA,1982,404.434231,0.212892,0.526394611736018,weighted_v005
MD,MDBR51FL.DTA,1982,440.149983,4.137356,9.39987767760518,weighted_v005
MD,MDBR51FL.DTA,1982,440.149983,4.137356,9.39987767760518,weighted_v005
MD,MDBR42FL.DTA,1983,581.598501,3.122014,5.367988388264433,weighted_v005
MD,MDBR42FL.DTA,1983,581.598501,3.122014,5.367988388264433,weighted_v005
MD,MDBR51FL.DTA,1983,556.264838,3.127524,5.622365079275422,weighted_v005
MD,MDBR51FL.DTA,1983,556.264838,3.127524,5.622365079275422,weighted_v005
MD,MDBR42FL.DTA,1984,474.495932,1.142056,2.4068825947279144,weighted_v005
MD,MDBR42FL.DTA,1984,474.495932,1.142056,2.4068825947279144,weighted_v005
MD,MDBR51FL.DTA,1984,599.965046,10.886336,18.14495039766033,weighted_v005
MD,MDBR51FL.DTA,1984,599.965046,10.886336,18.14495039766033,weighted_v005
MD,MDBR42FL.DTA,1985,618.99474,11.712176,18.921285179256934,weighted_v005
MD,MDBR42FL.DTA,1985,618.99474,11.712176,18.921285179256934,weighted_v005
MD,MDBR51FL.DTA,1985,702.568606,9.379134,13.349776690705134,weighted_v005
MD,MDBR51FL.DTA,1985,702.568606,9.379134,13.349776690705134,weighted_v005
MD,MDBR81FL.DTA,1985,4.605276,0.0,0.0,weighted_v005
MD,MDBR81FL.DTA,1985,4.605276,0.0,0.0,weighted_v005
MD,MDBR42FL.DTA,1986,591.369692,18.74076,31.690430290093392,weighted_v005
MD,MDBR42FL.DTA,1986,591.369692,18.74076,31.690430290093392,weighted_v005
MD,MDBR51FL.DTA,1986,825.299406,11.627866000000001,14.089269803739567,weighted_v005
MD,MDBR51FL.DTA,1986,825.299406,11.627866000000001,14.089269803739567,weighted_v005
MD,MDBR81FL.DTA,1986,10.827642,0.0,0.0,weighted_v005
MD,MDBR81FL.DTA,1986,10.827642,0.0,0.0,weighted_v005
MD,MDBR42FL.DTA,1987,639.340879,8.34622,13.054413184175575,weighted_v005
MD,MDBR42FL.DTA,1987,639.340879,8.34622,13.054413184175575,weighted_v005
MD,MDBR51FL.DTA,1987,746.106554,14.42447,19.332989266302572,weighted_v005
MD,MDBR51FL.DTA,1987,746.106554,14.42447,19.332989266302572,weighted_v005
MD,MDBR81FL.DTA,1987,29.420569,0.0,0.0,weighted_v005
MD,MDBR81FL.DTA,1987,29.420569,0.0,0.0,weighted_v005
MD,MDBR42FL.DTA,1988,640.636185,6.439894000000001,10.052341954427693,weighted_v005
MD,MDBR42FL.DTA,1988,640.636185,6.439894000000001,10.052341954427693,weighted_v005
MD,MDBR51FL.DTA,1988,1156.513239,17.794192,15.386068572276843,weighted_v005
MD,MDBR51FL.DTA,1988,1156.513239,17.794192,15.386068572276843,weighted_v005
MD,MDBR81FL.DTA,1988,33.547674,0.0,0.0,weighted_v005
MD,MDBR81FL.DTA,1988,33.547674,0.0,0.0,weighted_v005
MD,MDBR42FL.DTA,1989,808.609311,22.496654,27.821413498415673,weighted_v005
MD,MDBR42FL.DTA,1989,808.609311,22.496654,27.821413498415673,weighted_v005
MD,MDBR51FL.DTA,1989,933.064485,22.855293,24.49486971953498,weighted_v005
MD,MDBR51FL.DTA,1989,933.064485,22.855293,24.49486971953498,weighted_v005
MD,MDBR81FL.DTA,1989,71.604305,1.165126,16.27173114800849,weighted_v005
MD,MDBR81FL.DTA,1989,71.604305,1.165126,16.27173114800849,weighted_v005
MD,MDBR42FL.DTA,1990,904.318355,10.287482,11.375951779724742,weighted_v005
MD,MDBR42FL.DTA,1990,904.318355,10.287482,11.375951779724742,weighted_v005
MD,MDBR51FL.DTA,1990,1494.700999,13.618252,9.111020872476182,weighted_v005
MD,MDBR51FL.DTA,1990,1494.700999,13.618252,9.111020872476182,weighted_v005
MD,MDBR81FL.DTA,1990,143.404355,0.0,0.0,weighted_v005
MD,MDBR81FL.DTA,1990,143.404355,0.0,0.0,weighted_v005
MD,MDBR42FL.DTA,1991,993.080093,13.689580000000001,13.784970715347933,weighted_v005
MD,MDBR42FL.DTA,1991,993.080093,13.689580000000001,13.784970715347933,weighted_v005
MD,MDBR51FL.DTA,1991,1271.794968,15.253428,11.993621915321182,weighted_v005
MD,MDBR51FL.DTA,1991,1271.794968,15.253428,11.993621915321182,weighted_v005
MD,MDBR81FL.DTA,1991,182.038723,0.0,0.0,weighted_v005
MD,MDBR81FL.DTA,1991,182.038723,0.0,0.0,weighted_v005
MD,MDBR42FL.DTA,1992,886.408825,19.996745999999998,22.559281266180985,weighted_v005
MD,MDBR42FL.DTA,1992,886.408825,19.996745999999998,22.559281266180985,weighted_v005
MD,MDBR51FL.DTA,1992,1580.098242,22.216124,14.059963747494631,weighted_v005
MD,MDBR51FL.DTA,1992,1580.098242,22.216124,14.059963747494631,weighted_v005
MD,MDBR81FL.DTA,1992,246.294071,4.230514,17.17667819945207,weighted_v005
MD,MDBR81FL.DTA,1992,246.294071,4.230514,17.17667819945207,weighted_v005
MD,MDBR42FL.DTA,1993,1194.956262,30.75463,25.737034047192598,weighted_v005
MD,MDBR42FL.DTA,1993,1194.956262,30.75463,25.737034047192598,weighted_v005
