country,source_file,year,weighted_births,weighted_twin_births,twin_rate_per_1000,weight_source
Sierra Leone,SLBR51FL.DTA,1970,0.779883,0.0,0.0,weighted_v005
Sierra Leone,SLBR51FL.DTA,1970,0.779883,0.0,0.0,weighted_v005
Sierra Leone,SLBR51FL.DTA,1971,1.8498800000000002,0.0,0.0,weighted_v005
Sierra Leone,SLBR51FL.DTA,1971,1.8498800000000002,0.0,0.0,weighted_v005
Sierra Leone,SLBR51FL.DTA,1972,8.193209,0.0,0.0,weighted_v005
Sierra Leone,SLBR51FL.DTA,1972,8.193209,0.0,0.0,weighted_v005
Sierra Leone,SLBR51FL.DTA,1973,12.69609,0.0,0.0,weighted_v005
Sierra Leone,SLBR51FL.DTA,1973,12.69609,0.0,0.0,weighted_v005
Sierra Leone,SLBR51FL.DTA,1974,18.241606,2.144764,117.57539330692703,weighted_v005
Sierra Leone,SLBR51FL.DTA,1974,18.241606,2.144764,117.57539330692703,weighted_v005
Sierra Leone,SLBR51FL.DTA,1975,32.720344,0.535356,16.361563924878055,weighted_v005
Sierra Leone,SLBR51FL.DTA,1975,32.720344,0.535356,16.361563924878055,weighted_v005
Sierra Leone,SLBR61FL.DTA,1975,1.861813,0.0,0.0,weighted_v005
Sierra Leone,SLBR61FL.DTA,1975,1.861813,0.0,0.0,weighted_v005
Sierra Leone,SLBR51FL.DTA,1976,35.254062,0.0,0.0,weighted_v005
Sierra Leone,SLBR51FL.DTA,1976,35.254062,0.0,0.0,weighted_v005
Sierra Leone,SLBR61FL.DTA,1976,6.20346,0.0,0.0,weighted_v005
Sierra Leone,SLBR61FL.DTA,1976,6.20346,0.0,0.0,weighted_v005
Sierra Leone,SLBR51FL.DTA,1977,65.914866,0.0,0.0,weighted_v005
Sierra Leone,SLBR51FL.DTA,1977,65.914866,0.0,0.0,weighted_v005
Sierra Leone,SLBR61FL.DTA,1977,6.033585,0.0,0.0,weighted_v005
Sierra Leone,SLBR61FL.DTA,1977,6.033585,0.0,0.0,weighted_v005
Sierra Leone,SLBR51FL.DTA,1978,95.120352,3.22219,33.87487464302066,weighted_v005
Sierra Leone,SLBR51FL.DTA,1978,95.120352,3.22219,33.87487464302066,weighted_v005
Sierra Leone,SLBR61FL.DTA,1978,22.414618,0.0,0.0,weighted_v005
Sierra Leone,SLBR61FL.DTA,1978,22.414618,0.0,0.0,weighted_v005
Sierra Leone,SLBR51FL.DTA,1979,96.19108,3.6517880000000003,37.963894365257154,weighted_v005
Sierra Leone,SLBR51FL.DTA,1979,96.19108,3.6517880000000003,37.963894365257154,weighted_v005
Sierra Leone,SLBR61FL.DTA,1979,37.886484,5.007726,132.1771109718178,weighted_v005
Sierra Leone,SLBR61FL.DTA,1979,37.886484,5.007726,132.1771109718178,weighted_v005
Sierra Leone,SLBR51FL.DTA,1980,188.882662,3.7857700000000003,20.04297249897929,weighted_v005
Sierra Leone,SLBR51FL.DTA,1980,188.882662,3.7857700000000003,20.04297249897929,weighted_v005
Sierra Leone,SLBR61FL.DTA,1980,117.560435,2.46387,20.958326668321703,weighted_v005
Sierra Leone,SLBR61FL.DTA,1980,117.560435,2.46387,20.958326668321703,weighted_v005
Sierra Leone,SLBR51FL.DTA,1981,123.106503,5.799716,47.111369900581124,weighted_v005
Sierra Leone,SLBR51FL.DTA,1981,123.106503,5.799716,47.111369900581124,weighted_v005
Sierra Leone,SLBR61FL.DTA,1981,98.23321800000001,0.869678,8.853196685463361,weighted_v005
Sierra Leone,SLBR61FL.DTA,1981,98.23321800000001,0.869678,8.853196685463361,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1981,0.789485,0.0,0.0,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1981,0.789485,0.0,0.0,weighted_v005
Sierra Leone,SLBR51FL.DTA,1982,186.385323,5.031096,26.992983776946854,weighted_v005
Sierra Leone,SLBR51FL.DTA,1982,186.385323,5.031096,26.992983776946854,weighted_v005
Sierra Leone,SLBR61FL.DTA,1982,147.009984,0.0,0.0,weighted_v005
Sierra Leone,SLBR61FL.DTA,1982,147.009984,0.0,0.0,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1982,1.18294,0.0,0.0,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1982,1.18294,0.0,0.0,weighted_v005
Sierra Leone,SLBR51FL.DTA,1983,259.002335,5.217669,20.145258535989644,weighted_v005
Sierra Leone,SLBR51FL.DTA,1983,259.002335,5.217669,20.145258535989644,weighted_v005
Sierra Leone,SLBR61FL.DTA,1983,230.556265,13.781528000000002,59.77511823415426,weighted_v005
Sierra Leone,SLBR61FL.DTA,1983,230.556265,13.781528000000002,59.77511823415426,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1983,10.583061,0.0,0.0,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1983,10.583061,0.0,0.0,weighted_v005
Sierra Leone,SLBR51FL.DTA,1984,238.568005,8.660946,36.30388743872004,weighted_v005
Sierra Leone,SLBR51FL.DTA,1984,238.568005,8.660946,36.30388743872004,weighted_v005
Sierra Leone,SLBR61FL.DTA,1984,268.754931,18.51578,68.89466150855479,weighted_v005
Sierra Leone,SLBR61FL.DTA,1984,268.754931,18.51578,68.89466150855479,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1984,14.861075,0.0,0.0,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1984,14.861075,0.0,0.0,weighted_v005
Sierra Leone,SLBR51FL.DTA,1985,282.038359,12.590632000000001,44.64155884554696,weighted_v005
Sierra Leone,SLBR51FL.DTA,1985,282.038359,12.590632000000001,44.64155884554696,weighted_v005
Sierra Leone,SLBR61FL.DTA,1985,349.386171,4.940848000000001,14.14150991110636,weighted_v005
Sierra Leone,SLBR61FL.DTA,1985,349.386171,4.940848000000001,14.14150991110636,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1985,46.048108,0.0,0.0,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1985,46.048108,0.0,0.0,weighted_v005
Sierra Leone,SLBR51FL.DTA,1986,334.568905,5.101547999999999,15.248123551709027,weighted_v005
Sierra Leone,SLBR51FL.DTA,1986,334.568905,5.101547999999999,15.248123551709027,weighted_v005
Sierra Leone,SLBR61FL.DTA,1986,390.058117,13.234822000000001,33.93038478930051,weighted_v005
Sierra Leone,SLBR61FL.DTA,1986,390.058117,13.234822000000001,33.93038478930051,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1986,59.184283,0.0,0.0,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1986,59.184283,0.0,0.0,weighted_v005
Sierra Leone,SLBR51FL.DTA,1987,359.228826,15.514538,43.188455037848215,weighted_v005
Sierra Leone,SLBR51FL.DTA,1987,359.228826,15.514538,43.188455037848215,weighted_v005
Sierra Leone,SLBR61FL.DTA,1987,419.155187,10.565854000000002,25.207499102235854,weighted_v005
Sierra Leone,SLBR61FL.DTA,1987,419.155187,10.565854000000002,25.207499102235854,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1987,103.953572,2.680792,25.788358672273425,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1987,103.953572,2.680792,25.788358672273425,weighted_v005
Sierra Leone,SLBR51FL.DTA,1988,491.571952,13.265056000000001,26.984973300510852,weighted_v005
Sierra Leone,SLBR51FL.DTA,1988,491.571952,13.265056000000001,26.984973300510852,weighted_v005
Sierra Leone,SLBR61FL.DTA,1988,655.317722,15.124258,23.07927512450213,weighted_v005
Sierra Leone,SLBR61FL.DTA,1988,655.317722,15.124258,23.07927512450213,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1988,148.217127,2.9876500000000004,20.157252137264816,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1988,148.217127,2.9876500000000004,20.157252137264816,weighted_v005
Sierra Leone,SLBR51FL.DTA,1989,386.971867,6.78841,17.542386356473816,weighted_v005
Sierra Leone,SLBR51FL.DTA,1989,386.971867,6.78841,17.542386356473816,weighted_v005
Sierra Leone,SLBR61FL.DTA,1989,545.255255,15.244678,27.958791520496213,weighted_v005
Sierra Leone,SLBR61FL.DTA,1989,545.255255,15.244678,27.958791520496213,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1989,226.716083,6.888782000000001,30.385060948675623,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1989,226.716083,6.888782000000001,30.385060948675623,weighted_v005
Sierra Leone,SLBR51FL.DTA,1990,677.369313,15.334828,22.63879940483811,weighted_v005
Sierra Leone,SLBR51FL.DTA,1990,677.369313,15.334828,22.63879940483811,weighted_v005
Sierra Leone,SLBR61FL.DTA,1990,791.470318,36.169712000000004,45.699391597399114,weighted_v005
Sierra Leone,SLBR61FL.DTA,1990,791.470318,36.169712000000004,45.699391597399114,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1990,235.521757,7.034676,29.868476227442546,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1990,235.521757,7.034676,29.868476227442546,weighted_v005
Sierra Leone,SLBR51FL.DTA,1991,479.303434,16.837578,35.129266359481164,weighted_v005
Sierra Leone,SLBR51FL.DTA,1991,479.303434,16.837578,35.129266359481164,weighted_v005
Sierra Leone,SLBR61FL.DTA,1991,765.739307,15.29364,19.972384674775483,weighted_v005
Sierra Leone,SLBR61FL.DTA,1991,765.739307,15.29364,19.972384674775483,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1991,320.091845,2.72267,8.505902423099846,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1991,320.091845,2.72267,8.505902423099846,weighted_v005
Sierra Leone,SLBR51FL.DTA,1992,586.943621,24.749462,42.166676857026445,weighted_v005
Sierra Leone,SLBR51FL.DTA,1992,586.943621,24.749462,42.166676857026445,weighted_v005
Sierra Leone,SLBR61FL.DTA,1992,847.700909,23.599078,27.83892024822637,weighted_v005
Sierra Leone,SLBR61FL.DTA,1992,847.700909,23.599078,27.83892024822637,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1992,360.084411,3.826142,10.625680765724677,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1992,360.084411,3.826142,10.625680765724677,weighted_v005
Sierra Leone,SLBR51FL.DTA,1993,736.446931,20.065692,27.24662315145149,weighted_v005
Sierra Leone,SLBR51FL.DTA,1993,736.446931,20.065692,27.24662315145149,weighted_v005
Sierra Leone,SLBR61FL.DTA,1993,1165.669113,44.270016,37.9782011089454,weighted_v005
Sierra Leone,SLBR61FL.DTA,1993,1165.669113,44.270016,37.9782011089454,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1993,428.186522,8.470742,19.782831931360974,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1993,428.186522,8.470742,19.782831931360974,weighted_v005
Sierra Leone,SLBR51FL.DTA,1994,890.912937,33.897816000000006,38.048404723075656,weighted_v005
Sierra Leone,SLBR51FL.DTA,1994,890.912937,33.897816000000006,38.048404723075656,weighted_v005
Sierra Leone,SLBR61FL.DTA,1994,1080.621785,30.209556,27.955716254600585,weighted_v005
Sierra Leone,SLBR61FL.DTA,1994,1080.621785,30.209556,27.955716254600585,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1994,612.392508,12.9587,21.160774880021883,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1994,612.392508,12.9587,21.160774880021883,weighted_v005
Sierra Leone,SLBR51FL.DTA,1995,837.142685,22.211922,26.533018084007985,weighted_v005
Sierra Leone,SLBR51FL.DTA,1995,837.142685,22.211922,26.533018084007985,weighted_v005
Sierra Leone,SLBR61FL.DTA,1995,1397.309422,41.862322,29.95923547132569,weighted_v005
Sierra Leone,SLBR61FL.DTA,1995,1397.309422,41.862322,29.95923547132569,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1995,509.235053,9.390677,18.440751367522218,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1995,509.235053,9.390677,18.440751367522218,weighted_v005
Sierra Leone,SLBR51FL.DTA,1996,900.104782,12.590466,13.987778147366846,weighted_v005
Sierra Leone,SLBR51FL.DTA,1996,900.104782,12.590466,13.987778147366846,weighted_v005
Sierra Leone,SLBR61FL.DTA,1996,1294.915644,44.998058,34.7497987289742,weighted_v005
Sierra Leone,SLBR61FL.DTA,1996,1294.915644,44.998058,34.7497987289742,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1996,666.006553,14.017064000000001,21.04643555962129,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1996,666.006553,14.017064000000001,21.04643555962129,weighted_v005
Sierra Leone,SLBR51FL.DTA,1997,835.343511,21.122128,25.28555943975005,weighted_v005
Sierra Leone,SLBR51FL.DTA,1997,835.343511,21.122128,25.28555943975005,weighted_v005
Sierra Leone,SLBR61FL.DTA,1997,1484.853316,38.050422,25.62571103151309,weighted_v005
Sierra Leone,SLBR61FL.DTA,1997,1484.853316,38.050422,25.62571103151309,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1997,699.575269,8.781506,12.552624984231683,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1997,699.575269,8.781506,12.552624984231683,weighted_v005
Sierra Leone,SLBR51FL.DTA,1998,1193.975256,13.748672000000001,11.51503930329357,weighted_v005
Sierra Leone,SLBR51FL.DTA,1998,1193.975256,13.748672000000001,11.51503930329357,weighted_v005
Sierra Leone,SLBR61FL.DTA,1998,1805.780004,57.613792000000004,31.905210973861244,weighted_v005
Sierra Leone,SLBR61FL.DTA,1998,1805.780004,57.613792000000004,31.905210973861244,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1998,753.138368,12.209986,16.212141777379212,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1998,753.138368,12.209986,16.212141777379212,weighted_v005
Sierra Leone,SLBR51FL.DTA,1999,942.646296,29.929478000000003,31.750485974433833,weighted_v005
Sierra Leone,SLBR51FL.DTA,1999,942.646296,29.929478000000003,31.750485974433833,weighted_v005
Sierra Leone,SLBR61FL.DTA,1999,1560.577637,50.980598,32.667774285170026,weighted_v005
Sierra Leone,SLBR61FL.DTA,1999,1560.577637,50.980598,32.667774285170026,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1999,979.936287,26.034556000000002,26.567600715861644,weighted_v005
Sierra Leone,SLBR7AFL.DTA,1999,979.936287,26.034556000000002,26.567600715861644,weighted_v005
Sierra Leone,SLBR51FL.DTA,2000,1452.221009,69.901908,48.13448336499035,weighted_v005
Sierra Leone,SLBR51FL.DTA,2000,1452.221009,69.901908,48.13448336499035,weighted_v005
Sierra Leone,SLBR61FL.DTA,2000,2105.740376,34.930694,16.58831943297458,weighted_v005
Sierra Leone,SLBR61FL.DTA,2000,2105.740376,34.930694,16.58831943297458,weighted_v005
Sierra Leone,SLBR7AFL.DTA,2000,1081.772534,29.272474000000003,27.0597312096297,weighted_v005
Sierra Leone,SLBR7AFL.DTA,2000,1081.772534,29.272474000000003,27.0597312096297,weighted_v005
Sierra Leone,SLBR51FL.DTA,2001,1212.98482,41.87857,34.525221840781164,weighted_v005
Sierra Leone,SLBR51FL.DTA,2001,1212.98482,41.87857,34.525221840781164,weighted_v005
Sierra Leone,SLBR61FL.DTA,2001,1969.641546,49.209407999999996,24.98394091043406,weighted_v005
Sierra Leone,SLBR61FL.DTA,2001,1969.641546,49.209407999999996,24.98394091043406,weighted_v005
Sierra Leone,SLBR7AFL.DTA,2001,1112.787528,23.792459,21.380954046781874,weighted_v005
Sierra Leone,SLBR7AFL.DTA,2001,1112.787528,23.792459,21.380954046781874,weighted_v005
Sierra Leone,SLBR51FL.DTA,2002,1622.529447,61.93709200000001,38.173169747100445,weighted_v005
Sierra Leone,SLBR51FL.DTA,2002,1622.529447,61.93709200000001,38.173169747100445,weighted_v005
Sierra Leone,SLBR61FL.DTA,2002,1685.070105,46.13175,27.37675415587531,weighted_v005
Sierra Leone,SLBR61FL.DTA,2002,1685.070105,46.13175,27.37675415587531,weighted_v005
Sierra Leone,SLBR7AFL.DTA,2002,1106.828187,22.661244,20.474039481612873,weighted_v005
Sierra Leone,SLBR7AFL.DTA,2002,1106.828187,22.661244,20.474039481612873,weighted_v005
