country,source_file,year,weighted_births,weighted_twin_births,twin_rate_per_1000,weight_source
Togo,TGBR61FL.DTA,1976,5.370048,0.0,0.0,weighted_v005
Togo,TGBR61FL.DTA,1976,5.370048,0.0,0.0,weighted_v005
Togo,TGBR61FL.DTA,1977,0.863232,0.0,0.0,weighted_v005
Togo,TGBR61FL.DTA,1977,0.863232,0.0,0.0,weighted_v005
Togo,TGBR61FL.DTA,1978,2.7224,0.0,0.0,weighted_v005
Togo,TGBR61FL.DTA,1978,2.7224,0.0,0.0,weighted_v005
Togo,TGBR61FL.DTA,1979,14.274422,2.422226,169.68995312034352,weighted_v005
Togo,TGBR61FL.DTA,1979,14.274422,2.422226,169.68995312034352,weighted_v005
Togo,TGBR61FL.DTA,1980,24.581798,2.834146,115.29449554503702,weighted_v005
Togo,TGBR61FL.DTA,1980,24.581798,2.834146,115.29449554503702,weighted_v005
Togo,TGBR61FL.DTA,1981,37.043924,0.0,0.0,weighted_v005
Togo,TGBR61FL.DTA,1981,37.043924,0.0,0.0,weighted_v005
Togo,TGBR61FL.DTA,1982,37.35461,0.977806,26.17631398105883,weighted_v005
Togo,TGBR61FL.DTA,1982,37.35461,0.977806,26.17631398105883,weighted_v005
Togo,TGBR61FL.DTA,1983,101.36669,0.0,0.0,weighted_v005
Togo,TGBR61FL.DTA,1983,101.36669,0.0,0.0,weighted_v005
Togo,TGBR61FL.DTA,1984,89.558336,2.779762,31.038562395799758,weighted_v005
Togo,TGBR61FL.DTA,1984,89.558336,2.779762,31.038562395799758,weighted_v005
Togo,TGBR61FL.DTA,1985,146.330278,5.596770000000001,38.247518398072074,weighted_v005
Togo,TGBR61FL.DTA,1985,146.330278,5.596770000000001,38.247518398072074,weighted_v005
Togo,TGBR61FL.DTA,1986,170.344313,1.79235,10.521924497708357,weighted_v005
Togo,TGBR61FL.DTA,1986,170.344313,1.79235,10.521924497708357,weighted_v005
Togo,TGBR61FL.DTA,1987,198.792426,1.02176,5.139833647384534,weighted_v005
Togo,TGBR61FL.DTA,1987,198.792426,1.02176,5.139833647384534,weighted_v005
Togo,TGBR61FL.DTA,1988,340.824191,8.764906,25.716795437211207,weighted_v005
Togo,TGBR61FL.DTA,1988,340.824191,8.764906,25.716795437211207,weighted_v005
Togo,TGBR61FL.DTA,1989,275.920134,3.965186,14.37077440677091,weighted_v005
Togo,TGBR61FL.DTA,1989,275.920134,3.965186,14.37077440677091,weighted_v005
Togo,TGBR61FL.DTA,1990,377.992341,12.514062000000003,33.106654930873326,weighted_v005
Togo,TGBR61FL.DTA,1990,377.992341,12.514062000000003,33.106654930873326,weighted_v005
Togo,TGBR61FL.DTA,1991,369.862856,9.73076,26.30910306927387,weighted_v005
Togo,TGBR61FL.DTA,1991,369.862856,9.73076,26.30910306927387,weighted_v005
Togo,TGBR61FL.DTA,1992,406.750759,11.086006,27.255034575116795,weighted_v005
Togo,TGBR61FL.DTA,1992,406.750759,11.086006,27.255034575116795,weighted_v005
Togo,TGBR61FL.DTA,1993,619.365454,19.500562,31.484742770299874,weighted_v005
Togo,TGBR61FL.DTA,1993,619.365454,19.500562,31.484742770299874,weighted_v005
Togo,TGBR61FL.DTA,1994,466.973785,12.999006,27.8366932310772,weighted_v005
Togo,TGBR61FL.DTA,1994,466.973785,12.999006,27.8366932310772,weighted_v005
Togo,TGBR61FL.DTA,1995,646.986955,28.676023999999998,44.32241450679635,weighted_v005
Togo,TGBR61FL.DTA,1995,646.986955,28.676023999999998,44.32241450679635,weighted_v005
Togo,TGBR61FL.DTA,1996,648.204683,23.614038,36.42990959384969,weighted_v005
Togo,TGBR61FL.DTA,1996,648.204683,23.614038,36.42990959384969,weighted_v005
Togo,TGBR61FL.DTA,1997,647.092963,30.527236000000002,47.17596658519063,weighted_v005
Togo,TGBR61FL.DTA,1997,647.092963,30.527236000000002,47.17596658519063,weighted_v005
Togo,TGBR61FL.DTA,1998,742.997206,30.97208,41.68532499165279,weighted_v005
Togo,TGBR61FL.DTA,1998,742.997206,30.97208,41.68532499165279,weighted_v005
Togo,TGBR61FL.DTA,1999,782.940725,26.747114,34.16237416951328,weighted_v005
Togo,TGBR61FL.DTA,1999,782.940725,26.747114,34.16237416951328,weighted_v005
Togo,TGBR61FL.DTA,2000,1089.600101,47.241018,43.35629003397091,weighted_v005
Togo,TGBR61FL.DTA,2000,1089.600101,47.241018,43.35629003397091,weighted_v005
Togo,TGBR61FL.DTA,2001,1005.217383,46.080782,45.84160876971225,weighted_v005
Togo,TGBR61FL.DTA,2001,1005.217383,46.080782,45.84160876971225,weighted_v005
Togo,TGBR61FL.DTA,2002,853.197677,32.375134,37.94564246100263,weighted_v005
Togo,TGBR61FL.DTA,2002,853.197677,32.375134,37.94564246100263,weighted_v005
Togo,TGBR61FL.DTA,2003,1257.873673,70.006934,55.65497990989434,weighted_v005
Togo,TGBR61FL.DTA,2003,1257.873673,70.006934,55.65497990989434,weighted_v005
Togo,TGBR61FL.DTA,2004,1156.29266,39.017888,33.743955444636306,weighted_v005
Togo,TGBR61FL.DTA,2004,1156.29266,39.017888,33.743955444636306,weighted_v005
Togo,TGBR61FL.DTA,2005,1339.5151,48.947758,36.54140069044388,weighted_v005
Togo,TGBR61FL.DTA,2005,1339.5151,48.947758,36.54140069044388,weighted_v005
Togo,TGBR61FL.DTA,2006,1363.628558,54.930181999999995,40.28236404828946,weighted_v005
Togo,TGBR61FL.DTA,2006,1363.628558,54.930181999999995,40.28236404828946,weighted_v005
Togo,TGBR61FL.DTA,2007,1506.292308,94.20566600000001,62.54142406468427,weighted_v005
Togo,TGBR61FL.DTA,2007,1506.292308,94.20566600000001,62.54142406468427,weighted_v005
Togo,TGBR61FL.DTA,2008,1136.832076,52.724911,46.37880309070379,weighted_v005
Togo,TGBR61FL.DTA,2008,1136.832076,52.724911,46.37880309070379,weighted_v005
Togo,TGBR61FL.DTA,2009,1233.086407,40.101628000000005,32.521344629500895,weighted_v005
Togo,TGBR61FL.DTA,2009,1233.086407,40.101628000000005,32.521344629500895,weighted_v005
Togo,TGBR61FL.DTA,2010,1360.152473,57.000906,41.90773250169284,weighted_v005
Togo,TGBR61FL.DTA,2010,1360.152473,57.000906,41.90773250169284,weighted_v005
Togo,TGBR61FL.DTA,2011,1305.291528,70.011498,53.63667540788636,weighted_v005
Togo,TGBR61FL.DTA,2011,1305.291528,70.011498,53.63667540788636,weighted_v005
Togo,TGBR61FL.DTA,2012,1462.327247,85.940076,58.76938706866618,weighted_v005
Togo,TGBR61FL.DTA,2012,1462.327247,85.940076,58.76938706866618,weighted_v005
Togo,TGBR61FL.DTA,2013,1359.220704,79.62012,58.57777163464985,weighted_v005
Togo,TGBR61FL.DTA,2013,1359.220704,79.62012,58.57777163464985,weighted_v005
Togo,TGBR61FL.DTA,2014,80.622746,6.006674,74.50346580852009,weighted_v005
Togo,TGBR61FL.DTA,2014,80.622746,6.006674,74.50346580852009,weighted_v005
