country,year,month,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR_mm_per_day,PRECTOTCORR_monthly_mm
Central African Republic,1981,1,22.963728950019473,31.97994041353044,14.223692799138904,63.16417689731606,0.2994572633559618,9.283175164034816
Central African Republic,1981,2,24.512108309063734,34.75563099620414,13.724629029022278,58.00738269228051,0.6433723236399675,18.01442506191909
Central African Republic,1981,3,25.62431885214192,34.69943388503652,18.8542433469512,71.15072987364447,4.011043253291775,124.34234085204503
Central African Republic,1981,4,26.221510580245617,35.39027352494869,18.78840443641307,69.48737889241178,2.7331927445490813,81.99578233647244
Central African Republic,1981,5,24.557705925595318,31.1281747474509,19.391463858642677,82.52521935892871,7.157818875352703,221.8923851359338
Central African Republic,1981,6,23.817001147705653,30.228049535044725,18.90297405038878,84.34834121335449,7.639646321323709,229.18938963971127
Central African Republic,1981,7,22.38583973329411,28.418216152884522,18.32722983859711,89.0182792515305,11.281742714471374,349.7340241486126
Central African Republic,1981,8,22.943428866380213,28.632521810789484,18.85574146376275,88.3049171297311,8.665690660979546,268.63641049036596
Central African Republic,1981,9,22.908504895631967,28.486263258009522,18.55323132248027,88.53418351430156,11.775114529862812,353.25343589588437
Central African Republic,1981,10,23.56533722921668,29.155233946183593,19.07306232647912,86.45635726976657,5.914450600999188,183.34796863097483
Central African Republic,1981,11,22.58154184389669,29.335302406289426,15.238379151655122,79.74800571720787,2.3082492208048673,69.24747662414602
Central African Republic,1981,12,23.134565089944157,30.75389095083684,14.980582290204282,73.5527602945521,0.32323470978499047,10.020276003334704
Central African Republic,1982,1,23.127802020752284,31.73790637032018,14.947904658523667,68.48166242680931,1.2460714700171005,38.62821557053012
Central African Republic,1982,2,24.163668051502043,34.15689142242411,13.580954862464269,61.198844281580705,1.2926552205589101,36.194346175649486
Central African Republic,1982,3,25.623749023462405,34.34503986887477,15.421376518457018,66.08321035736313,1.9313896390446768,59.87307881038498
Central African Republic,1982,4,25.79983785876357,34.88653280267258,16.811642278102976,73.25467082045475,3.693483812095955,110.80451436287865
Central African Republic,1982,5,24.687334388421025,31.20589067729481,19.01977293640677,81.90940639169638,9.750921496279066,302.278566384651
Central African Republic,1982,6,23.790246339655802,29.67155530553462,19.15538549242849,84.97392551956605,10.106922847395902,303.20768542187704
Central African Republic,1982,7,22.75924583424194,28.442165119400645,18.532719754783347,88.10798165181005,9.773062945543574,302.96495131185077
Central African Republic,1982,8,22.524878835859592,28.319259486642732,18.293791323743648,89.36542976070776,7.822778307964323,242.50612754689402
Central African Republic,1982,9,23.307354321427116,29.073008243005376,18.829088785546062,86.77935509859394,9.030857738363997,270.9257321509199
Central African Republic,1982,10,22.776872192509796,28.2431609368377,18.410568832122575,88.03074033020242,7.2613161378812165,225.10080027431772
Central African Republic,1982,11,21.88535247858221,29.13364395232297,13.936375147357884,79.80885050394917,1.197341440916248,35.92024322748744
Central African Republic,1982,12,22.04454379009622,30.562040446148174,14.425535782812421,71.99938452937646,0.11935600599714798,3.7000361859115873
Central African Republic,1983,1,20.878846768711043,30.850860322195363,12.425371000384171,61.22208400873255,0.16955142909414372,5.256094301918456
Central African Republic,1983,2,25.23736324151659,34.770491287674325,14.733177455042874,54.741800524114495,0.5423711238658457,15.18639146824368
Central African Republic,1983,3,27.229384694692826,37.78662825245324,16.58531130664488,50.381237585528886,0.7302966746508809,22.639196914177308
Central African Republic,1983,4,26.676446218395792,36.0711406094856,17.454651193114444,65.57396286546341,2.6863706350679593,80.59111905203878
Central African Republic,1983,5,25.746854662459594,33.917870869089,19.83138350349605,76.55097053801961,5.113651509887971,158.5231968065271
