country,year,month,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR_mm_per_day,PRECTOTCORR_monthly_mm
Djibouti,1981,1,21.85,31.38,16.84,72.39000000000001,0.6,18.599999999999998
Djibouti,1981,2,23.0,32.03,16.02,70.18,0.43,12.04
Djibouti,1981,3,24.32,33.79,19.02,73.61,3.83,118.73
Djibouti,1981,4,26.45,36.65,18.65,67.62,1.73,51.9
Djibouti,1981,5,29.55,41.11,21.06,52.38,0.49,15.19
Djibouti,1981,6,32.37,41.58,23.25,33.47,0.08,2.4
Djibouti,1981,7,30.49,40.26,24.53,48.27,1.85,57.35
Djibouti,1981,8,30.66,38.81,24.75,50.08,2.3,71.3
Djibouti,1981,9,30.24,38.95,22.82,50.08,2.03,60.89999999999999
Djibouti,1981,10,25.91,37.41,17.68,63.04,0.85,26.349999999999998
Djibouti,1981,11,23.52,33.94,16.920000000000005,66.26,0.31,9.3
Djibouti,1981,12,21.76,29.82,16.52,71.78,0.53,16.43
Djibouti,1982,1,20.95,28.91,16.73,82.27000000000001,12.45,385.95
Djibouti,1982,2,22.14,29.94,16.63,83.4,1.21,33.879999999999995
Djibouti,1982,3,23.61,34.33,17.31,75.45,1.46,45.26
Djibouti,1982,4,24.66,35.96,19.19,77.89,6.32,189.60000000000002
Djibouti,1982,5,27.16,39.35,19.66,65.56,0.76,23.56
Djibouti,1982,6,32.13,41.64999999999999,22.18,33.72,0.09,2.6999999999999997
Djibouti,1982,7,32.4,41.66,24.790000000000003,32.9,0.54,16.740000000000002
Djibouti,1982,8,31.82,39.97,23.52,39.27,0.83,25.73
Djibouti,1982,9,30.27,39.67,20.55,46.11,1.01,30.3
Djibouti,1982,10,25.24,35.28,18.8,69.08,0.97,30.07
Djibouti,1982,11,24.31,33.31,17.17,68.73,0.59,17.7
Djibouti,1982,12,22.21,32.05,16.44,76.33,4.47,138.57
Djibouti,1983,1,21.37,30.28,14.56,73.96,0.27,8.370000000000001
Djibouti,1983,2,22.77,32.69,16.24,75.94,3.0700000000000003,85.96000000000001
Djibouti,1983,3,24.26,34.07,16.54,72.59,2.78,86.17999999999999
Djibouti,1983,4,25.51,35.58,19.94,76.07,4.58,137.4
Djibouti,1983,5,27.27,37.62,19.81,70.46,2.66,82.46000000000001
Djibouti,1983,6,30.67,39.63,21.53,47.65,0.21,6.3
Djibouti,1983,7,32.07,40.7,24.43,37.23,1.15,35.65
Djibouti,1983,8,30.0,39.57,23.38,54.31,3.69,114.39
Djibouti,1983,9,30.31,38.73,23.53,48.93,1.68,50.4
Djibouti,1983,10,26.2,37.23,17.06,61.67,0.99,30.69
Djibouti,1983,11,23.03,32.52,16.4,67.5,0.1,3.0
Djibouti,1983,12,22.05,31.66,15.42,70.06,0.08,2.48
Djibouti,1984,1,21.66,32.65,15.24,67.9,0.01,0.31
Djibouti,1984,2,21.23,31.42,14.32,67.1,0.0,0.0
Djibouti,1984,3,23.79,35.59,12.54,66.8,2.02,62.62
Djibouti,1984,4,26.47,38.35,18.38,60.46,0.34,10.200000000000001
Djibouti,1984,5,27.86,36.97,19.77,63.18,4.39,136.09
Djibouti,1984,6,30.83,39.27,21.52,39.21,0.21,6.3
Djibouti,1984,7,31.84,41.44,23.98,35.81,1.33,41.230000000000004
Djibouti,1984,8,31.49,40.67,23.86,39.09,1.98,61.38
Djibouti,1984,9,28.2,38.5,20.78,57.36,2.3,69.0
Djibouti,1984,10,25.03,36.92,16.76,60.25,0.03,0.9299999999999999
Djibouti,1984,11,22.84,32.16,17.33,68.85,0.1,3.0
Djibouti,1984,12,21.89,32.29,15.62,72.51,0.98,30.38
Djibouti,1985,1,21.66,30.39,16.12,73.09,0.6,18.599999999999998
Djibouti,1985,2,22.53,33.62,13.59,63.15,0.11,3.08
Djibouti,1985,3,24.72,35.37,17.68,66.72,0.95,29.45
Djibouti,1985,4,26.69,36.93,20.26,63.64,1.22,36.6
Djibouti,1985,5,29.55,42.33,20.83,47.25,0.64,19.84
Djibouti,1985,6,32.16,41.95,22.76,29.85,0.55,16.5
Djibouti,1985,7,31.2,40.19,23.54,38.73,1.2,37.199999999999996
Djibouti,1985,8,31.08,39.75,23.63,42.2,1.76,54.56
Djibouti,1985,9,30.18,38.54,21.99,46.14,1.47,44.1
Djibouti,1985,10,26.99,38.11,18.38,54.57,0.18,5.58
Djibouti,1985,11,23.51,33.2,16.08,66.67,0.05,1.5
Djibouti,1985,12,21.8,32.46,15.48,69.08,0.04,1.24
Djibouti,1986,1,21.16,32.33,15.59,68.73,0.12,3.7199999999999998
Djibouti,1986,2,23.11,33.85,17.31,70.39,1.38,38.64
Djibouti,1986,3,24.36,34.12,17.83,69.02,1.23,38.13
Djibouti,1986,4,25.54,35.3,20.02,72.81,4.39,131.7
Djibouti,1986,5,27.62,38.18,18.52,63.21,1.71,53.01
Djibouti,1986,6,30.17,39.43,22.3,44.11,1.31,39.300000000000004
Djibouti,1986,7,30.94,39.46,23.25,43.05,1.92,59.519999999999996
Djibouti,1986,8,28.34,36.47,21.82,61.36,8.97,278.07
Djibouti,1986,9,26.17,33.55,18.94,72.52,5.34,160.2
Djibouti,1986,10,24.03,33.74,16.34,69.27,0.43,13.33
Djibouti,1986,11,23.27,32.77,15.91,69.45,0.2,6.0
Djibouti,1986,12,21.83,30.5,17.01,73.9,1.37,42.470000000000006
Djibouti,1987,1,21.09,30.84,12.83,69.92,0.05,1.55
Djibouti,1987,2,22.3,32.47,14.82,70.5,1.41,39.48
Djibouti,1987,3,24.59,34.06,17.91,71.05,3.28,101.67999999999999
Djibouti,1987,4,25.1,35.77,18.2,71.76,3.63,108.89999999999999
Djibouti,1987,5,26.56,37.06,17.12,68.13,2.75,85.25
Djibouti,1987,6,30.93,39.79,22.62,44.48,0.73,21.9
Djibouti,1987,7,32.44,41.28,25.38,39.4,0.52,16.12
Djibouti,1987,8,30.66,39.24000000000001,23.96,49.7,2.39,74.09
Djibouti,1987,9,30.61,39.46,21.08,48.07,1.29,38.7
Djibouti,1987,10,26.61,36.49,19.56,63.78,0.66,20.46
Djibouti,1987,11,24.25,34.27,16.52,63.85,0.08,2.4
Djibouti,1987,12,22.84,32.79,15.8,69.66,0.04,1.24
Djibouti,1988,1,22.39,32.39,16.67,71.75,1.12,34.720000000000006
Djibouti,1988,2,23.95,33.63,18.61,71.28,1.35,39.150000000000006
Djibouti,1988,3,24.77,35.39,16.06,63.0,0.61,18.91
Djibouti,1988,4,27.08,37.57,17.1,65.06,0.79,23.700000000000003
Djibouti,1988,5,30.94,41.9,19.05,39.32,0.07,2.1700000000000004
Djibouti,1988,6,33.05,42.2,24.94,36.35,0.23,6.9
Djibouti,1988,7,30.7,41.43,23.18,46.51,2.27,70.37
Djibouti,1988,8,28.66,36.68,23.33,61.81,3.17,98.27
Djibouti,1988,9,28.55,35.6,22.5,62.4,3.64,109.2
Djibouti,1988,10,25.7,35.92,15.94,63.68,0.74,22.94
Djibouti,1988,11,22.45,31.51,15.19,68.61,0.09,2.6999999999999997
Djibouti,1988,12,21.96,32.08,15.23,69.59,0.04,1.24
Djibouti,1989,1,21.77,31.71,15.49,68.32,0.64,19.84
Djibouti,1989,2,22.85,33.38000000000001,16.28,68.56,0.65,18.2
Djibouti,1989,3,24.03,35.59,16.89,69.26,3.22,99.82000000000001
Djibouti,1989,4,23.54,30.7,19.13,83.09,9.0,270.0
Djibouti,1989,5,27.66,39.83,18.51,59.0,0.06,1.8599999999999999
Djibouti,1989,6,31.34,41.42,22.34,37.38,0.12,3.5999999999999996
Djibouti,1989,7,31.0,40.95,24.09,44.43,1.73,53.63
Djibouti,1989,8,30.75,38.82,23.59,46.43,1.31,40.61
Djibouti,1989,9,29.9,38.71,21.87,50.25,1.62,48.6
Djibouti,1989,10,26.81,37.33,18.91,57.39,0.4,12.4
Djibouti,1989,11,23.86,33.72,17.3,66.87,0.23,6.9
Djibouti,1989,12,22.82,32.01,17.82,73.3,0.96,29.759999999999998
Djibouti,1990,1,22.39,32.29,16.8,71.94,0.43,13.33
Djibouti,1990,2,24.36,32.95,17.32,68.85,1.34,37.52
Djibouti,1990,3,24.83,36.7,15.76,65.71,1.36,42.160000000000004
Djibouti,1990,4,26.92,38.11,20.06,63.88,1.12,33.6
Djibouti,1990,5,32.2,42.39,20.56,35.11,0.01,0.31
Djibouti,1990,6,33.52,42.22,24.44,28.06,0.01,0.3
Djibouti,1990,7,31.88,41.5,24.22,39.42,0.86,26.66
Djibouti,1990,8,31.56,39.58,24.07,43.54,2.17,67.27
Djibouti,1990,9,31.53,39.3,22.0,44.16,1.36,40.800000000000004
Djibouti,1990,10,26.62,37.5,17.94,56.27,0.16,4.96
Djibouti,1990,11,23.74,34.44,16.0,66.12,0.03,0.8999999999999999
Djibouti,1990,12,22.18,30.61,13.88,69.07,0.05,1.55
Djibouti,1991,1,22.69,34.04,17.29,70.28,0.34,10.540000000000001
Djibouti,1991,2,23.010000000000005,32.93,17.31,72.02,1.54,43.120000000000005
Djibouti,1991,3,25.14,34.33,18.97,70.5,2.32,71.92
Djibouti,1991,4,27.490000000000002,38.47,19.390000000000004,61.45,0.8,24.0
Djibouti,1991,5,29.39,41.26,21.19,56.48,0.85,26.349999999999998
Djibouti,1991,6,33.35,42.7,24.11,31.07,0.07,2.1
Djibouti,1991,7,30.63,39.17,23.48,46.6,1.81,56.11
Djibouti,1991,8,30.51,39.44,23.89,50.36,2.39,74.09
Djibouti,1991,9,30.64,39.71,21.71,47.18,0.72,21.599999999999998
Djibouti,1991,10,25.58,36.06,17.24,61.45,1.81,56.11
Djibouti,1991,11,22.780000000000005,31.84,15.11,68.42,0.5,15.0
Djibouti,1991,12,22.04,30.86,13.99,74.31,2.12,65.72
Djibouti,1992,1,22.12,31.17,15.69,74.52,0.77,23.87
Djibouti,1992,2,23.07,32.35,16.93,70.4,1.34,38.86
Djibouti,1992,3,24.27,36.88,17.23,69.13,0.7,21.7
Djibouti,1992,4,25.95,36.08,19.15,67.83,1.77,53.1
Djibouti,1992,5,28.83,40.39,21.18,55.64,1.26,39.06
Djibouti,1992,6,30.47,40.06,22.34,46.28,1.92,57.599999999999994
Djibouti,1992,7,31.02,41.18,23.15,42.65,2.14,66.34
Djibouti,1992,8,27.92,36.45,22.3,62.2,3.12,96.72
Djibouti,1992,9,28.74,37.04,20.73,55.48,1.53,45.9
Djibouti,1992,10,26.41,35.94,19.55,60.03,0.3,9.299999999999999
Djibouti,1992,11,23.82,32.73,16.26,68.41,0.12,3.5999999999999996
Djibouti,1992,12,23.54,32.34,17.28,71.84,0.26,8.06
Djibouti,1993,1,22.28,31.57,15.42,72.6,0.55,17.05
Djibouti,1993,2,22.72,34.91,15.7,69.32,0.29,8.12
Djibouti,1993,3,24.45,35.95,15.52,65.71,0.49,15.19
Djibouti,1993,4,25.18,35.82,17.72,69.46,3.06,91.8
Djibouti,1993,5,27.5,38.1,19.9,67.0,4.12,127.72
Djibouti,1993,6,30.74,39.32,22.25,42.96,0.36,10.799999999999999
Djibouti,1993,7,30.06,39.52,23.18,49.71,2.94,91.14
Djibouti,1993,8,30.58,38.86,24.29,47.18,1.1,34.1
Djibouti,1993,9,30.98,38.41,23.86,46.2,1.16,34.8
Djibouti,1993,10,26.65,37.54,19.91,60.89,1.3,40.300000000000004
Djibouti,1993,11,23.84,33.6,17.44,67.19,2.8,84.0
Djibouti,1993,12,21.6,29.32,14.81,74.08,0.04,1.24
Djibouti,1994,1,21.5,33.2,14.15,70.03,0.0,0.0
Djibouti,1994,2,22.82,34.55,14.82,65.14,0.0,0.0
Djibouti,1994,3,24.83,35.3,18.33,66.04,0.91,28.21
Djibouti,1994,4,26.4,36.93,18.51,66.82,2.27,68.1
Djibouti,1994,5,28.15,38.97,19.95,60.68,2.2,68.2
Djibouti,1994,6,32.24,41.43,23.95,33.36,0.51,15.3
Djibouti,1994,7,29.57,40.66,22.63,53.73,5.28,163.68
Djibouti,1994,8,28.0,36.01,20.99,64.79,3.11,96.41
Djibouti,1994,9,27.5,37.95,17.18,64.2,4.05,121.5
Djibouti,1994,10,24.85,34.54,17.96,66.34,0.33,10.23
Djibouti,1994,11,22.57,30.82,15.85,77.55,8.53,255.89999999999998
Djibouti,1994,12,20.68,29.91,13.98,80.09,0.02,0.62
Djibouti,1995,1,20.69,30.16,13.3,74.65,0.06,1.8599999999999999
Djibouti,1995,2,22.75,34.23,16.91,73.16,2.13,59.64
