country,year,month,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR_mm_per_day,PRECTOTCORR_monthly_mm
eSwatini,1981,1,26.130000000000003,38.23,17.6,75.86,6.31,195.60999999999999
eSwatini,1981,2,23.01,30.13,16.16,84.64,5.81,162.67999999999998
eSwatini,1981,3,23.07,36.59,13.08,74.08,2.31,71.61
eSwatini,1981,4,22.68,34.6,13.049999999999999,62.86,0.6100000000000001,18.300000000000004
eSwatini,1981,5,18.71,33.94,10.26,70.0,1.76,54.56
eSwatini,1981,6,16.01,30.44,5.2299999999999995,59.62,0.57,17.099999999999998
eSwatini,1981,7,17.0,30.86,8.12,61.47,0.2,6.2
eSwatini,1981,8,17.88,36.89,8.16,56.24,0.5,15.5
eSwatini,1981,9,19.060000000000002,37.629999999999995,8.16,66.88,2.93,87.9
eSwatini,1981,10,19.87,35.02,10.71,66.04,2.4,74.39999999999999
eSwatini,1981,11,24.68,40.06,14.33,66.89,4.15,124.50000000000001
eSwatini,1981,12,24.44,41.3,14.02,68.81,2.41,74.71000000000001
eSwatini,1982,1,25.12,37.28,15.91,73.12,5.16,159.96
eSwatini,1982,2,24.5,37.03,13.87,75.47,5.21,145.88
eSwatini,1982,3,24.53,35.9,13.61,68.57,1.46,45.26
eSwatini,1982,4,21.21,34.14,9.41,70.96,2.73,81.9
eSwatini,1982,5,19.520000000000003,33.45,11.630000000000003,65.59,0.53,16.43
eSwatini,1982,6,16.48,28.66,6.43,60.6,0.31999999999999995,9.599999999999998
eSwatini,1982,7,17.98,30.26,8.81,59.17,0.78,24.18
eSwatini,1982,8,19.080000000000002,35.64,9.41,61.16,0.13,4.03
eSwatini,1982,9,20.87,33.69,10.28,63.84,0.6,18.0
eSwatini,1982,10,21.850000000000005,38.0,10.56,63.3,2.09,64.78999999999999
eSwatini,1982,11,22.86,41.900000000000006,12.95,65.66,2.51,75.3
eSwatini,1982,12,25.92,42.5,15.68,60.74,2.13,66.03
eSwatini,1983,1,26.35,42.12,18.24,68.08,4.32,133.92000000000002
eSwatini,1983,2,25.83,42.59,16.29,64.97,1.56,43.68
eSwatini,1983,3,24.81,38.72,14.4,68.61,2.62,81.22
eSwatini,1983,4,23.19,34.82,14.64,72.17,2.55,76.5
eSwatini,1983,5,20.28,34.38,9.760000000000002,63.08,1.48,45.88
eSwatini,1983,6,17.67,31.02,7.14,64.87,1.01,30.3
eSwatini,1983,7,17.04,34.11,8.01,59.59,0.2,6.2
eSwatini,1983,8,17.37,34.33,7.06,59.47,1.5,46.5
eSwatini,1983,9,22.29,39.34,11.93,55.84,0.24,7.199999999999999
eSwatini,1983,10,21.71,40.63,10.98,63.63,1.79,55.49
eSwatini,1983,11,22.46,33.41,15.12,81.46,8.58,257.4
