country,year,month,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR_mm_per_day,PRECTOTCORR_monthly_mm
Guinea-Bissau,1981,1,23.905,35.815,15.065000000000001,39.94,0.0,0.0
Guinea-Bissau,1981,2,26.39,38.894999999999996,17.1,40.62499999999999,0.0,0.0
Guinea-Bissau,1981,3,29.445,40.28999999999999,19.465000000000003,39.220000000000006,0.02,0.62
Guinea-Bissau,1981,4,30.224999999999998,41.765,21.179999999999996,43.989999999999995,0.03,0.8999999999999999
Guinea-Bissau,1981,5,29.61,39.9,22.965,55.92,2.25,69.75
Guinea-Bissau,1981,6,28.235,34.68,23.37,73.535,4.38,131.4
Guinea-Bissau,1981,7,26.145000000000003,31.695,23.09,86.34500000000001,15.115,468.565
Guinea-Bissau,1981,8,25.78,30.415,22.264999999999997,88.265,14.549999999999999,451.04999999999995
Guinea-Bissau,1981,9,25.885,30.93,22.275,86.64,9.49,284.7
Guinea-Bissau,1981,10,26.960000000000004,31.3,23.17,82.515,4.25,131.75
Guinea-Bissau,1981,11,25.405,31.78,15.235,75.79999999999998,0.205,6.1499999999999995
Guinea-Bissau,1981,12,22.21,30.860000000000003,14.055,66.585,0.005,0.155
Guinea-Bissau,1982,1,21.815,33.959999999999994,12.43,52.965,0.0,0.0
Guinea-Bissau,1982,2,24.349999999999998,35.405,14.81,45.935,0.0,0.0
Guinea-Bissau,1982,3,27.430000000000003,38.25,16.72,42.669999999999995,0.0,0.0
Guinea-Bissau,1982,4,29.855,40.684999999999995,21.09,44.305,0.09,2.6999999999999997
Guinea-Bissau,1982,5,29.784999999999997,39.52,21.345,48.25,0.5,15.5
Guinea-Bissau,1982,6,28.66,37.70499999999999,23.330000000000002,68.62499999999999,4.915000000000001,147.45000000000002
Guinea-Bissau,1982,7,26.205000000000002,31.465,22.625,84.68,8.82,273.42
Guinea-Bissau,1982,8,25.54,30.145,22.409999999999997,88.685,12.45,385.95
Guinea-Bissau,1982,9,26.220000000000002,30.595,22.94,86.78,9.93,297.9
Guinea-Bissau,1982,10,26.395,31.08,21.32,81.84999999999998,6.26,194.06
Guinea-Bissau,1982,11,24.384999999999998,31.44,16.965,71.02499999999999,0.06,1.7999999999999998
Guinea-Bissau,1982,12,20.669999999999998,29.794999999999998,11.59,64.49,0.0,0.0
