country,year,month,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR_mm_per_day,PRECTOTCORR_monthly_mm
Ivory Coast,1981,1,23.50787244618125,32.96346008169118,13.828530741999414,60.45406925740543,0.10648647377763643,3.301080687106729
Ivory Coast,1981,2,26.92031892390295,35.572289415548234,18.721988940608888,65.34379797237301,1.240828076198669,34.74318613356273
Ivory Coast,1981,3,26.84591148579166,35.47543423716838,20.43307832446426,73.07632749623845,4.285493882260165,132.85031035006512
Ivory Coast,1981,4,27.65716936274026,36.012350155076035,22.053178887574386,75.21112406748881,5.215377522028849,156.46132566086547
Ivory Coast,1981,5,25.670931749187094,31.76563200341862,21.218425865531334,84.67848403940687,7.274708690353454,225.51596940095706
Ivory Coast,1981,6,25.441562802260524,31.361248124548894,20.696349659506247,84.29979003496508,8.109396526704515,243.28189580113545
Ivory Coast,1981,7,23.80448427051125,29.388710084139774,20.015792167950966,88.05302939350325,7.505988949338219,232.6856574294848
Ivory Coast,1981,8,23.610910988386326,29.588477106798535,18.541663562402313,88.05646900013933,7.502230187577178,232.56913581489252
Ivory Coast,1981,9,23.91290098439871,29.3630421969746,19.125487903908706,87.72380046137971,8.14352043442732,244.3056130328196
Ivory Coast,1981,10,24.906786971741965,30.26358647896198,20.456133989672196,86.12041336752966,4.484606763416127,139.02280966589993
Ivory Coast,1981,11,24.56825232098634,30.92481682647867,16.371540926698476,78.79928744816158,1.4724887467777228,44.17466240333168
Ivory Coast,1981,12,24.745530840284868,33.0259048564068,16.68725777724688,71.2102966114046,0.42720740991259176,13.243429707290344
Ivory Coast,1982,1,24.310481546291847,34.55726345298034,13.573937105103711,53.92895722502742,0.2142843078580903,6.642813543600799
Ivory Coast,1982,2,26.450691348912088,35.46773633146228,17.31424900438482,62.285689722974354,3.646412878943496,102.09956061041788
Ivory Coast,1982,3,26.64839830921741,35.91440854056613,18.68233743821828,70.85246663628229,4.796767211001145,148.6997835410355
Ivory Coast,1982,4,26.400017291540323,33.59987105512597,20.95658115620391,80.33303722008147,5.686248149729351,170.58744449188052
Ivory Coast,1982,5,25.645321742925287,31.83938887568002,21.115535345974834,84.12250724115373,7.085317172300436,219.6448323413135
Ivory Coast,1982,6,24.74737266388347,30.693030407899133,20.154041082435793,86.08811860386581,8.546687318724725,256.40061956174173
Ivory Coast,1982,7,23.897695119543496,29.39141286777138,19.430960944906413,86.71026567145562,4.879483721065698,151.26399535303665
Ivory Coast,1982,8,22.99076458149773,28.725582376363835,18.942111217227417,88.35685098620048,7.576748922216004,234.87921658869612
Ivory Coast,1982,9,24.3602998790947,30.821768634014987,19.799521753843695,85.45399226402878,4.001133833836084,120.03401501508252
Ivory Coast,1982,10,24.461462215009664,30.22859677730699,19.991949575001353,85.3511461617531,6.063551459883006,187.97009525637318
Ivory Coast,1982,11,24.561219934732822,31.056904294108012,17.47616911008242,77.19668571208229,1.6327003458326301,48.9810103749789
