country,year,month,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR_mm_per_day,PRECTOTCORR_monthly_mm
Lesotho,1981,1,15.590000000000002,26.095,5.819999999999999,69.135,7.670000000000001,237.77000000000004
Lesotho,1981,2,14.389999999999999,22.755000000000003,6.08,76.545,8.524999999999999,238.69999999999996
Lesotho,1981,3,11.780000000000001,21.01,1.095,73.52499999999999,3.68,114.08
Lesotho,1981,4,10.335,21.479999999999997,-2.3999999999999995,62.13000000000001,1.41,42.3
Lesotho,1981,5,6.225,16.89,-3.9850000000000003,66.22,0.6450000000000001,19.995000000000005
Lesotho,1981,6,2.1599999999999997,13.334999999999999,-7.895,61.71999999999999,0.805,24.150000000000002
Lesotho,1981,7,3.34,15.42,-5.470000000000001,61.1,0.09000000000000001,2.7900000000000005
Lesotho,1981,8,3.29,17.66,-8.495,64.19,2.145,66.495
Lesotho,1981,9,6.74,21.325000000000003,-7.615,52.145,0.45,13.5
Lesotho,1981,10,9.500000000000002,23.27,-2.87,51.825,0.925,28.675
Lesotho,1981,11,14.885000000000002,28.370000000000005,1.2650000000000001,55.04,4.0,120.0
Lesotho,1981,12,14.29,25.449999999999996,1.46,66.425,3.2150000000000003,99.665
Lesotho,1982,1,16.06,26.055,6.8,64.39999999999999,5.164999999999999,160.11499999999998
Lesotho,1982,2,15.855,25.9,5.605,69.94500000000001,5.065,141.82000000000002
Lesotho,1982,3,13.254999999999999,23.115,2.6699999999999995,67.49,3.855,119.505
Lesotho,1982,4,7.305,20.34,-6.92,74.14500000000001,2.1950000000000003,65.85000000000001
Lesotho,1982,5,6.665,17.5,-3.73,57.084999999999994,0.10499999999999998,3.2549999999999994
Lesotho,1982,6,3.875,15.135000000000002,-6.245,53.405,0.67,20.1
Lesotho,1982,7,3.755,16.645,-6.125000000000001,61.615,0.51,15.81
Lesotho,1982,8,5.99,19.065,-6.0249999999999995,47.285,0.075,2.3249999999999997
Lesotho,1982,9,11.014999999999999,23.41,-2.1,54.11,1.195,35.85
Lesotho,1982,10,11.8,24.465,-1.225,61.11000000000001,5.625,174.375
Lesotho,1982,11,12.455,23.365,1.4400000000000002,63.17,4.14,124.19999999999999
Lesotho,1982,12,15.88,28.005,5.5,56.74,1.6849999999999998,52.23499999999999
Lesotho,1983,1,18.215,29.709999999999997,7.555000000000001,57.135000000000005,3.285,101.83500000000001
Lesotho,1983,2,16.135,30.615,4.575,54.599999999999994,2.29,64.12
Lesotho,1983,3,14.485,25.245,3.07,58.97500000000001,3.095,95.94500000000001
Lesotho,1983,4,11.685,24.429999999999996,0.4050000000000001,58.269999999999996,1.6400000000000001,49.2
Lesotho,1983,5,6.445,21.745,-6.07,61.035000000000004,1.005,31.154999999999998
Lesotho,1983,6,4.05,17.65,-6.179999999999999,58.16,0.87,26.1
Lesotho,1983,7,3.3249999999999997,15.554999999999998,-7.16,60.29,1.24,38.44
Lesotho,1983,8,4.9,17.895,-5.3,48.845,0.20500000000000002,6.355
Lesotho,1983,9,10.13,25.94,-3.915,48.529999999999994,0.615,18.45
Lesotho,1983,10,11.875000000000002,25.314999999999998,-2.055,59.475,2.8500000000000005,88.35000000000002
Lesotho,1983,11,13.09,25.06,2.3649999999999998,64.675,5.135,154.04999999999998
Lesotho,1983,12,15.38,27.02,4.220000000000001,66.93,4.555,141.20499999999998
Lesotho,1984,1,15.77,26.105,5.635,67.285,4.585,142.135
Lesotho,1984,2,15.845000000000002,26.549999999999997,2.08,65.86999999999999,4.31,124.99
Lesotho,1984,3,14.065000000000001,25.430000000000003,5.879999999999999,71.24499999999999,4.04,125.24
Lesotho,1984,4,9.8,21.7,-4.08,58.4,1.45,43.5
Lesotho,1984,5,5.305000000000001,16.115,-6.675000000000001,58.885,1.095,33.945
Lesotho,1984,6,3.385,15.929999999999998,-8.790000000000001,56.55500000000001,0.615,18.45
Lesotho,1984,7,3.6799999999999997,15.454999999999998,-4.545,57.205000000000005,0.53,16.43
Lesotho,1984,8,6.2299999999999995,18.49,-4.68,48.725,1.8900000000000001,58.59
Lesotho,1984,9,9.205,24.86,-5.464999999999999,51.305,0.34,10.200000000000001
Lesotho,1984,10,11.96,25.14,-1.995,58.720000000000006,3.4850000000000008,108.03500000000003
Lesotho,1984,11,13.29,26.0,0.185,58.49999999999999,2.8600000000000003,85.80000000000001
Lesotho,1984,12,14.76,28.275000000000002,-1.695,56.065000000000005,2.9349999999999996,90.98499999999999
Lesotho,1985,1,16.555,26.715,7.549999999999999,67.625,3.61,111.91
Lesotho,1985,2,15.17,25.615000000000002,3.8049999999999997,74.125,6.01,168.28
Lesotho,1985,3,12.785,22.99,0.04000000000000002,63.635000000000005,2.5149999999999997,77.96499999999999
Lesotho,1985,4,9.98,22.365,-2.955,57.71,0.87,26.1
Lesotho,1985,5,6.46,18.275,-3.17,53.73,0.095,2.945
Lesotho,1985,6,4.585,16.89,-3.785,51.14,0.27,8.100000000000001
Lesotho,1985,7,3.6249999999999996,17.705000000000002,-8.15,49.464999999999996,0.049999999999999996,1.5499999999999998
Lesotho,1985,8,7.86,19.855,-5.085,38.515,0.024999999999999998,0.7749999999999999
Lesotho,1985,9,10.17,23.384999999999998,-4.984999999999999,47.12499999999999,0.56,16.8
Lesotho,1985,10,13.055,26.97,0.86,59.555,4.6049999999999995,142.755
Lesotho,1985,11,13.815000000000001,25.045000000000005,2.01,64.815,4.340000000000001,130.20000000000002
Lesotho,1985,12,13.669999999999998,22.229999999999997,4.319999999999999,70.7,6.155,190.805
Lesotho,1986,1,14.93,24.419999999999998,4.595,70.895,4.42,137.02
Lesotho,1986,2,13.809999999999997,22.825,1.8099999999999998,69.43499999999999,3.575,100.10000000000001
Lesotho,1986,3,12.879999999999999,23.180000000000003,-1.4849999999999999,69.95,3.555,110.205
Lesotho,1986,4,11.08,21.355,3.455,70.075,2.9499999999999997,88.49999999999999
Lesotho,1986,5,7.5,18.65,-5.085,52.495000000000005,0.005,0.155
Lesotho,1986,6,3.175,16.29,-4.99,64.5,1.585,47.55
Lesotho,1986,7,3.8150000000000004,16.015,-5.660000000000001,56.625,0.22000000000000003,6.820000000000001
Lesotho,1986,8,6.28,19.445,-3.71,50.754999999999995,3.9450000000000003,122.29500000000002
Lesotho,1986,9,8.065000000000001,19.03,-4.535,63.01,3.71,111.3
Lesotho,1986,10,10.26,22.56,-2.085,72.94,5.79,179.49
Lesotho,1986,11,11.68,20.79,-0.4749999999999999,73.23,4.99,149.70000000000002
Lesotho,1986,12,14.285000000000002,23.11,3.2800000000000002,72.615,6.3149999999999995,195.765
Lesotho,1987,1,15.32,25.275,5.52,68.985,3.815,118.265
Lesotho,1987,2,15.975,25.355,7.12,73.815,8.174999999999999,228.89999999999998
Lesotho,1987,3,12.815000000000001,21.845000000000002,4.2,73.37,5.04,156.24
Lesotho,1987,4,10.659999999999998,21.035,-2.505,74.885,1.84,55.2
Lesotho,1987,5,7.380000000000001,18.505,-1.62,60.040000000000006,0.485,15.035
