country,year,month,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR_mm_per_day,PRECTOTCORR_monthly_mm
Rwanda,1981,1,21.7,31.26,13.79,64.15,1.3199999999999998,40.919999999999995
Rwanda,1981,2,21.69,31.21,13.85,64.04,1.2400000000000002,34.720000000000006
Rwanda,1981,3,20.05,30.98,14.49,78.27,12.73,394.63
Rwanda,1981,4,19.03,25.83,13.87,84.88,8.73,261.90000000000003
Rwanda,1981,5,18.27,24.13,12.85,87.43,6.87,212.97
Rwanda,1981,6,17.51,24.69,9.86,77.49,0.64,19.2
Rwanda,1981,7,17.43,24.95,9.44,70.32,0.15,4.6499999999999995
Rwanda,1981,8,19.23,27.49,11.12,69.78,1.35,41.85
Rwanda,1981,9,19.49,27.520000000000003,11.85,70.82,3.14,94.2
Rwanda,1981,10,19.39,27.33,12.51,76.51,4.61,142.91
Rwanda,1981,11,19.07,26.34,11.99,78.25,2.46,73.8
Rwanda,1981,12,19.28,27.28,12.61,79.79,4.22,130.82
Rwanda,1982,1,19.62,28.06,13.32,78.41,3.17,98.27
Rwanda,1982,2,20.16,29.94,12.95,74.05,2.49,69.72
Rwanda,1982,3,20.64,30.74,13.91,72.23,2.27,70.37
Rwanda,1982,4,19.28,26.03,14.32,82.76,7.33,219.9
Rwanda,1982,5,18.63,25.69,13.59,85.13,6.11,189.41
Rwanda,1982,6,18.21,24.98,10.75,77.18,1.34,40.2
Rwanda,1982,7,18.33,26.96,9.24,69.99,0.6200000000000001,19.220000000000002
Rwanda,1982,8,19.65,28.04,11.92,66.4,1.42,44.019999999999996
Rwanda,1982,9,19.79,27.93,13.29,71.18,2.2,66.0
Rwanda,1982,10,19.06,25.73,12.41,77.78,7.11,220.41
Rwanda,1982,11,18.92,25.99,13.74,82.79,5.34,160.2
Rwanda,1982,12,19.23,26.77,12.74,81.78,4.39,136.09
Rwanda,1983,1,20.01,27.59,13.67,77.66,0.93,28.830000000000002
Rwanda,1983,2,21.14,30.67,14.74,73.03,1.19,33.32
Rwanda,1983,3,21.28,29.69,15.33,73.35,3.26,101.05999999999999
Rwanda,1983,4,19.76,27.1,14.13,80.5,5.65,169.5
Rwanda,1983,5,18.9,25.5,13.120000000000001,81.22,3.42,106.02
Rwanda,1983,6,19.13,26.66,11.58,71.35,0.71,21.299999999999997
Rwanda,1983,7,19.21,27.61,10.46,66.46,1.59,49.29
Rwanda,1983,8,20.53,28.99,11.81,64.05,0.5800000000000001,17.980000000000004
Rwanda,1983,9,21.26,30.84,11.39,57.61,0.35000000000000003,10.500000000000002
Rwanda,1983,10,20.05,28.54,13.89,71.94,2.98,92.38
Rwanda,1983,11,19.89,29.59,13.36,71.25,1.45,43.5
Rwanda,1983,12,19.41,28.18,13.75,74.21,2.57,79.67
Rwanda,1984,1,20.03,29.34,12.9,70.34,1.94,60.14
Rwanda,1984,2,21.58,31.65,13.41,63.23,1.34,38.86
Rwanda,1984,3,20.84,30.85,13.34,66.75,1.78,55.18
Rwanda,1984,4,19.63,28.57,13.43,78.48,6.75,202.5
Rwanda,1984,5,18.79,26.4,10.35,75.62,1.28,39.68
Rwanda,1984,6,19.11,27.63,9.67,66.57,0.37000000000000005,11.100000000000001
Rwanda,1984,7,19.43,27.98,10.63,63.29,0.92,28.52
Rwanda,1984,8,20.5,29.0,10.02,60.52,0.8600000000000001,26.660000000000004
Rwanda,1984,9,21.15,30.63,12.45,56.2,0.7400000000000001,22.200000000000003
Rwanda,1984,10,20.01,30.080000000000002,13.46,68.88,3.25,100.75
Rwanda,1984,11,18.67,26.73,13.29,80.03,5.98,179.4
Rwanda,1984,12,19.52,28.57,12.04,72.95,1.87,57.970000000000006
Rwanda,1985,1,20.35,30.19,13.55,68.47,2.39,74.09
Rwanda,1985,2,19.35,27.8,12.45,76.02,5.57,155.96
Rwanda,1985,3,19.7,28.39,13.69,76.8,4.25,131.75
Rwanda,1985,4,18.7,25.63,13.82,85.26,6.49,194.70000000000002
Rwanda,1985,5,17.78,24.02,11.52,84.02,3.3,102.3
Rwanda,1985,6,17.37,25.96,10.27,73.06,0.07,2.1
Rwanda,1985,7,17.72,26.96,9.29,64.36,0.09,2.79
Rwanda,1985,8,19.37,28.53,9.29,56.19,0.14,4.340000000000001
Rwanda,1985,9,20.27,28.81,12.479999999999999,65.1,2.02,60.6
Rwanda,1985,10,19.6,29.1,13.120000000000001,71.08,2.39,74.09
Rwanda,1985,11,18.88,26.81,12.53,76.33,4.47,134.1
Rwanda,1985,12,19.69,29.54,13.14,74.53,1.23,38.13
Rwanda,1986,1,20.1,29.34,13.62,71.68,2.28,70.67999999999999
Rwanda,1986,2,20.23,29.97,13.38,70.26,3.53,98.83999999999999
Rwanda,1986,3,19.44,28.11,12.71,75.54,3.48,107.88
Rwanda,1986,4,18.91,25.9,13.68,84.56,8.65,259.5
Rwanda,1986,5,18.4,24.74,11.91,83.19,2.91,90.21000000000001
Rwanda,1986,6,17.58,25.54,9.280000000000001,72.53,0.48,14.399999999999999
Rwanda,1986,7,17.87,26.92,7.28,61.71,0.01,0.31
Rwanda,1986,8,20.21,29.77,11.41,53.37,0.17,5.2700000000000005
Rwanda,1986,9,20.44,29.17,12.19,61.9,1.94,58.199999999999996
Rwanda,1986,10,19.75,29.67,13.42,73.66,6.41,198.71
Rwanda,1986,11,18.82,26.17,13.22,79.63,5.06,151.79999999999998
Rwanda,1986,12,18.59,27.48,12.47,81.73,3.51,108.80999999999999
Rwanda,1987,1,19.41,26.88,13.44,79.12,4.48,138.88000000000002
Rwanda,1987,2,19.87,27.96,13.1,78.46,3.72,104.16000000000001
Rwanda,1987,3,19.68,27.23,13.55,80.09,4.59,142.29
Rwanda,1987,4,19.31,26.81,13.51,83.38,6.18,185.39999999999998
Rwanda,1987,5,18.31,24.45,11.72,85.25,4.94,153.14000000000001
Rwanda,1987,6,17.39,25.37,9.45,76.58,1.9600000000000002,58.800000000000004
Rwanda,1987,7,18.25,25.93,10.04,70.77,1.9600000000000002,60.760000000000005
Rwanda,1987,8,19.62,28.59,10.66,67.11,0.5,15.5
Rwanda,1987,9,20.64,28.78,12.68,68.96,1.41,42.3
Rwanda,1987,10,20.55,29.06,12.44,70.83,1.69,52.39
Rwanda,1987,11,19.57,29.78,14.03,78.41,5.57,167.10000000000002
Rwanda,1987,12,20.36,30.53,13.7,72.75,0.97,30.07
Rwanda,1988,1,20.3,29.63,13.22,73.53,2.33,72.23
Rwanda,1988,2,21.15,29.38,13.79,71.84,3.52,102.08
Rwanda,1988,3,20.44,31.22,13.56,77.1,5.81,180.10999999999999
Rwanda,1988,4,19.72,27.77,14.19,82.49,5.93,177.89999999999998
Rwanda,1988,5,18.7,25.45,11.32,81.38,3.9,120.89999999999999
Rwanda,1988,6,18.93,26.89,9.89,70.52,0.16,4.8
Rwanda,1988,7,19.4,27.86,10.12,63.06,0.23,7.13
Rwanda,1988,8,20.7,29.58,12.93,60.58,0.95,29.45
Rwanda,1988,9,21.18,30.41,12.45,61.0,1.4000000000000001,42.00000000000001
Rwanda,1988,10,20.38,28.94,14.01,70.61,4.14,128.34
Rwanda,1988,11,19.19,27.19,12.93,76.68,5.08,152.4
Rwanda,1988,12,18.72,27.1,12.73,77.82,4.16,128.96
Rwanda,1989,1,19.38,27.95,12.6,73.91,2.49,77.19000000000001
Rwanda,1989,2,20.15,31.25,12.78,70.05,1.71,47.879999999999995
Rwanda,1989,3,20.18,30.36,13.89,73.58,3.65,113.14999999999999
Rwanda,1989,4,18.95,27.32,11.73,81.48,6.03,180.9
Rwanda,1989,5,18.21,24.9,12.05,83.23,4.25,131.75
Rwanda,1989,6,17.81,26.12,9.59,72.12,0.52,15.600000000000001
Rwanda,1989,7,18.32,27.91,9.06,63.98,0.17,5.2700000000000005
Rwanda,1989,8,20.26,30.33,10.45,57.2,0.6599999999999999,20.459999999999997
Rwanda,1989,9,20.45,30.71,11.14,64.96,2.13,63.9
Rwanda,1989,10,20.21,29.58,14.23,69.05,3.66,113.46000000000001
Rwanda,1989,11,20.11,29.66,14.21,72.82,3.25,97.5
Rwanda,1989,12,19.23,27.18,13.38,80.52,5.78,179.18
Rwanda,1990,1,19.65,29.13,11.29,72.3,2.4,74.39999999999999
Rwanda,1990,2,20.06,29.29,14.0,76.76,4.04,113.12
Rwanda,1990,3,19.46,26.37,14.34,81.29,6.66,206.46
Rwanda,1990,4,19.47,26.31,13.97,83.0,6.62,198.6
Rwanda,1990,5,18.57,25.35,12.12,82.87,3.78,117.17999999999999
Rwanda,1990,6,18.27,26.98,10.52,71.07,0.07,2.1
Rwanda,1990,7,18.31,28.13,8.6,60.87,0.03,0.9299999999999999
Rwanda,1990,8,20.25,29.42,11.04,59.72,0.34,10.540000000000001
Rwanda,1990,9,20.68,29.77,12.89,63.85,2.29,68.7
Rwanda,1990,10,20.2,29.84,13.48,69.37,3.45,106.95
Rwanda,1990,11,19.81,27.37,13.46,75.24,3.81,114.3
Rwanda,1990,12,18.93,27.42,12.59,78.31,5.33,165.23
Rwanda,1991,1,20.54,29.59,12.34,71.02,1.87,57.970000000000006
Rwanda,1991,2,21.06,30.91,14.22,70.26,3.34,93.52
Rwanda,1991,3,20.96,30.23,13.58,71.82,4.19,129.89000000000001
Rwanda,1991,4,19.25,26.68,13.69,81.79,7.17,215.1
Rwanda,1991,5,18.84,24.98,13.75,84.57,5.21,161.51
Rwanda,1991,6,19.02,26.12,12.09,71.77,1.02,30.6
Rwanda,1991,7,18.65,26.53,9.55,65.28,0.4,12.4
Rwanda,1991,8,20.48,30.09,11.01,56.71,0.2,6.2
Rwanda,1991,9,21.54,30.83,13.9,56.1,0.38999999999999996,11.7
