country,year,month,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR_mm_per_day,PRECTOTCORR_monthly_mm
Sierra Leone,1981,1,23.10472933221025,32.82148910195828,13.479073511502264,58.58401773470643,0.010022573738651706,0.31069978589820285
Sierra Leone,1981,2,26.640426271225603,36.40822013765012,19.29219144198387,64.60180638269591,0.4168854650168535,11.672793020471897
Sierra Leone,1981,3,28.310553356481094,38.12626716031513,20.2600467699936,61.0003639298814,0.5852739312700143,18.143491869370443
Sierra Leone,1981,4,28.652306683427536,38.18587404228916,22.202447135697955,67.30833808827553,2.7107271790252043,81.32181537075613
Sierra Leone,1981,5,26.67013899657247,35.81313702576109,21.44411412207527,78.71440773024665,7.403337376429326,229.5034586693091
Sierra Leone,1981,6,25.418699421250626,31.731910086045463,21.46294696299659,87.37467094066302,13.55067197617379,406.5201592852137
Sierra Leone,1981,7,23.563838667602155,29.391847675599728,19.725337174013635,91.86442559298335,21.53597180279339,667.6151258865951
Sierra Leone,1981,8,23.62887798022238,29.545085733521567,20.06100974995568,91.82268343619295,17.525623507681196,543.2943287381171
Sierra Leone,1981,9,23.742176143344686,29.371066476010192,20.204653619262636,91.09928212611479,19.129552578925644,573.8865773677693
Sierra Leone,1981,10,24.6502396878172,29.962770577251913,20.273216324657316,88.41666050059932,8.696238141679723,269.5833823920714
Sierra Leone,1981,11,24.258299511330804,30.174846037528113,15.73690482553096,81.92752652573114,4.1051945312667115,123.15583593800135
Sierra Leone,1981,12,23.359915856289746,31.63429095104127,15.477607907614415,72.76162542095958,0.46560770978519256,14.43383900334097
Sierra Leone,1982,1,23.451858804874536,33.32995566118878,13.134311676116369,59.898929670212624,0.024930247846582355,0.772837683244053
Sierra Leone,1982,2,26.237059870976726,35.43495035041855,17.356993540048737,63.55814117009793,1.2819669616688922,35.89507492672898
Sierra Leone,1982,3,27.180421959571618,36.52427542715177,17.95420067154222,62.555118622186015,3.0297323192875396,93.92170189791372
Sierra Leone,1982,4,27.62003262911276,35.52917396204112,21.98942585093866,70.73557856461703,2.922271491114206,87.66814473342617
Sierra Leone,1982,5,25.841692955614416,33.89556510187666,20.904745421067844,83.3876557248848,14.143899396202691,438.4608812822834
Sierra Leone,1982,6,24.84524324195776,30.326899423623786,20.567843966506594,89.43290036710064,18.634902579213545,559.0470773764064
