country,year,month,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR_mm_per_day,PRECTOTCORR_monthly_mm
São Tomé and Principe,1981,1,26.05,27.43,24.84,81.08,4.84,150.04
São Tomé and Principe,1981,2,26.69,27.92,25.03,79.26,1.93,54.04
São Tomé and Principe,1981,3,27.17,28.14,25.69,80.48,4.87,150.97
São Tomé and Principe,1981,4,27.58,28.74,26.31,80.39,4.07,122.10000000000001
São Tomé and Principe,1981,5,26.44,27.56,25.64,82.77,2.47,76.57000000000001
São Tomé and Principe,1981,6,25.55,26.89,23.29,81.47,0.55,16.5
São Tomé and Principe,1981,7,24.19,25.8,22.74,77.85,1.65,51.15
São Tomé and Principe,1981,8,24.31,25.7,22.98,77.38,0.44,13.64
São Tomé and Principe,1981,9,25.32,26.73,23.96,76.84,1.35,40.5
São Tomé and Principe,1981,10,26.06,26.97,25.19,80.8,4.59,142.29
São Tomé and Principe,1981,11,26.06,27.09,25.0,83.33,4.9,147.0
São Tomé and Principe,1981,12,26.45,27.58,25.11,81.57,2.52,78.12
São Tomé and Principe,1982,1,26.43,27.72,25.27,82.52,3.6,111.60000000000001
São Tomé and Principe,1982,2,26.79,29.23,25.29,79.45,4.92,137.76
São Tomé and Principe,1982,3,26.73,27.82,24.99,82.11,6.02,186.61999999999998
São Tomé and Principe,1982,4,26.7,28.47,24.92,82.44,3.07,92.1
São Tomé and Principe,1982,5,25.98,27.41,24.49,82.85,2.39,74.09
São Tomé and Principe,1982,6,23.93,25.97,22.4,83.0,0.61,18.3
São Tomé and Principe,1982,7,23.42,24.72,21.77,81.31,1.07,33.17
São Tomé and Principe,1982,8,23.94,25.38,22.48,77.52,0.92,28.52
São Tomé and Principe,1982,9,24.6,26.39,23.45,78.46,1.53,45.9
São Tomé and Principe,1982,10,25.21,26.46,24.12,80.67,3.71,115.01
São Tomé and Principe,1982,11,25.65,26.82,24.63,81.28,3.99,119.7
São Tomé and Principe,1982,12,26.22,27.61,24.53,82.38,3.4,105.39999999999999
São Tomé and Principe,1983,1,26.89,28.46,25.48,76.87,1.36,42.160000000000004
São Tomé and Principe,1983,2,27.93,29.67,26.74,77.04,2.7,75.60000000000001
São Tomé and Principe,1983,3,28.03,29.41,26.15,77.59,3.94,122.14
São Tomé and Principe,1983,4,27.49,28.44,26.03,81.12,3.39,101.7
São Tomé and Principe,1983,5,26.56,28.16,23.84,82.17,2.24,69.44000000000001
São Tomé and Principe,1983,6,24.41,26.42,22.68,81.3,1.39,41.699999999999996
São Tomé and Principe,1983,7,23.74,25.3,22.35,79.29,1.52,47.12
São Tomé and Principe,1983,8,23.32,24.29,21.77,76.25,0.89,27.59
São Tomé and Principe,1983,9,24.54,25.82,23.17,78.15,1.29,38.7
São Tomé and Principe,1983,10,25.45,26.64,24.24,80.79,2.26,70.05999999999999
São Tomé and Principe,1983,11,25.8,26.95,24.75,81.79,3.46,103.8
São Tomé and Principe,1983,12,25.86,26.98,24.78,81.87,3.96,122.76
São Tomé and Principe,1984,1,26.35,27.96,24.4,77.9,2.62,81.22
São Tomé and Principe,1984,2,26.82,28.4,25.59,78.31,2.67,77.42999999999999
São Tomé and Principe,1984,3,27.05,28.86,25.53,79.0,3.86,119.66
São Tomé and Principe,1984,4,26.51,27.86,25.05,82.08,5.51,165.29999999999998
São Tomé and Principe,1984,5,26.34,27.52,24.8,82.2,5.3,164.29999999999998
São Tomé and Principe,1984,6,25.85,26.59,24.93,81.95,3.66,109.80000000000001
São Tomé and Principe,1984,7,25.42,26.45,24.3,78.89,1.33,41.230000000000004
São Tomé and Principe,1984,8,25.37,26.4,23.94,78.97,0.7500000000000001,23.250000000000004
São Tomé and Principe,1984,9,25.55,27.06,24.58,80.3,1.94,58.199999999999996
São Tomé and Principe,1984,10,25.81,26.74,24.69,81.15,3.49,108.19000000000001
São Tomé and Principe,1984,11,25.74,27.19,24.36,82.35,4.9,147.0
São Tomé and Principe,1984,12,26.45,27.78,25.05,79.32,2.69,83.39
São Tomé and Principe,1985,1,26.16,27.59,24.79,80.99,3.02,93.62
São Tomé and Principe,1985,2,26.94,28.27,25.81,77.07,2.54,71.12
São Tomé and Principe,1985,3,26.7,27.96,25.4,81.72,6.11,189.41
São Tomé and Principe,1985,4,26.97,28.22,25.62,80.03,4.19,125.70000000000002
São Tomé and Principe,1985,5,26.23,27.84,23.86,83.33,5.46,169.26
São Tomé and Principe,1985,6,24.73,25.81,23.84,81.75,0.52,15.600000000000001
São Tomé and Principe,1985,7,24.14,25.32,22.79,79.22,0.91,28.21
São Tomé and Principe,1985,8,24.85,26.32,23.66,78.23,0.77,23.87
São Tomé and Principe,1985,9,25.09,26.58,23.65,78.58,1.52,45.6
São Tomé and Principe,1985,10,25.81,27.41,24.58,80.66,4.03,124.93
São Tomé and Principe,1985,11,26.2,27.66,24.54,81.57,3.62,108.60000000000001
São Tomé and Principe,1985,12,26.16,27.62,24.88,82.88,4.24,131.44
São Tomé and Principe,1986,1,26.12,27.71,24.37,81.16,2.86,88.66
São Tomé and Principe,1986,2,26.75,28.27,25.01,76.96,4.13,115.64
São Tomé and Principe,1986,3,26.56,28.33,24.62,79.77,7.32,226.92000000000002
São Tomé and Principe,1986,4,27.09,28.57,25.74,81.35,4.91,147.3
São Tomé and Principe,1986,5,26.42,28.03,25.11,82.6,3.0000000000000004,93.00000000000001
São Tomé and Principe,1986,6,24.75,26.47,23.06,81.59,0.87,26.1
São Tomé and Principe,1986,7,23.75,25.45,22.41,78.55,0.72,22.32
São Tomé and Principe,1986,8,23.84,25.42,22.23,79.03,0.56,17.360000000000003
São Tomé and Principe,1986,9,24.76,26.3,23.03,76.26,0.82,24.599999999999998
São Tomé and Principe,1986,10,25.08,26.27,23.89,78.42,1.77,54.87
São Tomé and Principe,1986,11,25.81,27.18,24.27,82.08,2.61,78.3
São Tomé and Principe,1986,12,25.84,27.32,24.82,82.24,4.53,140.43
São Tomé and Principe,1987,1,26.61,28.02,25.4,78.23,1.88,58.279999999999994
São Tomé and Principe,1987,2,27.01,28.32,25.37,80.41,2.78,77.83999999999999
São Tomé and Principe,1987,3,27.36,28.56,26.32,79.49,5.67,175.77
São Tomé and Principe,1987,4,27.27,28.38,25.92,80.9,4.74,142.20000000000002
