country,year,month,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR_mm_per_day,PRECTOTCORR_monthly_mm
Western Sahara,1981,1,14.697297822964764,29.171500517449452,3.3677521477901062,33.83637215380472,0.17078395901248802,5.2943027293871285
Western Sahara,1981,2,15.684440771096595,30.946336050910226,4.716922525952323,42.68705601157243,0.7332114859748649,20.529921607296217
Western Sahara,1981,3,21.351211451930432,35.44277924821092,9.021995353771427,37.19248860514561,0.028587362212965362,0.8862082286019263
Western Sahara,1981,4,20.439232547985334,34.03519798803343,9.932604622251192,41.851081619088156,0.16583182795085827,4.974954838525748
Western Sahara,1981,5,24.488683247193848,38.04523048717448,10.943303183062914,36.296482961615816,0.04942725230911564,1.5322448215825848
Western Sahara,1981,6,28.5112266635506,43.58994801451341,15.742417733167683,35.00848554161173,0.061865864854694363,1.855975945640831
Western Sahara,1981,7,31.197129569888602,45.56428501756937,16.501315241381242,30.74076398743343,0.09447119098774605,2.9286069206201275
Western Sahara,1981,8,30.7706529477603,45.804034280365336,16.25975212778447,30.10731893896414,0.13373327694760956,4.145731585375897
Western Sahara,1981,9,28.989997870315435,43.54594167369871,14.79512703897545,33.59200046950761,0.29484198333721806,8.845259500116542
Western Sahara,1981,10,25.73868498045429,39.10091614506667,15.298769779589644,39.174898357487514,0.2333100698428501,7.232612165128353
Western Sahara,1981,11,21.467106250713524,34.63315450581701,9.232550778227852,29.275893915374233,0.10731657315717062,3.2194971947151187
Western Sahara,1981,12,17.276400102271698,30.00811833551211,8.537472023867279,45.46493699367388,0.024715731358594586,0.7661876721164321
Western Sahara,1982,1,15.582351666182742,28.165886453581788,6.169646738956614,43.53350493270251,0.34889710761458825,10.815810336052236
Western Sahara,1982,2,16.84662117393754,30.414255571072502,6.212965013800343,43.04039271153283,0.2524611061960748,7.068910973490095
Western Sahara,1982,3,20.61112143976199,34.02701187626429,10.222189412651108,36.85715903538142,0.20842570180103592,6.4611967558321135
Western Sahara,1982,4,21.25993624320789,35.758400481141614,10.245111259594891,41.60033438826779,0.21503976392908578,6.451192917872573
Western Sahara,1982,5,25.19152440478054,41.549095244648115,11.423493116970418,35.84523025594803,0.10457890567910275,3.241946076052185
Western Sahara,1982,6,26.708791392784715,43.0283805662005,14.029480344878664,37.288505415982165,0.016758736518971744,0.5027620955691523
Western Sahara,1982,7,31.34921839988333,46.10687510091003,16.000798937528486,28.02511644533411,0.026900681532878244,0.8339211275192255
Western Sahara,1982,8,30.19326374328585,45.398267889701664,16.863464736415867,32.34344659270907,0.022623010307339715,0.7013133195275312
Western Sahara,1982,9,27.65137713894815,40.68574775051672,15.69450058697598,36.90302808948859,0.04877597812259491,1.4632793436778473
Western Sahara,1982,10,23.025909180709885,38.37230770542351,12.745412425616609,42.127549244162594,0.2022103082389653,6.2685195554079245
Western Sahara,1982,11,19.263880580096977,31.061743218366235,10.023040139688197,34.58590369379029,0.019637952267414813,0.5891385680224444
Western Sahara,1982,12,14.046490708563777,25.714088393926108,4.226497780875307,42.16958417393523,0.03267609186665413,1.0129588478662779
Western Sahara,1983,1,14.997451640792224,28.514697046190474,5.19478436167383,29.48709140989029,0.06279430216393564,1.9466233670820048
Western Sahara,1983,2,17.88522728954059,32.500430567170916,6.027159829559689,40.13748979301418,0.17428448589627576,4.879965605095721
Western Sahara,1983,3,23.217510819668625,36.575901860534955,10.408292197584359,27.253184296492698,0.030979941117432068,0.9603781746403941
Western Sahara,1983,4,23.389923972759473,40.110241184474475,10.428267668220315,31.07621443266712,0.11784135304541658,3.5352405913624976
Western Sahara,1983,5,24.918317552741374,39.421620753784524,12.318152272274581,34.451902784894784,0.03710840380331494,1.1503605179027632
Western Sahara,1983,6,30.401757165708876,43.6202660894766,16.813248777162467,27.222630894267077,0.026998928348522744,0.8099678504556823
Western Sahara,1983,7,30.650880945829375,46.85765241150513,17.262401685054655,30.142693617690814,0.01215273709403482,0.37673484991507944
Western Sahara,1983,8,30.200694093138118,44.17027303748462,17.166776057907395,33.26816766712413,0.02883325774161945,0.8938309899902029
