Entity,Code,Year,country,anemia_pregnant_women_pct,anemia_children_pct,art_coverage_pregnant_women_pct,gdp_per_capita_ppp,gdp_constant_usd,hdi,female_lfp,anemia_wra_15_29,tfr_children_per_woman,anc1_plus,anc4_plus,stillbirth_rate,low_birthweight_share,maternal_mortality_ratio,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,female_pop_total,female_pop_15_24,female_pop_25_64,female_pop_65_plus,abortion_rate_per_1000_women_15_49,preterm_rate_per_100_live_births,preterm_births_number,diabetes_prev_adults_pct,hiv_incidence_per_1000_uninfected_15_49,malaria_incidence_per_1000_at_risk,share_women_among_plhiv_pct,ds_prev_rate_female_per_100k,ra_prev_rate_female_per_100k,ms_prev_rate_female_per_100k,ibd_prev_rate_female_per_100k,hiv_prev_rate_female_per_100k,malaria_prev_rate_female_per_100k
Algeria,DZA,1960,Algeria,,,,,27287513101.0,,,,,,,,,,,,,,5659063.0,987606.587258844,1948627.1721687133,178508.51577191445,,,,,,,,,,,,,
Algeria,DZA,1961,Algeria,,,,,23574926517.0,,,,,,,,,,,,,,5752713.0,993327.9136643952,1962148.329458872,190964.98340218057,,,,,,,,,,,,,
Algeria,DZA,1962,Algeria,,,,,18934192372.0,,,,,,,,,,,,,,5814414.0,993134.4999999997,1964163.0,209933.49999999956,,,,,,,,,,,,,
Algeria,DZA,1963,Algeria,,,,,25431219789.0,,,,,,,,,,,,,,5876120.0,992729.4155284936,1965356.332767512,227242.98066385824,,,,,,,,,,,,,
Algeria,DZA,1964,Algeria,,,,,26916253746.0,,,,,,,,,,,,,,5937814.0,995257.0,1967601.9999999993,240638.5,,,,,,,,,,,,,
Algeria,DZA,1965,Algeria,,,,,28586918218.0,,,,,,,,,,,,,,5988335.0,1001220.5,1969164.499999999,250266.49999999977,,,,,,,,,,,,,
Algeria,DZA,1966,Algeria,,,,,27213325104.0,,,,,,,,,,,,,,6077683.0,1020783.0000000003,1981957.5000000007,254767.4999999999,,,,,,,,,,,,,
Algeria,DZA,1967,Algeria,,,,,29785790538.0,,,,,,,,,,,,,,6218919.0,1056137.5,2008424.5000000007,255622.4999999996,,,,,,,,,,,,,
Algeria,DZA,1968,Algeria,,,,,33001535545.0,,,,,,,,,,,,,,6364894.0,1098009.5000000005,2036795.0000000016,256493.9999999996,,,,,,,,,,,,,
Algeria,DZA,1969,Algeria,,,,,35784647535.0,,,,,,,,,,,,,,6514032.0,1144585.5878553856,2066355.6586080375,257263.01974683415,,,,,,,,,,,,,
